p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0691499999999999,9.522785186767578
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,180,190,200,210,220,0.0117815,18.20303702354431
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0619345,28.103249311447144
 , , ,4,20,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0166035,39.63496971130371
 , , ,96,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0517295,48.13905167579651
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,80,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0772114999999999,56.57170510292053
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.020786,65.06688737869263
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0092089999999999,73.59897994995117
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,100,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0383515,82.35895895957947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,32, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0487735,91.2396547794342
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,4,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0209565,102.08395552635191
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.077335,110.69855117797852
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0139175,122.15950918197632
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,100,128, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.075242,130.53515100479126
 , , ,16,16,128, , , , ,180,190,200,210,220,0.075656,138.22282600402832
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0200455,148.37266397476196
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,100, , , , ,180,190,200,210,220,0.0739205,156.43297863006592
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,80, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),180,190,200,210,220,0.0703975,164.5549120903015
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,180,190,200,210,220,0.0346435,172.2592647075653
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,20,50, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,180,190,200,210,220,0.0629105,180.49533820152283
