p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,2048,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,1.3590735,11.969282388687134
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,100,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,2.0516405,24.722984790802
 , , ,4,4,100,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.9827515,40.55905628204346
 , , ,20,8,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.6859175,53.9752824306488
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,1.9615065,67.38344502449036
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,50, , , , ,490,545,600,655,710,1.60698,79.25075030326843
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.8399355,93.40276074409483
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,128,256, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,2.222688,108.12712574005128
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,2.0405335,124.79020237922668
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,0.479538,132.93021869659424
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.910206,142.43085503578186
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4043025,149.8988811969757
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.9488905,159.1584553718567
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.466084,167.71009469032288
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,80, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.8919525,179.35461592674255
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4207325,192.05490732192993
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.552042,203.32702898979187
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.524114,214.06648874282837
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.60477,225.23084807395935
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,64,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.392425,235.63468647003177
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,0.494909,246.37019062042236
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.5377545,257.1822862625122
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,0.427573,267.51514625549316
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.3999669999999999,278.04656648635864
