p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,2048,100,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,1.9168305,17.55708932876587
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,80,100,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,1.9406245,78.32894372940063
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.39081,115.057599067688
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4446015,162.87379026412964
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4271089999999999,202.8495171070099
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.519428,247.89674592018127
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4029175,321.590078830719
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4985035,358.80541038513184
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.425744,417.40527176856995
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.3703905,483.9449634552002
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.40346,531.1326389312744
 , , ,128,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.429591,572.9047448635101
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.3822635,620.0608942508698
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,16, , , , ,490,545,600,655,710,0.901081,674.6615777015686
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.3869605,720.6409130096436
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.375379,766.2886717319489
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.5412965000000001,801.9090056419373
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4583955,835.7967281341553
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4436704999999999,876.0176177024841
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.3715465,941.397500514984
 , , ,4,64,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4832945,997.7770228385924
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.4137835,1033.7461473941803
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4870219999999999,1085.9529211521149
 , , ,8,16,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.496556,1136.9735736846924
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,64,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,1.787716,1182.1208169460297
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.491471,1226.7136652469635
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.3937914999999999,1264.601410627365
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,8,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,2.0277855,1334.5900146961212
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,64, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,1.7730290000000002,1371.668706893921
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.36236999999999997,1488.5291135311127
