p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.0015899999999999,7.646894931793213
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,40,50,60,70,80,0.0002535,14.879822254180908
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,40,50,60,70,80,0.001395,22.055814504623413
 , , ,4,20,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.000354,32.023744106292725
 , , ,96,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.0011875,38.29929971694946
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,80,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.001666,44.95138907432556
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.000384,52.06380534172058
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.0002015,58.34394454956055
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,100,16, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.000579,65.03257942199707
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,32, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.001092,71.59581804275513
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,4,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.0004185,80.94822812080383
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,128,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.0016365,87.4838171005249
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,80,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.000275,95.3634593486786
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,100,128, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.001625,101.43504786491394
 , , ,16,16,128, , , , ,40,50,60,70,80,0.0015905,107.80331325531006
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,20,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.000439,115.7633774280548
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,50,100, , , , ,40,50,60,70,80,0.0015925,121.31164956092834
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,80, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),40,50,60,70,80,0.001709,128.02774858474731
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,40,50,60,70,80,0.000448,135.12370562553406
