p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,2048,100,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,72.529998,230.41802549362183
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,17.589996499999998,316.9291069507599
 , , ,20,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.4608395000000005,376.581758260727
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,10.203981,438.90995931625366
 , , ,128,128,64,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,66.02478500000001,687.4170141220093
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,19.631626500000003,798.1368753910065
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,32,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,14.8048265,880.5810990333557
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,7.296704500000001,948.528920173645
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,16.747815,1034.777456998825
 , , ,8,64,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.7219774999999995,1083.2570083141327
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,8.229179,1150.9697251319883
 , , ,100,8,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,5.102078000000001,1205.945663690567
 , , ,128,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,10.7969545,1276.349195241928
 , , ,8,8,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,7.282001,1352.3332242965698
 , , ,64,4,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,5.729682,1405.7495810985563
 , , ,80,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,10.8532105,1484.0728867053986
 , , ,64,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.332765,1545.592978477478
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,20,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,6.249947000000001,1608.5730574131012
 , , ,96,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.826147,1677.7690677642822
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,6.4572015,1757.2090396881104
 , , ,4,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1600,1800,2000,2200,2400,5.1421995,1817.237424135208
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,11.0602675,1891.4651715755465
 , , ,20,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.9919435,1953.5978376865387
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,256, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,79.081725,2226.7092645168304
 , , ,96,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,4.725575,2273.6129281520844
 , , ,50,2048,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,48.77767,2516.7453820705414
 , , ,50,4,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,5.335162,2570.125211238861
 , , ,80,8,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,8.0269335,2653.353211402893
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,2048,100,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1600,1800,2000,2200,2400,71.409187,2921.4531111717224
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,4,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1600,1800,2000,2200,2400,53.755427,3115.2013869285583
