input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
1000000,2,400, ,#pragma omp parallel for,8,32,20,balanced,cores,9.68186,44.98556041717529
1000000,4,400, , ,4,2,128,disabled,threads,4.94304,72.8345685005188
1000000,96,640, ,#pragma omp parallel for,8,4,80,none,cores,1.0250400000000002,89.21476912498474
1000000,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,1.07729,105.87927293777466
1000000,2,800, ,#pragma omp parallel for,96,2,160,scatter,threads,9.83937,148.73446202278137
1000000,32,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,1.056605,164.7542061805725
1000000,16,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,1.2898299999999998,181.7833321094513
1000000,2,200, ,#pragma omp parallel for,64,64,160,compact,cores,9.916515,224.41775107383728
1000000,128,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,1.2935750000000001,241.2106602191925
1000000,96,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,1.10849,257.53628396987915
1000000,48,2000, , ,4,4,40,explicit,threads,1.0725449999999999,273.60226464271545
1000000,16,640, ,#pragma omp parallel for,4,16,64,balanced,threads,1.27401,290.763836145401
1000000,128,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,0.9533849999999999,306.7536175251007
1000000,256,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,1.0984850000000002,323.09426045417786
1000000,64,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,0.9520150000000001,338.66207695007324
1000000,64,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,1.027365,355.22766852378845
1000000,64,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,1.030115,371.96293544769287
1000000,48,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,0.94659,387.9445400238037
1000000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,5.755025,418.4436004161835
1000000,8,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,3.1715,441.07794547080994
1000000,32,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,0.93614,457.0143299102783
1000000,64,200, ,#pragma omp parallel for,256,256,20,compact,cores,0.947055,473.14391589164734
1000000,64,640, , ,2,96,100,none,sockets,1.0196749999999999,489.45791602134705
1000000,96,640, , ,96,16,128,explicit,sockets,1.0444499999999999,506.5519914627075
1000000,96,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,1.01563,522.3901224136353
1000000,8,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,2.489565,542.911856174469
1000000,16,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,1.27359,559.8468701839447
1000000,256,1600, , ,32,8,200,scatter,threads,1.275465,576.8682971000671
1000000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,3.17285,599.4849424362183
1000000,96,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,1.1851600000000002,616.5305097103119
1000000,256,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,1.34992,634.1568071842194
1000000,192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,1.1767400000000001,651.0017747879028
1000000,2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,9.89347,693.7524008750916
1000000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,4.979705,721.7674241065979
1000000,48,1280, , ,256,256,10,explicit,threads,1.02038,737.8821065425873
1000000,32,1280, ,#pragma omp parallel for,64,2,10,compact,cores,1.113785,754.3378539085388
1000000,256,200, , ,96,32,100,balanced,sockets,0.99224,770.138943195343
1000000,64,1600, , ,256,96,100,balanced,threads,0.96346,785.9997460842133
1000000,64,400, , ,32,64,160,balanced,sockets,0.944905,801.8026304244995
1000000,8,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,2.499035,822.5360662937164
1000000,16,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,1.29331,840.7753190994263
1000000,48,1000, , ,8,96,20,balanced,sockets,0.981285,856.5265033245087
1000000,16,100, , ,2,32,40,none,cores,1.265045,873.3949928283691
1000000,192,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,1.2343250000000001,890.4707684516907
1000000,256,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,1.2293,907.2308580875397
1000000,96,1600, ,#pragma omp parallel for,96,8,40,none,cores,1.15931,923.8949339389801
1000000,32,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,0.938145,939.6984460353851
1000000,128,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,1.043355,955.8864591121674
1000000,128,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,1.2998699999999999,972.6621205806732
1000000,48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,1.0906099999999999,989.0875890254974
1000000,16,1000, ,#pragma omp parallel for,256,16,100,scatter,sockets,1.32789,1006.5826621055603
