input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,2,400, ,#pragma omp parallel for,8,32,20,balanced,cores,0.9577800000000001,19.394763708114624
100000,4,400, , ,4,2,128,disabled,threads,0.49633499999999997,33.87985634803772
100000,96,640, ,#pragma omp parallel for,8,4,80,none,cores,0.19606,47.618484020233154
100000,128,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,0.168105,61.35006904602051
100000,2,800, ,#pragma omp parallel for,96,2,160,scatter,threads,1.0246050000000002,77.85373783111572
100000,32,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,0.097445,91.0064468383789
100000,16,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,0.1355,104.6821939945221
100000,2,200, ,#pragma omp parallel for,64,64,160,compact,cores,1.02308,120.83781480789185
100000,128,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,0.28274,134.5416181087494
100000,96,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,0.21464,148.3821988105774
100000,48,2000, , ,4,4,40,explicit,threads,0.24571500000000002,162.09458303451538
100000,16,640, ,#pragma omp parallel for,4,16,64,balanced,threads,0.13482,175.63003587722778
100000,128,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,0.12034500000000001,189.54951906204224
100000,256,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,0.17536000000000002,202.9697835445404
100000,64,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,0.107655,216.15322709083557
100000,64,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,0.168515,229.8817903995514
100000,64,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,0.19552999999999998,243.4577362537384
100000,48,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,0.106665,256.6857807636261
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,0.61131,271.52147579193115
100000,8,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,0.340295,285.59385871887207
100000,32,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,0.09784999999999999,299.2019374370575
100000,64,200, ,#pragma omp parallel for,256,256,20,compact,cores,0.105015,312.5136468410492
100000,64,640, , ,2,96,100,none,sockets,0.164905,325.9183602333069
100000,96,640, , ,96,16,128,explicit,sockets,0.20332499999999998,339.63824486732483
100000,96,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,0.14543,353.00577569007874
100000,8,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,0.269885,367.0260376930237
100000,16,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,0.162615,380.93031120300293
100000,256,1600, , ,32,8,200,scatter,threads,0.41813500000000003,395.2980329990387
100000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,0.339625,409.3741102218628
100000,96,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,0.26210500000000003,423.54976177215576
100000,256,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,0.485645,438.74995732307434
100000,192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,0.220085,452.66574454307556
100000,2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,1.064265,469.2743968963623
100000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,0.5249900000000001,484.0499596595764
100000,48,1280, , ,256,256,10,explicit,threads,0.19106,497.6861047744751
100000,32,1280, ,#pragma omp parallel for,64,2,10,compact,cores,0.134235,511.42176842689514
100000,256,200, , ,96,32,100,balanced,sockets,0.12907,524.8218815326691
100000,64,1600, , ,256,96,100,balanced,threads,0.130755,538.4540638923645
100000,64,400, , ,32,64,160,balanced,sockets,0.116145,551.5296947956085
100000,8,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,0.262295,565.4419977664948
100000,16,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,0.20244,579.1942439079285
100000,48,1000, , ,8,96,20,balanced,sockets,0.168555,592.4777498245239
100000,16,100, , ,2,32,40,none,cores,0.14412,605.6172215938568
100000,192,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,0.256085,620.0028102397919
100000,256,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,0.23613,633.6819212436676
100000,96,1600, ,#pragma omp parallel for,96,8,40,none,cores,0.249805,648.0101194381714
100000,32,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,0.099195,661.2416188716888
100000,128,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,0.290495,674.8458292484283
100000,128,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,0.25366,688.7065880298615
100000,48,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,0.226025,702.5736975669861
100000,16,1000, ,#pragma omp parallel for,256,16,100,scatter,sockets,0.17139,716.3977677822113
100000,256,800,#pragma clang loop unrolling full, ,96,64,200,balanced,sockets,0.236075,730.0619556903839
100000,192,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,128,explicit,threads,0.14017000000000002,743.837788105011
100000,2,640, ,#pragma omp parallel for,256,256,20,balanced,sockets,0.982665,759.9497447013855
100000,256,400, ,#pragma omp parallel for,64,96,80,explicit,cores,0.175875,773.7656488418579
100000,192,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,80,disabled,sockets,0.33625,788.3498504161835
100000,32,1000,#pragma clang loop unrolling full, ,4,16,128,none,cores,0.11678,801.5896570682526
100000,192,2000, ,#pragma omp parallel for,32,8,64,scatter,cores,0.355935,815.8181746006012
100000,16,1600, , ,96,2,128,disabled,threads,0.17161500000000002,829.3774523735046
100000,4,1600, , ,96,4,80,disabled,cores,0.525535,843.6534469127655
100000,8,800, , ,8,4,10,none,threads,0.26594,857.134204864502
100000,192,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,200,balanced,sockets,0.165155,871.1419966220856
100000,64,1280, , ,8,64,128,none,cores,0.23820999999999998,884.7414939403534
100000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,0.5156449999999999,899.2499973773956
100000,8,2000, , ,16,64,100,disabled,threads,0.29731,912.9948959350586
100000,2,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,0.9616750000000001,929.1102344989777
100000,32,1600, , ,32,128,100,explicit,threads,0.09834000000000001,942.3303503990173
100000,8,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,0.249045,955.7303156852722
100000,96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,0.20667000000000002,969.8222458362579
