input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5000000,4,400, ,#pragma omp parallel for,8,32,20,balanced,cores,22.146925,79.64541530609131
5000000,4,400, , ,4,2,128,disabled,threads,22.066164999999998,156.88451838493347
5000000,7,640, ,#pragma omp parallel for,8,4,80,none,cores,12.743715,206.86493039131165
5000000,7,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,13.35237,258.27931547164917
5000000,4,800, ,#pragma omp parallel for,96,2,160,scatter,threads,21.627445,334.55549144744873
5000000,5,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,17.573245,398.5409333705902
5000000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,17.521345,462.4807996749878
5000000,4,200, ,#pragma omp parallel for,64,64,160,compact,cores,26.381034999999997,553.0687284469604
5000000,7,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,12.853465,602.7343509197235
5000000,7,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,12.847855,652.4369180202484
5000000,6,2000, , ,4,4,40,explicit,threads,14.86734,708.1597657203674
5000000,5,640, ,#pragma omp parallel for,4,16,64,balanced,threads,18.051805,773.719206571579
5000000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,16.020985,833.2988972663879
5000000,8,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,11.085035000000001,877.7986371517181
5000000,6,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,15.0181,933.9424088001251
5000000,6,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,14.815875,989.9076156616211
5000000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,14.785445,1045.7022557258606
5000000,6,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,14.893855,1101.427065372467
5000000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,26.469175,1192.3112185001373
