input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,4,400, ,#pragma omp parallel for,8,32,20,balanced,cores,1.30122,17.238605260849
100000,4,400, , ,4,2,128,disabled,threads,1.3047499999999999,32.28573775291443
100000,7,640, ,#pragma omp parallel for,8,4,80,none,cores,1.320265,47.743268728256226
100000,7,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,1.336665,63.32093548774719
100000,4,800, ,#pragma omp parallel for,96,2,160,scatter,threads,1.31188,78.65088891983032
100000,5,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,1.3798300000000001,93.8623399734497
100000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,1.305475,109.20265650749207
100000,4,200, ,#pragma omp parallel for,64,64,160,compact,cores,1.3026300000000002,124.60228061676025
100000,7,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,1.35526,139.7993278503418
100000,7,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,1.3663750000000001,155.0134038925171
100000,6,2000, , ,4,4,40,explicit,threads,1.422215,170.4286162853241
100000,5,640, ,#pragma omp parallel for,4,16,64,balanced,threads,1.3306399999999998,185.93978071212769
100000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,1.322525,201.376859664917
100000,8,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,1.329135,216.49554204940796
100000,6,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,1.310445,231.55483174324036
100000,6,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,1.4108100000000001,247.3313889503479
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,1.35874,262.84509658813477
100000,6,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,1.3104399999999998,277.9112310409546
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,1.316585,293.2644681930542
100000,5,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,1.339615,308.56507420539856
100000,6,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,1.34159,324.043790102005
100000,7,200, ,#pragma omp parallel for,256,256,20,compact,cores,1.32353,339.4538917541504
100000,6,640, , ,2,96,100,none,sockets,1.3507850000000001,354.6372175216675
100000,7,640, , ,96,16,128,explicit,sockets,1.3342800000000001,369.9313631057739
100000,7,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,1.33346,385.09772086143494
100000,5,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,1.40314,400.40999937057495
100000,5,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,1.394135,415.95373582839966
100000,8,1600, , ,32,8,200,scatter,threads,1.3484699999999998,431.2857286930084
100000,5,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,1.350625,446.72226762771606
100000,7,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,1.345955,462.2379400730133
100000,8,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,1.4427349999999999,478.02048778533936
100000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,1.37944,493.71206402778625
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,1.3172700000000002,509.07832884788513
100000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,1.30128,524.3960378170013
100000,6,1280, , ,256,256,10,explicit,threads,1.4131049999999998,539.7071521282196
100000,6,1280, ,#pragma omp parallel for,64,2,10,compact,cores,1.3621599999999998,555.3579964637756
100000,8,200, , ,96,32,100,balanced,sockets,1.326465,570.4753925800323
100000,7,1600, , ,256,96,100,balanced,threads,1.335825,585.6432251930237
100000,7,400, , ,32,64,160,balanced,sockets,1.3523,600.8319442272186
100000,5,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,1.3043399999999998,616.297102689743
100000,5,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,1.33716,631.4316263198853
100000,6,1000, , ,8,96,20,balanced,sockets,1.355045,646.6545579433441
100000,5,100, , ,2,32,40,none,cores,1.31867,661.7437169551849
100000,8,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,1.367095,677.3902566432953
100000,8,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,1.362535,692.6001834869385
100000,7,1600, ,#pragma omp parallel for,96,8,40,none,cores,1.38805,708.1687333583832
100000,6,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,1.316195,723.2777345180511
100000,8,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,1.4642249999999999,738.882815361023
100000,7,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,1.3477000000000001,754.0788445472717
100000,6,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,1.394875,769.6492512226105
100000,5,1000, ,#pragma omp parallel for,256,16,100,scatter,sockets,1.33628,785.070196390152
100000,8,800,#pragma clang loop unrolling full, ,96,64,200,balanced,sockets,1.348565,800.354905128479
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,128,explicit,threads,1.32317,815.7771310806274
100000,4,640, ,#pragma omp parallel for,256,256,20,balanced,sockets,1.31414,831.1375622749329
100000,8,400, ,#pragma omp parallel for,64,96,80,explicit,cores,1.3233350000000002,846.5988118648529
100000,8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,80,disabled,sockets,1.346125,862.1865253448486
100000,5,1000,#pragma clang loop unrolling full, ,4,16,128,none,cores,1.358555,877.3727972507477
100000,8,2000, ,#pragma omp parallel for,32,8,64,scatter,cores,1.484545,893.2723882198334
100000,5,1600, , ,96,2,128,disabled,threads,1.3661750000000001,908.5450570583344
100000,4,1600, , ,96,4,80,disabled,cores,1.332695,923.7774088382721
100000,5,800, , ,8,4,10,none,threads,1.3319999999999999,938.9270701408386
100000,8,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,200,balanced,sockets,1.3538649999999999,954.4287011623383
100000,6,1280, , ,8,64,128,none,cores,1.3651900000000001,969.7019619941711
100000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,1.3342800000000001,984.9368333816528
100000,5,2000, , ,16,64,100,disabled,threads,1.369345,1000.1989874839783
100000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,1.29338,1015.4815783500671
100000,5,1600, , ,32,128,100,explicit,threads,1.3799649999999999,1030.7379987239838
100000,5,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,1.3218,1045.92320561409
100000,7,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,1.372555,1061.4435305595398
100000,4,400, , ,2,32,200,compact,threads,1.3192849999999998,1076.5830833911896
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,1.404655,1092.1794497966766
100000,7,400, ,#pragma omp parallel for,8,32,80,disabled,cores,1.335205,1107.73441696167
100000,6,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,1.387845,1123.3455426692963
