input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5000000,4,400, ,#pragma omp parallel for,8,32,20,balanced,cores,66.28905499999999,212.45037508010864
5000000,4,400, , ,4,2,128,disabled,threads,66.04524,421.82562494277954
5000000,7,640, ,#pragma omp parallel for,8,4,80,none,cores,65.745635,630.543310880661
5000000,7,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,65.79975,839.3893246650696
5000000,4,800, ,#pragma omp parallel for,96,2,160,scatter,threads,65.78039,1048.171800851822
5000000,5,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,66.12166500000001,1257.7902359962463
5000000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,65.77414999999999,1466.5906908512115
5000000,4,200, ,#pragma omp parallel for,64,64,160,compact,cores,65.441925,1674.4301934242249
5000000,7,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,66.459615,1884.8889014720917
5000000,7,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,65.62937,2093.0961644649506
5000000,6,2000, , ,4,4,40,explicit,threads,65.33725000000001,2300.39653134346
5000000,5,640, ,#pragma omp parallel for,4,16,64,balanced,threads,65.67283499999999,2509.0442566871643
5000000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,65.35409,2716.6707994937897
5000000,8,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,65.617785,2924.8312804698944
5000000,6,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,65.790165,3133.4557943344116
5000000,6,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,65.27908500000001,3340.971081495285
5000000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,64.974325,3547.4101223945618
5000000,6,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,65.802195,3756.010535478592
5000000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,65.541815,3964.200917005539
5000000,5,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,66.002625,4173.499833106995
5000000,6,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,65.820945,4382.484005451202
5000000,7,200, ,#pragma omp parallel for,256,256,20,compact,cores,65.70275,4591.177941560745
5000000,6,640, , ,2,96,100,none,sockets,65.341135,4798.440047264099
5000000,7,640, , ,96,16,128,explicit,sockets,65.870045,5007.265780448914
5000000,7,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,66.24484000000001,5217.25915813446
5000000,5,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,66.176455,5427.077196359634
5000000,5,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,65.50673499999999,5635.069603919983
5000000,8,1600, , ,32,8,200,scatter,threads,66.182175,5844.948637962341
5000000,5,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,65.30103500000001,6052.446318864822
5000000,7,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,65.573515,6260.6644859313965
5000000,8,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,65.37125,6468.415830850601
5000000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,65.69471,6677.016536951065
5000000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,65.89,6886.250720739365
5000000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,65.091475,7093.06418633461
5000000,6,1280, , ,256,256,10,explicit,threads,65.96303499999999,7302.177027463913
5000000,6,1280, ,#pragma omp parallel for,64,2,10,compact,cores,65.90414000000001,7511.424909353256
5000000,8,200, , ,96,32,100,balanced,sockets,65.78063,7719.959438085556
5000000,7,1600, , ,256,96,100,balanced,threads,65.953105,7929.0058834552765
5000000,7,400, , ,32,64,160,balanced,sockets,65.80114,8137.623302698135
5000000,5,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,65.561015,8345.814870357513
5000000,5,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,66.136885,8555.485025167465
5000000,6,1000, , ,8,96,20,balanced,sockets,66.06659,8765.066690444946
5000000,5,100, , ,2,32,40,none,cores,66.14559,8974.774420261383
5000000,8,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,65.250075,9182.109110116959
5000000,8,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,65.70073,9390.466729402542
5000000,7,1600, ,#pragma omp parallel for,96,8,40,none,cores,65.5557,9598.615088224411
5000000,6,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,66.01449,9807.883480787277
5000000,8,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,66.66238999999999,10019.143743753433
5000000,7,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,67.00704999999999,10231.346967697144
5000000,6,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,65.76959,10440.152532339096
5000000,5,1000, ,#pragma omp parallel for,256,16,100,scatter,sockets,65.81984,10649.09886431694
5000000,8,800,#pragma clang loop unrolling full, ,96,64,200,balanced,sockets,65.791685,10857.720650196075
5000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,128,explicit,threads,65.86167,11066.807505846024
5000000,4,640, ,#pragma omp parallel for,256,256,20,balanced,sockets,65.399135,11274.583861112595
5000000,8,400, ,#pragma omp parallel for,64,96,80,explicit,cores,66.501665,11485.629476308823
5000000,8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,80,disabled,sockets,65.508535,11693.823616027832
5000000,5,1000,#pragma clang loop unrolling full, ,4,16,128,none,cores,66.092395,11903.429809331894
5000000,8,2000, ,#pragma omp parallel for,32,8,64,scatter,cores,65.64453,12111.945308208466
5000000,5,1600, , ,96,2,128,disabled,threads,65.67949,12320.263008832932
5000000,4,1600, , ,96,4,80,disabled,cores,66.41737499999999,12530.884709119797
5000000,5,800, , ,8,4,10,none,threads,66.823165,12742.613961219788
5000000,8,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,200,balanced,sockets,66.169625,12952.80364871025
5000000,6,1280, , ,8,64,128,none,cores,66.88098,13164.70668888092
5000000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,65.833415,13373.547797203064
5000000,5,2000, , ,16,64,100,disabled,threads,66.32725500000001,13583.80757689476
5000000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,65.60447500000001,13792.177188634872
5000000,5,1600, , ,32,128,100,explicit,threads,65.808745,14000.811301469803
5000000,5,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,66.415145,14211.398828983307
5000000,7,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,20,none,threads,65.673195,14420.020299434662
5000000,4,400, , ,2,32,200,compact,threads,66.05522500000001,14629.611929416656
5000000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,none,sockets,66.21452,14839.737298965454
5000000,7,400, ,#pragma omp parallel for,8,32,80,disabled,cores,66.28318,15050.164332151413
5000000,6,1600, ,#pragma omp parallel for,4,4,80,explicit,cores,66.258035,15260.515518665314
5000000,4,200,#pragma clang loop unrolling full, ,64,96,128,scatter,sockets,66.68281,15471.875703811646
5000000,5,2000, ,#pragma omp parallel for,2,256,160,balanced,sockets,66.40109000000001,15682.68700003624
5000000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,40,scatter,cores,65.26464,15889.982037782669
5000000,5,800, ,#pragma omp parallel for,256,2,80,disabled,sockets,65.604625,16098.254378080368
5000000,5,2000, , ,128,16,80,compact,sockets,65.98467,16307.499973773956
5000000,7,1000, , ,8,4,128,scatter,threads,66.29131000000001,16517.619148254395
5000000,6,200,#pragma clang loop unrolling full, ,128,32,10,compact,threads,66.697645,16728.88437819481
5000000,8,800, ,#pragma omp parallel for,64,128,128,none,threads,65.30287999999999,16936.359429597855
5000000,7,400,#pragma clang loop unrolling full, ,16,128,80,explicit,threads,66.166895,17146.17215013504
5000000,4,1000,#pragma clang loop unrolling full, ,32,8,10,balanced,threads,66.3566,17356.474083185196
5000000,6,100, ,#pragma omp parallel for,16,32,200,compact,threads,66.24266,17566.64276957512
5000000,4,800,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,balanced,threads,65.53515,17774.79452395439
5000000,8,800, , ,96,256,200,disabled,cores,65.99517,17983.922520399094
5000000,6,100, , ,4,256,200,scatter,sockets,66.016495,18193.129853487015
5000000,4,400, , ,8,256,200,balanced,cores,67.35210000000001,18406.461272716522
5000000,6,1000,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,20,none,cores,65.778965,18615.410153865814
5000000,4,200,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,66.67072,18826.800642490387
5000000,8,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,threads,66.064805,19036.674300193787
5000000,6,2000, ,#pragma omp parallel for,8,64,160,compact,sockets,67.27186499999999,19249.993023633957
5000000,4,400,#pragma clang loop unrolling full, ,32,96,100,scatter,cores,66.65157500000001,19461.271105766296
5000000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,10,none,cores,66.21234,19671.458934545517
5000000,4,1280,#pragma clang loop unrolling full, ,96,128,100,balanced,cores,66.69954,19882.874960422516
5000000,8,200, ,#pragma omp parallel for,2,128,160,compact,cores,65.62425,20091.301030874252
5000000,7,800,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,66.84457,20303.24024105072
5000000,8,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,100,compact,sockets,66.50736,20514.298771619797
5000000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,66.04209,20724.084919691086
5000000,7,100, , ,96,8,80,none,sockets,66.46315999999999,20934.76652431488
5000000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,200,explicit,cores,65.27795499999999,21147.119249105453
5000000,7,200,#pragma clang loop unrolling full, ,4,128,10,compact,threads,65.703485,21360.61155438423
5000000,8,800, ,#pragma omp parallel for,2,32,10,balanced,cores,65.353555,21573.04679465294
