input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,4,400, ,#pragma omp parallel for,8,32,20,balanced,cores,0.449145,18.05696439743042
100000,4,400, , ,4,2,128,disabled,threads,0.43932499999999997,30.499916791915894
100000,7,640, ,#pragma omp parallel for,8,4,80,none,cores,0.254895,42.63849067687988
100000,7,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,0.261075,54.800228118896484
100000,4,800, ,#pragma omp parallel for,96,2,160,scatter,threads,0.44240999999999997,67.705326795578
100000,5,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,0.37306,79.97715449333191
100000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,0.35241,92.38897514343262
100000,4,200, ,#pragma omp parallel for,64,64,160,compact,cores,0.532565,105.34824776649475
100000,7,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,0.26078,117.26579260826111
100000,7,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,0.27075000000000005,129.2479386329651
100000,6,2000, , ,4,4,40,explicit,threads,0.31916,142.2847762107849
100000,5,640, ,#pragma omp parallel for,4,16,64,balanced,threads,0.36118,154.7244369983673
100000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,0.320295,167.07370281219482
100000,8,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,0.22634500000000002,178.8908462524414
100000,6,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,0.290055,190.93505358695984
100000,6,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,0.326375,203.2836549282074
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,0.320195,215.6011300086975
100000,6,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,0.29635500000000004,227.58122181892395
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,0.5493300000000001,240.6444799900055
100000,5,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,0.421025,253.07299661636353
100000,6,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,0.29289,265.3336479663849
100000,7,200, ,#pragma omp parallel for,256,256,20,compact,cores,0.32203499999999996,277.6502192020416
100000,6,640, , ,2,96,100,none,sockets,0.2923,289.6811640262604
100000,7,640, , ,96,16,128,explicit,sockets,0.25763,301.5966739654541
100000,7,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,0.326895,313.79769110679626
100000,5,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,0.35867,326.0027709007263
100000,5,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,0.357405,338.43404269218445
100000,8,1600, , ,32,8,200,scatter,threads,0.233465,350.26472425460815
100000,5,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,0.41481999999999997,362.92003178596497
100000,7,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,0.26108,375.1042392253876
100000,8,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,0.24789499999999998,387.2511827945709
100000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,0.32965,399.5901176929474
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,0.44789999999999996,412.31162762641907
100000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,0.429325,425.0171527862549
100000,6,1280, , ,256,256,10,explicit,threads,0.299695,437.1328806877136
100000,6,1280, ,#pragma omp parallel for,64,2,10,compact,cores,0.41405000000000003,449.7705976963043
100000,8,200, , ,96,32,100,balanced,sockets,0.22612,461.6033272743225
100000,7,1600, , ,256,96,100,balanced,threads,0.26339999999999997,473.5124099254608
100000,7,400, , ,32,64,160,balanced,sockets,0.26324000000000003,485.495414018631
100000,5,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,0.350935,498.0037200450897
100000,5,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,0.353825,510.2070777416229
100000,6,1000, , ,8,96,20,balanced,sockets,0.314315,522.2768113613129
100000,5,100, , ,2,32,40,none,cores,0.34762000000000004,534.4378600120544
100000,8,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,0.23681000000000002,546.6271586418152
100000,8,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,0.227715,558.5159068107605
100000,7,1600, ,#pragma omp parallel for,96,8,40,none,cores,0.25966500000000003,570.6818156242371
100000,6,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,0.29289,582.6946170330048
100000,8,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,0.256325,594.5859551429749
100000,7,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,0.25821,606.5631511211395
100000,6,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,0.31235,618.9529399871826
100000,5,1000, ,#pragma omp parallel for,256,16,100,scatter,sockets,0.355665,631.3845653533936
100000,8,800,#pragma clang loop unrolling full, ,96,64,200,balanced,sockets,0.23096,643.1660435199738
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,128,explicit,threads,0.220845,655.2029159069061
100000,4,640, ,#pragma omp parallel for,256,256,20,balanced,sockets,0.45286000000000004,668.0457060337067
100000,8,400, ,#pragma omp parallel for,64,96,80,explicit,cores,0.22334500000000002,680.8232250213623
100000,8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,80,disabled,sockets,0.23323,692.9273061752319
100000,5,1000,#pragma clang loop unrolling full, ,4,16,128,none,cores,0.363595,705.140711069107
100000,8,2000, ,#pragma omp parallel for,32,8,64,scatter,cores,0.251075,717.2997486591339
100000,5,1600, , ,96,2,128,disabled,threads,0.38300999999999996,729.5812695026398
100000,4,1600, , ,96,4,80,disabled,cores,0.43826,742.06467461586
100000,5,800, , ,8,4,10,none,threads,0.36128499999999997,754.2632632255554
100000,8,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,200,balanced,sockets,0.230765,766.3391728401184
100000,6,1280, , ,8,64,128,none,cores,0.32732,778.4260802268982
100000,4,640,#pragma clang loop unrolling full, ,96,128,64,scatter,cores,0.43149,790.9159543514252
100000,5,2000, , ,16,64,100,disabled,threads,0.36104499999999995,803.126895904541
100000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,128,balanced,sockets,0.44704,815.8353183269501
100000,5,1600, , ,32,128,100,explicit,threads,0.37216000000000005,828.0894677639008
100000,5,200,#pragma clang loop unrolling full, ,256,8,100,scatter,sockets,0.34874499999999997,840.3240106105804
