input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5000000,8,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,compact,sockets,66.80624499999999,6890.585584402084
5000000,6,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,200,disabled,threads,66.29967500000001,7101.295317411423
5000000,6,2000, ,#pragma omp parallel for,4,16,64,disabled,threads,67.001435,7313.800335884094
5000000,5,1600, , ,96,8,20,compact,cores,67.246475,7526.755136489868
5000000,4,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,64,balanced,cores,66.75025,7738.616813898087
5000000,4,100, , ,96,16,100,disabled,threads,67.185515,7951.4182233810425
5000000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,128,compact,cores,66.59376499999999,8162.777621984482
5000000,6,1600, ,#pragma omp parallel for,32,96,80,scatter,threads,66.714855,8374.493414640427
5000000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,200,scatter,cores,67.84368,8589.710957050323
5000000,8,400,#pragma clang loop unrolling full, ,4,16,160,none,threads,67.387375,8803.145040988922
5000000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,20,disabled,threads,66.53613,9014.396508693695
5000000,4,640,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,20,compact,sockets,67.124315,9227.30308675766
5000000,8,1280, , ,256,256,128,scatter,cores,67.70884000000001,9441.671495199203
5000000,5,640,#pragma clang loop unrolling full, ,256,96,20,none,threads,67.371135,9655.146657705307
5000000,7,200, ,#pragma omp parallel for,2,16,100,balanced,threads,67.029335,9867.786357402802
5000000,6,400,#pragma clang loop unrolling full, ,16,64,100,none,threads,67.31520499999999,10080.970613479614
5000000,6,1280,#pragma clang loop unrolling full, ,2,32,80,balanced,cores,67.1379,10293.727326869965
5000000,7,1000, ,#pragma omp parallel for,128,32,64,none,threads,65.81261,10502.715498685837
5000000,8,2000, , ,128,2,10,balanced,cores,65.46649,10710.601992845535
5000000,7,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,64,scatter,threads,65.73575,10919.34090089798
