input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
1000000,7,1000, ,#pragma omp parallel for,8,4,160,explicit,cores,13.39737,1603.817735671997
1000000,7,100,#pragma clang loop unrolling full, ,8,16,20,explicit,cores,13.49804,1655.5891931056976
1000000,5,1600,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,200,disabled,cores,13.407085,1707.1931500434875
1000000,6,1280,#pragma clang loop unrolling full, ,96,16,10,explicit,sockets,13.718710000000002,1759.6130607128143
1000000,6,800,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,100,balanced,cores,13.439855000000001,1811.5120005607605
1000000,4,1600,#pragma clang loop unrolling full, ,64,2,40,compact,cores,13.461865,1863.1573536396027
1000000,7,100,#pragma clang loop unrolling full, ,96,64,128,scatter,sockets,13.471605,1914.8189671039581
1000000,5,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,160,compact,sockets,13.3703,1966.34050989151
1000000,5,200,#pragma clang loop unrolling full, ,16,96,20,balanced,sockets,13.4739,2017.8944087028503
1000000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,100,disabled,sockets,13.480595000000001,2069.866527080536
1000000,4,800,#pragma clang loop unrolling full, ,128,32,100,none,sockets,13.245995,2120.842838525772
1000000,5,2000, ,#pragma omp parallel for,2,8,80,disabled,sockets,13.40879,2172.4931004047394
1000000,7,400, ,#pragma omp parallel for,96,256,200,balanced,cores,13.157675,2223.4943151474
1000000,5,640,#pragma clang loop unrolling full, ,32,256,40,balanced,cores,13.273,2274.5486669540405
1000000,4,400, , ,64,8,40,scatter,threads,13.33373,2325.728467464447
1000000,7,1280,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,200,balanced,threads,13.255410000000001,2377.031195163727
1000000,6,1000,#pragma clang loop unrolling full, ,128,16,160,scatter,threads,13.266445000000001,2428.051698207855
1000000,5,1000, ,#pragma omp parallel for,2,2,40,disabled,sockets,13.28436,2479.3174872398376
1000000,4,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,128,scatter,cores,13.1639,2530.2984449863434
1000000,8,800, ,#pragma omp parallel for,2,4,200,compact,sockets,13.228539999999999,2581.6042840480804
1000000,8,640, , ,96,4,10,none,threads,13.355535,2632.8160874843597
1000000,7,200, ,#pragma omp parallel for,256,96,40,disabled,cores,13.28004,2684.16983795166
1000000,7,1600, ,#pragma omp parallel for,64,8,128,scatter,sockets,13.254615,2735.513148546219
1000000,7,200, , ,32,16,40,disabled,threads,13.24286,2786.3858556747437
1000000,5,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,40,explicit,threads,13.138345000000001,2837.3016748428345
1000000,4,200,#pragma clang loop unrolling full, ,8,96,64,disabled,threads,13.266375,2888.3427262306213
1000000,7,1280,#pragma clang loop unrolling full, ,128,128,100,compact,threads,13.35144,2939.5748629570007
1000000,8,1000,#pragma clang loop unrolling full, ,32,32,40,balanced,sockets,13.296005000000001,2990.7309515476227
1000000,5,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,10,balanced,sockets,13.165925000000001,3041.716755628586
1000000,8,1000,#pragma clang loop unrolling full, ,16,32,64,explicit,threads,13.213345,3092.503100156784
1000000,6,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,20,balanced,sockets,13.35944,3144.0693089962006
1000000,5,800,#pragma clang loop unrolling full, ,8,128,200,none,cores,13.292555,3195.175105571747
1000000,6,2000,#pragma clang loop unrolling full, ,64,2,20,compact,sockets,13.38532,3246.4819054603577
1000000,8,2000, ,#pragma omp parallel for,128,32,80,disabled,threads,13.29029,3297.8999156951904
1000000,4,1000, , ,4,128,160,balanced,threads,13.28187,3349.0198361873627
