input,p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
100000,4,400, ,#pragma omp parallel for,8,32,20,balanced,cores,1.32442,20.788866758346558
100000,4,400, , ,4,2,128,disabled,threads,1.3484850000000002,35.97500395774841
100000,7,640, ,#pragma omp parallel for,8,4,80,none,cores,1.370625,51.556427001953125
100000,7,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,64,disabled,cores,1.360045,67.16332697868347
100000,4,800, ,#pragma omp parallel for,96,2,160,scatter,threads,1.382075,82.68923926353455
100000,5,1600,#pragma clang loop unrolling full, ,2,4,64,disabled,cores,1.4220350000000002,98.16367530822754
100000,5,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,64,disabled,threads,1.3637000000000001,113.66578435897827
100000,4,200, ,#pragma omp parallel for,64,64,160,compact,cores,1.32317,129.10571312904358
100000,7,1600,#pragma clang loop unrolling full, ,2,2,40,disabled,threads,1.3911099999999998,144.4383089542389
100000,7,1280,#pragma clang loop unrolling full, ,32,32,64,none,threads,1.46326,159.9005036354065
100000,6,2000, , ,4,4,40,explicit,threads,1.45688,175.37144327163696
100000,5,640, ,#pragma omp parallel for,4,16,64,balanced,threads,1.3685,191.00212621688843
100000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,20,compact,sockets,1.357325,206.5930404663086
100000,8,100,#pragma clang loop unrolling full, ,16,16,200,explicit,cores,1.3508900000000001,221.78607606887817
100000,6,100,#pragma clang loop unrolling full, ,128,16,10,scatter,sockets,1.38093,237.06390738487244
100000,6,2000, ,#pragma omp parallel for,128,256,80,scatter,sockets,1.4481899999999999,252.93245124816895
100000,6,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,10,scatter,sockets,1.3888500000000001,268.59035563468933
100000,6,100,#pragma clang loop unrolling full, ,128,256,20,none,sockets,1.375875,283.86147141456604
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,20,compact,threads,1.37276,299.36996364593506
100000,5,800,#pragma clang loop unrolling full, ,32,8,40,compact,threads,1.398775,314.73992681503296
100000,6,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,explicit,threads,1.367865,330.3210189342499
100000,7,200, ,#pragma omp parallel for,256,256,20,compact,cores,1.344065,345.80572295188904
100000,6,640, , ,2,96,100,none,sockets,1.36411,361.0733377933502
100000,7,640, , ,96,16,128,explicit,sockets,1.3534350000000002,376.3849153518677
100000,7,640,#pragma clang loop unrolling full, ,128,16,64,compact,threads,1.366695,391.6475956439972
100000,5,1280,#pragma clang loop unrolling full, ,4,16,64,explicit,cores,1.364535,406.8700520992279
100000,5,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,200,none,threads,1.358275,422.318457365036
100000,8,1600, , ,32,8,200,scatter,threads,1.382695,437.67308592796326
100000,5,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,40,compact,cores,1.35538,453.18829250335693
100000,7,1600, ,#pragma omp parallel for,16,8,20,disabled,sockets,1.39502,468.7934670448303
100000,8,2000, ,#pragma omp parallel for,16,4,10,disabled,sockets,1.47691,484.67552638053894
100000,8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,10,compact,threads,1.4074499999999999,500.4003093242645
100000,4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,10,none,cores,1.380735,515.959370136261
100000,4,100, ,#pragma omp parallel for,256,256,128,explicit,cores,1.364045,531.4414753913879
100000,6,1280, , ,256,256,10,explicit,threads,1.4660950000000001,546.9737570285797
100000,6,1280, ,#pragma omp parallel for,64,2,10,compact,cores,1.44436,562.7956728935242
100000,8,200, , ,96,32,100,balanced,sockets,1.382285,578.0901288986206
100000,7,1600, , ,256,96,100,balanced,threads,1.4428999999999998,593.5751476287842
100000,7,400, , ,32,64,160,balanced,sockets,1.38981,608.8884928226471
100000,5,200, ,#pragma omp parallel for,4,32,200,scatter,sockets,1.36478,624.4901566505432
100000,5,2000,#pragma clang loop unrolling full, ,64,96,40,disabled,cores,1.415855,639.9105336666107
100000,6,1000, , ,8,96,20,balanced,sockets,1.4123700000000001,655.2896158695221
100000,5,100, , ,2,32,40,none,cores,1.37313,670.5448734760284
100000,8,1000, ,#pragma omp parallel for,128,2,160,explicit,sockets,1.41885,686.329127073288
100000,8,800,#pragma clang loop unrolling full, ,2,256,100,scatter,sockets,1.3818700000000002,701.598516702652
100000,7,1600, ,#pragma omp parallel for,96,8,40,none,cores,1.401745,717.2670681476593
100000,6,200,#pragma clang loop unrolling full, ,32,8,160,disabled,threads,1.34015,732.4286525249481
100000,8,2000,#pragma clang loop unrolling full, ,96,128,160,balanced,cores,1.4940950000000002,748.1467869281769
100000,7,1600,#pragma clang loop unrolling full, ,256,2,100,explicit,sockets,1.413295,763.5131628513336
100000,6,1600,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,160,explicit,sockets,1.417185,779.1728229522705
