input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
5000000,32,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.483095,11.091630697250366
5000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.47982,17.362209796905518
5000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.5390550000000001,23.395910263061523
5000000,8,threads,spread, ,simd,"schedule(static,1)",dynamic,0.481955,29.287609100341797
5000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.5364949999999999,35.57218050956726
5000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.490835,42.38393568992615
5000000,32,threads,close, ,simd,"schedule(static,1)",static,0.480825,48.39376473426819
5000000,42,sockets,close, , , ,static,0.481835,54.45417261123657
5000000,16,cores,master, , ,"schedule(static,4)",dynamic,0.4798,60.43695664405823
5000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.48012,66.30400466918945
5000000,16,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.479965,72.21783947944641
5000000,32,sockets,close, ,simd,"schedule(static,2)",dynamic,0.480325,78.22705125808716
5000000,42,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.48197999999999996,84.5006685256958
5000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.50356,90.39666986465454
5000000,21,cores,master, , ,"schedule(static,1)",dynamic,0.480665,96.4005753993988
5000000,16,cores,spread, , ,"schedule(static,4)",dynamic,0.48014999999999997,102.07790446281433
5000000,16,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.48346,108.2259886264801
5000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.48250000000000004,114.82351064682007
5000000,8,cores,spread, , , ,dynamic,0.48083,120.64261674880981
5000000,21,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.48277,126.4638659954071
5000000,4,cores,close, ,simd,"schedule(static,32)",static,0.5435049999999999,132.59205555915833
5000000,21,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.48206499999999997,138.75251650810242
5000000,21,threads,close, , , ,dynamic,0.48031,144.5258228778839
5000000,4,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.50293,150.28635478019714
5000000,4,cores,master, , ,"schedule(static,4)",static,0.48041,156.42831873893738
5000000,8,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.48250000000000004,162.47859072685242
5000000,42,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.482275,168.65358209609985
5000000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,0.48175999999999997,174.80032444000244
5000000,42,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.53856,181.03378343582153
5000000,42,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.48306,187.08677649497986
5000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,0.489095,193.31561279296875
