input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000,32,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.115075,10.076933145523071
1000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.11396,14.825941324234009
1000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.192515,19.993885278701782
1000000,8,threads,spread, ,simd,"schedule(static,1)",dynamic,0.115665,24.794779777526855
1000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.193945,29.771037817001343
1000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.12282,34.76495170593262
1000000,32,threads,close, ,simd,"schedule(static,1)",static,0.11197499999999999,39.32950711250305
1000000,42,sockets,close, , , ,static,0.110305,44.180253744125366
1000000,16,cores,master, , ,"schedule(static,4)",dynamic,0.11490500000000001,49.23059964179993
1000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.10117,54.12991237640381
1000000,16,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.117395,59.080639362335205
1000000,32,sockets,close, ,simd,"schedule(static,2)",dynamic,0.10128000000000001,63.79694581031799
1000000,42,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.112495,68.82266449928284
1000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.13529,73.8311858177185
1000000,21,cores,master, , ,"schedule(static,1)",dynamic,0.10036,78.30393862724304
1000000,16,cores,spread, , ,"schedule(static,4)",dynamic,0.11713,83.2937605381012
1000000,16,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.115645,88.29357576370239
1000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.11024,92.97914218902588
1000000,8,cores,spread, , , ,dynamic,0.103885,97.61538338661194
1000000,21,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.10926,102.41238522529602
1000000,4,cores,close, ,simd,"schedule(static,32)",static,0.19319999999999998,107.50212383270264
