input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
100000,32,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.0225,9.961519718170166
100000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.022465,14.725974559783936
100000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.13277,19.713918447494507
100000,8,threads,spread, ,simd,"schedule(static,1)",dynamic,0.017075,24.284813165664673
100000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.142685,29.147229433059692
100000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.043215,33.852054595947266
100000,32,threads,close, ,simd,"schedule(static,1)",static,0.017035,38.23584198951721
100000,42,sockets,close, , , ,static,0.017384999999999998,44.25711727142334
100000,16,cores,master, , ,"schedule(static,4)",dynamic,0.022735,49.10927176475525
100000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.018055,53.82647514343262
100000,16,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.022495,58.467973947525024
100000,32,sockets,close, ,simd,"schedule(static,2)",dynamic,0.018105,62.86062932014465
100000,42,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.022425,67.53627347946167
100000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.08410500000000001,72.09782266616821
100000,21,cores,master, , ,"schedule(static,1)",dynamic,0.0169,76.76108860969543
100000,16,cores,spread, , ,"schedule(static,4)",dynamic,0.02282,81.02938342094421
100000,16,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.01693,85.53025889396667
100000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.016975,90.16022086143494
100000,8,cores,spread, , , ,dynamic,0.01695,94.59821152687073
100000,21,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.018095,98.96745228767395
100000,4,cores,close, ,simd,"schedule(static,32)",static,0.13588,103.73368525505066
100000,21,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.01803,108.30897164344788
100000,21,threads,close, , , ,dynamic,0.017005,113.46260905265808
100000,4,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.08507,118.02980756759644
100000,4,cores,master, , ,"schedule(static,4)",static,0.022449999999999998,122.61920380592346
100000,8,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.022585,127.11961364746094
100000,42,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.018095,131.8266818523407
