input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
5000000,8,sockets,master, ,simd,"schedule(static,4)",0.47958999999999996,929.9165298938751
5000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,2)",0.48227,936.1212067604065
5000000,21,cores,master, , ,"schedule(static,2)",0.48114500000000004,941.7870490550995
5000000,2,cores,close,#pragma omp parallel for, ,"schedule(static,8)",0.4908,947.4984295368195
5000000,8,cores,close, ,simd, ,0.480605,953.282856464386
5000000,16,cores,close,#pragma omp parallel for, ,"schedule(static,8)",0.49082499999999996,959.1468005180359
5000000,8,threads,spread,#pragma omp parallel for,simd,"schedule(static,2)",0.480465,965.0033414363861
5000000,32,sockets,master,#pragma omp parallel for,simd,"schedule(static,16)",0.50317,970.9165787696838
5000000,2,cores,master,#pragma omp parallel for, ,"schedule(static,1)",0.483915,976.6431977748871
5000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",0.490255,982.3436760902405
5000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,16)",0.503395,988.2179796695709
5000000,4,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",0.48169,993.9999506473541
5000000,4,sockets,close, , ,"schedule(static,32)",0.5370349999999999,999.8384099006653
5000000,21,cores,spread,#pragma omp parallel for,simd,"schedule(static,1)",0.482265,1005.7592084407806
5000000,42,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",0.48253999999999997,1012.0930259227753
5000000,4,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",0.48253999999999997,1017.8684628009796
5000000,21,threads,master, ,simd,"schedule(static,8)",0.48924,1023.540613412857
5000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",0.479795,1029.2634055614471
5000000,2,threads,spread, ,simd,"schedule(static,1)",0.481275,1034.8866984844208
5000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",0.49039,1040.6980402469635
5000000,42,cores,master,#pragma omp parallel for, ,"schedule(static,2)",0.48213,1046.795238494873
5000000,8,threads,master,#pragma omp parallel for,simd,"schedule(static,1)",0.48059,1052.4587726593018
5000000,8,sockets,spread, ,simd, ,0.48124500000000003,1058.1427021026611
5000000,2,sockets,spread, , ,"schedule(static,32)",0.53764,1063.9214265346527
5000000,4,cores,spread, ,simd,"schedule(static,4)",0.47997500000000004,1069.677800655365
5000000,21,cores,spread,#pragma omp parallel for, ,"schedule(static,2)",0.48173,1075.7589168548584
5000000,21,sockets,master,#pragma omp parallel for, ,"schedule(static,32)",0.53696,1085.4423747062683
5000000,4,sockets,master,#pragma omp parallel for,simd, ,0.48069,1091.1754829883575
5000000,16,cores,spread, ,simd,"schedule(static,1)",0.48249,1097.0797867774963
5000000,8,cores,close, , ,"schedule(static,1)",0.480545,1102.7004928588867
5000000,42,threads,spread, , , ,0.48506,1108.4691355228424
5000000,4,sockets,spread, ,simd,"schedule(static,16)",0.5021800000000001,1114.2001509666443
5000000,42,sockets,master, , , ,0.48084000000000005,1119.8061933517456
5000000,4,sockets,master, , ,"schedule(static,16)",0.5006900000000001,1125.7033092975616
5000000,2,threads,master, , ,"schedule(static,1)",0.480425,1131.3589715957642
5000000,4,sockets,spread,#pragma omp parallel for, ,"schedule(static,16)",0.5029250000000001,1137.3559749126434
5000000,42,threads,spread,#pragma omp parallel for, , ,0.482605,1143.3051483631134
5000000,21,threads,close,#pragma omp parallel for, ,"schedule(static,8)",0.490555,1149.2809298038483
5000000,16,sockets,spread,#pragma omp parallel for, ,"schedule(static,32)",0.539555,1155.0998482704163
5000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,32)",0.537955,1161.069396018982
5000000,21,threads,spread, , ,"schedule(static,16)",0.5011049999999999,1166.9817550182343
5000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",0.48231999999999997,1172.835325717926
5000000,42,sockets,spread, , ,"schedule(static,2)",0.48101499999999997,1178.6333973407745
5000000,21,threads,master, , ,"schedule(static,32)",0.535985,1184.6682133674622
5000000,8,sockets,close, , ,"schedule(static,32)",0.53642,1190.6353862285614
5000000,4,threads,close, , ,"schedule(static,32)",0.5368200000000001,1196.665860414505
5000000,8,cores,spread, ,simd,"schedule(static,4)",0.48069,1202.462453365326
5000000,42,sockets,master,#pragma omp parallel for, ,"schedule(static,16)",0.50254,1208.4951388835907
5000000,21,sockets,master,#pragma omp parallel for,simd,"schedule(static,32)",0.538725,1214.5156698226929
5000000,32,cores,close, ,simd,"schedule(static,16)",0.500725,1220.3588671684265
5000000,16,threads,close, , ,"schedule(static,2)",0.480615,1226.2613415718079
5000000,21,cores,master, ,simd,"schedule(static,4)",0.479735,1231.8882794380188
5000000,2,sockets,close, , ,"schedule(static,32)",0.536405,1237.8511226177216
5000000,32,threads,master,#pragma omp parallel for, ,"schedule(static,1)",0.482605,1243.7206673622131
5000000,32,cores,master,#pragma omp parallel for, ,"schedule(static,1)",0.48233,1249.671752691269
5000000,32,threads,master, ,simd,"schedule(static,32)",0.53539,1255.4542891979218
5000000,32,threads,spread, , ,"schedule(static,16)",0.50103,1261.1944353580475
5000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,16)",0.503215,1267.1351816654205
5000000,4,threads,spread, ,simd,"schedule(static,8)",0.48889499999999997,1272.8133833408356
5000000,42,cores,master,#pragma omp parallel for, ,"schedule(static,8)",0.49173,1278.7866117954254
5000000,2,sockets,master, , ,"schedule(static,4)",0.47956,1284.4315736293793
5000000,32,cores,spread,#pragma omp parallel for, ,"schedule(static,8)",0.490845,1290.5650782585144
5000000,16,cores,close,#pragma omp parallel for, , ,0.48233499999999996,1296.3905501365662
5000000,21,sockets,close,#pragma omp parallel for,simd, ,0.48327,1302.3557670116425
5000000,32,cores,close, ,simd,"schedule(static,8)",0.48863500000000004,1308.1252570152283
5000000,4,threads,master, ,simd,"schedule(static,4)",0.47984000000000004,1313.6919078826904
5000000,16,sockets,spread, ,simd,"schedule(static,32)",0.535945,1319.5475568771362
5000000,4,threads,close, , ,"schedule(static,2)",0.48075,1325.3784627914429
5000000,42,threads,close,#pragma omp parallel for, , ,0.48236,1331.3159651756287
5000000,42,sockets,close, ,simd,"schedule(static,8)",0.4894,1337.0595734119415
5000000,16,sockets,master,#pragma omp parallel for,simd,"schedule(static,32)",0.5388200000000001,1343.2109928131104
5000000,2,threads,master,#pragma omp parallel for, ,"schedule(static,4)",0.480535,1348.8855810165405
5000000,8,threads,close,#pragma omp parallel for, ,"schedule(static,4)",0.48235,1354.5718975067139
5000000,21,sockets,spread, , ,"schedule(static,32)",0.5366500000000001,1360.6159307956696
5000000,42,sockets,close,#pragma omp parallel for, , ,0.48253500000000005,1367.511245250702
5000000,32,sockets,close, , ,"schedule(static,1)",0.48022,1373.1137001514435
5000000,21,cores,close,#pragma omp parallel for,simd,"schedule(static,16)",0.502475,1378.9284954071045
5000000,32,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",0.48090999999999995,1384.8605415821075
5000000,21,cores,spread, , ,"schedule(static,16)",0.501185,1390.6956255435944
5000000,2,threads,master, ,simd,"schedule(static,8)",0.48889,1396.6227297782898
5000000,21,cores,close, , ,"schedule(static,1)",0.480355,1402.288667678833
5000000,8,threads,spread,#pragma omp parallel for,simd, ,0.4829,1408.0823948383331
5000000,4,cores,spread, ,simd,"schedule(static,16)",0.500665,1413.8033654689789
5000000,42,cores,spread, ,simd,"schedule(static,2)",0.479625,1419.495861530304
5000000,8,threads,spread,#pragma omp parallel for,simd, ,0.480325,1425.213743686676
5000000,16,cores,close,#pragma omp parallel for,simd, ,0.483185,1431.1782400608063
5000000,32,sockets,master, ,simd,"schedule(static,16)",0.50056,1436.9910960197449
5000000,4,cores,spread,#pragma omp parallel for,simd,"schedule(static,4)",0.480335,1442.643875837326
5000000,42,cores,spread, ,simd,"schedule(static,2)",0.480715,1448.3205864429474
5000000,16,cores,spread, ,simd,"schedule(static,2)",0.479745,1454.0048568248749
5000000,16,cores,close,#pragma omp parallel for,simd,"schedule(static,32)",0.540725,1459.997835636139
5000000,16,threads,master,#pragma omp parallel for, ,"schedule(static,2)",0.48172000000000004,1465.9359889030457
5000000,2,cores,close,#pragma omp parallel for,simd, ,0.480415,1471.6249284744263
5000000,8,sockets,spread,#pragma omp parallel for, ,"schedule(static,4)",0.48177000000000003,1477.5988857746124
5000000,42,threads,master, ,simd,"schedule(static,8)",0.489985,1483.3412883281708
5000000,32,threads,close, ,simd,"schedule(static,4)",0.47979499999999997,1488.9860441684723
5000000,2,threads,close, , ,"schedule(static,4)",0.479695,1494.6844387054443
5000000,8,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",0.481095,1500.4825224876404
5000000,32,threads,close, ,simd,"schedule(static,8)",0.489425,1506.234468460083
5000000,2,sockets,spread, ,simd,"schedule(static,2)",0.47986,1511.9265129566193
5000000,4,cores,close, ,simd, ,0.481305,1652.9065263271332
5000000,8,sockets,master, ,simd,"schedule(static,2)",0.48021,1714.1130166053772
5000000,2,sockets,master, , , ,0.481935,1783.7238433361053
5000000,16,cores,close, ,simd, ,0.48061,1909.365162372589
5000000,2,sockets,master, ,simd, ,0.48101499999999997,1974.8307576179504
5000000,2,sockets,close, ,simd, ,0.48094,2088.498166322708
5000000,42,sockets,master, ,simd, ,0.48053,2178.126392841339
5000000,32,sockets,master, ,simd,"schedule(static,2)",0.48006499999999996,2216.926962375641
5000000,2,cores,spread, ,simd, ,0.48055499999999995,2444.728008031845
5000000,42,threads,master, , , ,0.48061,2486.634590148926
5000000,2,cores,close, ,simd, ,0.48116499999999995,2682.5986907482147
5000000,16,sockets,master, ,simd,"schedule(static,2)",0.479205,2720.367346048355
5000000,42,cores,master, , , ,0.48101499999999997,2759.2793502807617
5000000,2,threads,close, ,simd, ,0.480965,2848.702749490738
5000000,2,threads,spread, ,simd, ,0.48062,2938.6388046741486
5000000,4,sockets,master, ,simd, ,0.48062499999999997,3040.4644722938538
5000000,4,sockets,master, ,simd,"schedule(static,2)",0.480085,3086.960885286331
5000000,4,sockets,close, ,simd, ,0.480595,3213.1940228939056
5000000,8,sockets,close, ,simd,"schedule(static,2)",0.480275,3256.455557823181
5000000,32,cores,master, , , ,0.480375,3289.413177251816
5000000,4,threads,master, ,simd, ,0.48066,3351.6996874809265
5000000,2,threads,master, ,simd, ,0.4805,3426.915553331375
5000000,2,cores,master, ,simd, ,0.48036,3499.883401155472
5000000,4,threads,close, ,simd, ,0.48046500000000003,3706.9066400527954
5000000,42,sockets,master, ,simd,"schedule(static,2)",0.479835,3743.826622247696
5000000,4,threads,spread, ,simd, ,0.48084,3867.094961643219
5000000,4,cores,master, ,simd, ,0.480485,4008.3788187503815
5000000,2,sockets,spread, ,simd, ,0.480255,4117.958324432373
5000000,2,cores,close, ,simd,"schedule(static,2)",0.479885,4154.009683847427
5000000,21,cores,master, ,simd, ,0.48084,4356.016020298004
5000000,32,threads,close, ,simd, ,0.4804,4460.877827644348
5000000,8,sockets,close, ,simd, ,0.480425,4688.858172416687
5000000,4,sockets,spread, ,simd, ,0.48028000000000004,4833.980468988419
5000000,16,sockets,master, ,simd, ,0.48046500000000003,4953.870677232742
5000000,4,cores,spread, ,simd, ,0.48041,5037.671889066696
5000000,8,threads,close, ,simd, ,0.480545,5099.81328701973
5000000,16,sockets,close, ,simd, ,0.48038000000000003,5136.639279842377
5000000,2,sockets,spread,#pragma omp parallel for,simd, ,0.480485,5295.255469799042
5000000,42,cores,close, ,simd,"schedule(static,1)",0.4806,5331.624388456345
5000000,2,threads,spread,#pragma omp parallel for,simd, ,0.48048,5478.360852241516
5000000,16,sockets,spread, ,simd, ,0.48166,5744.786089897156
5000000,16,threads,close, ,simd, ,0.48048,5893.158481359482
5000000,2,sockets,close,#pragma omp parallel for,simd, ,0.480645,6069.734418392181
5000000,8,sockets,master, ,simd, ,0.48005,6335.936404943466
5000000,8,cores,spread, ,simd, ,0.480305,6477.01837015152
5000000,2,cores,close, , ,"schedule(static,2)",0.48024,6552.361824989319
5000000,42,cores,close, , , ,0.48046500000000003,6594.166618347168
5000000,42,cores,close, , ,"schedule(static,2)",0.47977000000000003,6635.96425485611
5000000,21,sockets,close, ,simd, ,0.480415,6673.5431480407715
5000000,8,threads,spread, ,simd, ,0.48079,6819.689314842224
5000000,2,threads,close,#pragma omp parallel for,simd, ,0.480525,7061.963868379593
5000000,8,threads,master, ,simd, ,0.48061,7186.532670497894
5000000,42,sockets,close, ,simd,"schedule(static,4)",0.479655,7228.147903442383
5000000,4,sockets,spread,#pragma omp parallel for,simd, ,0.481875,7268.277239322662
5000000,16,cores,spread, ,simd, ,0.48033000000000003,7383.507901906967
5000000,2,cores,master, , , ,0.48532,7489.718645334244
5000000,21,cores,close, ,simd, ,0.48216,7607.785981893539
5000000,8,cores,master, ,simd, ,0.48053,7756.853454589844
5000000,16,cores,master, ,simd, ,0.48023499999999997,7868.5639107227325
5000000,4,sockets,master, , , ,0.480545,7921.594102859497
5000000,2,threads,master, , , ,0.48061,7981.906743049622
5000000,2,sockets,master, , ,"schedule(static,2)",0.480305,8142.839092493057
5000000,2,cores,close, ,simd,"schedule(static,1)",0.48041500000000004,8205.751348257065
5000000,2,sockets,spread, , , ,0.48050499999999996,8336.429811239243
5000000,16,threads,master, ,simd, ,0.48073,8487.436996459961
5000000,8,sockets,master, , , ,0.48075,8617.34617304802
5000000,21,threads,master, ,simd, ,0.48048,8773.338753461838
5000000,16,cores,close, , , ,0.48014500000000004,8820.140424966812
5000000,4,cores,master, , , ,0.48067499999999996,8886.7389523983
5000000,21,sockets,master, ,simd, ,0.481105,8965.447169542313
5000000,32,cores,master, ,simd, ,0.48028000000000004,9066.557013988495
5000000,16,threads,master, , , ,0.48041,9186.673775911331
5000000,16,threads,spread, ,simd, ,0.48050499999999996,9279.007148981094
5000000,32,cores,close, ,simd,"schedule(static,2)",0.480085,9451.38277053833
5000000,32,cores,close, , ,"schedule(static,2)",0.47989499999999996,9490.959219455719
5000000,21,cores,close, ,simd,"schedule(static,1)",0.48029,9603.474879741669
5000000,4,sockets,master, ,simd,"schedule(static,1)",0.48047,9707.736254692078
5000000,2,sockets,master, ,simd,"schedule(static,1)",0.48067000000000004,9865.991801023483
5000000,32,cores,close, ,simd,"schedule(static,1)",0.480345,9923.106199026108
5000000,4,cores,spread, ,simd,"schedule(static,1)",0.480305,9970.560953855515
5000000,42,cores,close, , ,"schedule(static,1)",0.48066,10013.293294429779
5000000,32,cores,spread, ,simd,"schedule(static,1)",0.48039,10078.904515504837
5000000,2,cores,spread, ,simd,"schedule(static,2)",0.47988,10231.482875585556
5000000,2,cores,master, ,simd,"schedule(static,2)",0.47997999999999996,10460.648933172226
5000000,4,cores,close, ,simd,"schedule(static,1)",0.480305,10706.137892007828
5000000,8,cores,close, ,simd,"schedule(static,1)",0.48034,10998.838093996048
5000000,4,threads,master, ,simd,"schedule(static,2)",0.47976,11130.248453140259
5000000,42,cores,master, ,simd,"schedule(static,2)",0.4797,11185.236223459244
5000000,16,cores,master, ,simd,"schedule(static,2)",0.47983,11433.977887153625
5000000,8,cores,master, ,simd,"schedule(static,2)",0.479395,11663.35770559311
5000000,21,cores,close, ,simd,"schedule(static,2)",0.48062499999999997,11705.178282737732
5000000,42,threads,close, ,simd,"schedule(static,1)",0.480815,11911.746480464935
5000000,2,threads,master, ,simd,"schedule(static,1)",0.480425,11959.240347862244
5000000,21,sockets,close, ,simd,"schedule(static,2)",0.479995,12018.166461229324
5000000,2,sockets,master,#pragma omp parallel for,simd,"schedule(static,2)",0.47997999999999996,12063.959939956665
5000000,4,sockets,close, ,simd,"schedule(static,2)",0.48014,12113.22100019455
5000000,4,cores,master, ,simd,"schedule(static,2)",0.479645,12196.855074167252
5000000,8,cores,master, , , ,0.48049,12245.91558432579
5000000,2,cores,spread, ,simd,"schedule(static,1)",0.480445,12408.473313331604
5000000,2,threads,master, ,simd,"schedule(static,2)",0.47978,12643.763219833374
