input,p0,p1,p2,p3,p4,p5,objective,elapsed_sec
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,32)",0.19333,455.0943179130554
1000000,42,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",0.11617,460.08162546157837
1000000,8,threads,master, ,simd,"schedule(static,4)",0.11726500000000001,464.8270697593689
1000000,42,threads,close,#pragma omp parallel for,simd, ,0.107335,469.6709372997284
1000000,4,threads,master, , ,"schedule(static,16)",0.13474999999999998,474.2971541881561
1000000,21,cores,master, ,simd,"schedule(static,2)",0.100545,479.2238578796387
1000000,42,cores,close,#pragma omp parallel for, ,"schedule(static,2)",0.105505,484.008017539978
1000000,16,sockets,master, ,simd,"schedule(static,16)",0.13325,492.3904571533203
1000000,42,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",0.19389,497.6596713066101
1000000,2,cores,master,#pragma omp parallel for,simd,"schedule(static,32)",0.19315,502.434654712677
1000000,16,cores,spread, ,simd,"schedule(static,16)",0.13396,507.1368260383606
1000000,32,cores,spread, ,simd,"schedule(static,1)",0.10807,511.58206820487976
1000000,2,cores,close, , , ,0.10694999999999999,516.2664339542389
1000000,8,sockets,master, ,simd,"schedule(static,1)",0.115255,520.7973563671112
1000000,42,threads,close,#pragma omp parallel for, , ,0.104845,525.5374677181244
1000000,4,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",0.104845,529.999743938446
1000000,16,threads,master, , ,"schedule(static,1)",0.115625,534.7126338481903
1000000,21,threads,master, ,simd,"schedule(static,8)",0.12549,539.2190313339233
1000000,16,cores,master, , ,"schedule(static,1)",0.104485,543.703339099884
1000000,8,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",0.133125,548.3863000869751
1000000,21,sockets,master, ,simd,"schedule(static,8)",0.127995,552.8873093128204
1000000,21,threads,spread, ,simd,"schedule(static,16)",0.143095,557.5736062526703
1000000,2,sockets,close,#pragma omp parallel for,simd, ,0.103205,561.9866242408752
1000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",0.100345,567.2737944126129
1000000,16,cores,close, ,simd,"schedule(static,2)",0.10273,571.8787095546722
1000000,32,cores,spread,#pragma omp parallel for, ,"schedule(static,8)",0.11507500000000001,576.8205478191376
1000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",0.126155,581.5228216648102
1000000,42,threads,spread,#pragma omp parallel for,simd,"schedule(static,2)",0.10866,586.369978427887
1000000,2,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",0.19668999999999998,591.2075374126434
1000000,16,sockets,master,#pragma omp parallel for,simd, ,0.103715,595.8574903011322
1000000,4,sockets,master, , ,"schedule(static,2)",0.11599999999999999,600.3849139213562
1000000,32,cores,close,#pragma omp parallel for, ,"schedule(static,1)",0.11094,605.3197305202484
1000000,2,sockets,spread, ,simd,"schedule(static,16)",0.14349499999999998,609.928953409195
1000000,8,sockets,master, , ,"schedule(static,2)",0.11638499999999999,614.5692172050476
1000000,32,sockets,spread,#pragma omp parallel for,simd,"schedule(static,32)",0.19289499999999998,619.5219600200653
1000000,42,cores,master, ,simd,"schedule(static,8)",0.12603,624.0329959392548
1000000,16,sockets,master,#pragma omp parallel for, , ,0.11687,628.5789773464203
1000000,4,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",0.192965,633.3432095050812
