input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
10000000,2,20, ,#pragma omp parallel for,4,16,cores,balanced,21.89179,86.7342004776001
10000000,5,80, ,#pragma omp parallel for,128,2,threads,balanced,21.7087,165.15643620491028
10000000,6,40, ,#pragma omp parallel for,256,4,threads,scatter,21.72356,243.5758228302002
10000000,2,64, , ,128,8,sockets,disabled,21.65138,321.23624539375305
10000000,7,64, ,#pragma omp parallel for,16,96,cores,compact,21.697094999999997,399.63392639160156
10000000,4,160,#pragma clang loop unrolling full, ,8,64,cores,none,21.673920000000003,477.31133699417114
10000000,2,40, , ,96,8,threads,none,21.703805000000003,555.1260778903961
10000000,6,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,disabled,21.61287,633.8479149341583
10000000,7,200, ,#pragma omp parallel for,8,8,sockets,explicit,21.62115,712.5252168178558
10000000,5,100, ,#pragma omp parallel for,2,96,threads,none,21.622825,790.6376538276672
10000000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,21.640214999999998,869.3499150276184
10000000,5,64,#pragma clang loop unrolling full, ,256,128,threads,scatter,21.694815,947.0984933376312
10000000,2,200,#pragma clang loop unrolling full, ,128,4,sockets,scatter,21.58557,1024.5038704872131
10000000,2,10, , ,32,2,cores,compact,21.99215,1103.2251327037811
10000000,6,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,threads,compact,21.61167,1181.3256661891937
10000000,5,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,cores,disabled,21.73796,1259.7592329978943
10000000,5,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,cores,disabled,22.106265,1339.3103547096252
10000000,5,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,sockets,explicit,21.677025,1417.6422412395477
10000000,3,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,sockets,explicit,22.111515,1497.1632978916168
10000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,cores,compact,21.68898,1575.4078378677368
10000000,5,160, ,#pragma omp parallel for,4,2,threads,compact,21.74588,1654.437763929367
10000000,2,64, , ,96,4,sockets,disabled,21.657885,1732.1002571582794
10000000,3,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,threads,compact,21.697255,1810.280856370926
10000000,7,20, , ,128,256,cores,compact,21.85385,1888.5191533565521
10000000,3,80, , ,2,8,sockets,none,21.733995,1966.4519910812378
10000000,3,64,#pragma clang loop unrolling full, ,64,8,sockets,disabled,21.661425,2044.1201827526093
10000000,6,128, , ,2,4,cores,none,21.657435,2121.7609128952026
10000000,3,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,disabled,21.602739999999997,2200.289865255356
10000000,8,64, ,#pragma omp parallel for,32,32,sockets,disabled,21.76427,2278.8611075878143
10000000,8,10, ,#pragma omp parallel for,64,32,cores,explicit,22.103749999999998,2358.4378106594086
10000000,8,128, ,#pragma omp parallel for,256,256,sockets,none,21.669555,2437.411812067032
10000000,3,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,explicit,22.05225,2516.6807157993317
10000000,6,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,cores,balanced,21.73288,2595.0974209308624
10000000,2,80, , ,8,128,cores,compact,21.668165000000002,2672.7844529151917
10000000,3,20,#pragma clang loop unrolling full, ,16,96,sockets,scatter,21.837885,2750.9637093544006
10000000,8,160, , ,8,96,threads,compact,21.62878,2828.561239004135
10000000,5,200,#pragma clang loop unrolling full, ,32,64,cores,balanced,21.570675,2906.02894449234
10000000,7,160, ,#pragma omp parallel for,64,16,sockets,disabled,21.65136,2984.835381746292
10000000,7,20,#pragma clang loop unrolling full, ,8,128,sockets,none,21.86071,3063.0983884334564
10000000,3,100, , ,8,96,sockets,balanced,21.67538,3140.820164203644
10000000,7,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,threads,explicit,21.649845,3219.0410397052765
10000000,7,40,#pragma clang loop unrolling full, ,4,2,sockets,none,21.740805,3296.918551683426
10000000,3,80,#pragma clang loop unrolling full, ,96,64,cores,balanced,21.630580000000002,3374.566260099411
10000000,4,20, , ,32,256,sockets,disabled,21.840184999999998,3452.7586085796356
10000000,4,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,explicit,21.771725,3531.256183385849
10000000,8,40,#pragma clang loop unrolling full, ,96,128,sockets,disabled,21.70581,3609.0428969860077
10000000,6,80, ,#pragma omp parallel for,8,8,sockets,balanced,21.64162,3687.360111474991
10000000,6,64, ,#pragma omp parallel for,4,64,cores,balanced,21.624094999999997,3765.530856370926
10000000,5,10, , ,16,32,cores,explicit,22.0434,3844.371262073517
10000000,4,40, ,#pragma omp parallel for,256,32,threads,balanced,21.644905,3922.509059906006
10000000,5,100, , ,32,96,cores,explicit,21.66068,4000.16060590744
10000000,8,128, , ,4,96,threads,balanced,21.630679999999998,4077.720026254654
10000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,threads,none,21.60158,4155.63965511322
10000000,3,200, , ,64,96,cores,scatter,21.53635,4232.943401098251
10000000,7,80, , ,64,8,threads,scatter,21.606915,4310.481090784073
