p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,3.6555999999999997,28.95871067047119
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,7.761055000000001,66.9585828781128
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,3.7937,92.95799899101257
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,2.2232849999999997,114.95779323577881
6,64, , ,16,96,sockets,explicit,2.87488,139.1285183429718
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,3.093785,165.77775025367737
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,7.79937,205.95140600204468
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,3.231915,232.12859749794006
4,64, ,#pragma omp parallel for,16,8,cores,disabled,4.52677,262.4188497066498
8,160, ,#pragma omp parallel for,8,32,cores,explicit,2.3032500000000002,286.98496532440186
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,none,2.220535,309.355592250824
8,64,#pragma clang loop unrolling full, ,256,32,sockets,none,2.308725,332.09606671333313
8,10,#pragma clang loop unrolling full, ,128,32,threads,none,2.305855,354.6458430290222
8,160, , ,32,32,threads,none,2.2422500000000003,377.26597332954407
8,80, , ,32,32,sockets,none,2.292295,401.5311689376831
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,none,2.30631,424.3037807941437
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,sockets,none,2.2957099999999997,446.98022055625916
8,80, , ,32,32,cores,none,2.27862,469.49946641921997
8,40,#pragma clang loop unrolling full, ,16,32,cores,none,2.3518850000000002,493.7578809261322
8,128, ,#pragma omp parallel for,16,32,cores,none,2.31277,518.056925535202
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,cores,none,2.31336,540.5897731781006
8,100, ,#pragma omp parallel for,64,8,threads,explicit,2.276915,564.8691329956055
8,64, ,#pragma omp parallel for,32,32,threads,compact,2.531135,589.4997744560242
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,cores,disabled,2.3193599999999996,613.8207156658173
8,64,#pragma clang loop unrolling full, ,64,16,cores,scatter,2.2911599999999996,636.5281801223755
8,64, ,#pragma omp parallel for,64,8,cores,none,2.248285,658.8885397911072
7,100, ,#pragma omp parallel for,2,4,threads,compact,2.970855,685.1609146595001
8,160, , ,64,4,cores,none,2.2864899999999997,707.7488036155701
8,64, ,#pragma omp parallel for,64,2,cores,compact,2.854755,734.0543625354767
8,160, ,#pragma omp parallel for,2,256,cores,none,2.29948,758.3660545349121
8,64,#pragma clang loop unrolling full, ,64,2,cores,none,2.29434,781.1596729755402
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,cores,none,2.217855,803.6300253868103
8,160, ,#pragma omp parallel for,2,4,cores,compact,2.58681,829.9321899414062
8,128, ,#pragma omp parallel for,64,256,cores,none,2.25055,854.2596292495728
8,128, ,#pragma omp parallel for,64,4,threads,none,2.190305,878.5863568782806
8,10, ,#pragma omp parallel for,16,96,threads,none,2.28215,901.5706136226654
8,40, ,#pragma omp parallel for,16,96,threads,none,2.26117,924.1645822525024
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,sockets,none,2.316845,948.46466588974
