p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,3.6852799999999997,28.98018455505371
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,7.777275,66.98118305206299
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,3.706525,92.97964525222778
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,2.213495,113.35178923606873
8,10, , ,256,128,cores,disabled,2.3443449999999997,134.97976779937744
6,64, , ,16,96,sockets,explicit,2.94459,158.9811623096466
4,10,#pragma clang loop unrolling full, ,8,96,cores,scatter,4.612995,186.98023128509521
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,3.09693,210.9796917438507
4,20,#pragma clang loop unrolling full, ,256,128,cores,disabled,4.625215000000001,238.97964096069336
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,7.80077,278.9796361923218
7,160, , ,2,8,sockets,none,2.6735249999999997,300.98017144203186
2,40, ,#pragma omp parallel for,256,96,cores,compact,8.278500000000001,342.9795777797699
2,200, , ,16,64,threads,balanced,7.8236799999999995,382.97909116744995
2,80, , ,2,96,cores,disabled,7.640265,420.9797332286835
7,128,#pragma clang loop unrolling full, ,8,256,sockets,compact,3.9829749999999997,446.9802625179291
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,scatter,4.5432,474.9800751209259
5,20,#pragma clang loop unrolling full, ,96,16,threads,none,3.593945,500.9797639846802
5,200,#pragma clang loop unrolling full, ,32,32,sockets,scatter,3.73475,526.979660987854
5,10,#pragma clang loop unrolling full, ,256,64,threads,scatter,3.7995900000000002,552.9802510738373
2,128, , ,96,256,cores,compact,7.82482,594.9795360565186
8,200,#pragma clang loop unrolling full, ,4,256,threads,explicit,2.20918,615.475337266922
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,threads,disabled,6.131935,648.9803993701935
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,2.5904350000000003,672.9797732830048
2,128, ,#pragma omp parallel for,96,2,cores,disabled,9.078805,714.9798603057861
