p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.794725,20.989187240600586
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,1.5478450000000001,40.98948431015015
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.771995,57.27884793281555
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.50007,74.98858332633972
6,64, , ,16,96,sockets,explicit,0.5633250000000001,93.22679924964905
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.621105,111.40632462501526
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,1.5518399999999999,131.58560585975647
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,0.77996,149.7489755153656
2,64, ,#pragma omp parallel for,128,96,threads,none,2.15103,172.08529233932495
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,threads,none,0.969105,190.78360891342163
5,64, ,#pragma omp parallel for,96,96,cores,compact,0.98101,209.54311609268188
4,64, , ,8,8,cores,none,0.923645,228.06666159629822
7,64, ,#pragma omp parallel for,2,32,threads,none,0.570165,246.35676622390747
4,64, ,#pragma omp parallel for,8,128,threads,none,0.96472,265.1761646270752
3,64, ,#pragma omp parallel for,128,96,sockets,none,1.30827,285.5069878101349
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,threads,none,0.49531000000000003,303.8624806404114
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,threads,none,0.48685,322.17866039276123
8,64,#pragma clang loop unrolling full, ,32,2,cores,none,0.47084000000000004,340.5143096446991
8,64, , ,16,96,threads,none,0.45075,358.840457201004
8,64, ,#pragma omp parallel for,16,4,cores,none,0.48613,377.2016122341156
8,10, ,#pragma omp parallel for,4,96,cores,none,0.47631,395.5019452571869
8,20, , ,16,32,cores,none,0.49557,413.8168315887451
8,80,#pragma clang loop unrolling full, ,64,96,threads,compact,0.50699,432.2230567932129
8,160, , ,16,96,threads,balanced,0.392145,450.5644953250885
8,40, , ,96,96,threads,compact,0.52241,468.9245979785919
8,80, , ,16,128,sockets,scatter,0.47585,487.28692388534546
7,64, , ,16,96,threads,disabled,0.56636,505.6894063949585
8,10, ,#pragma omp parallel for,16,96,sockets,scatter,0.483275,524.0790929794312
6,40, , ,16,96,threads,explicit,0.627365,542.44983959198
2,80, , ,16,16,threads,balanced,1.567345,563.0292966365814
7,200, , ,16,96,threads,disabled,0.47761,581.4231774806976
8,64, , ,16,96,cores,balanced,0.558255,599.827586889267
8,160, , ,16,32,threads,compact,0.72377,618.2951073646545
8,128, ,#pragma omp parallel for,2,96,threads,balanced,0.39216,636.6855337619781
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,threads,balanced,0.39403,655.1151731014252
7,80, ,#pragma omp parallel for,16,128,threads,balanced,0.447015,673.5106070041656
8,100, ,#pragma omp parallel for,2,96,threads,balanced,0.395105,691.9137918949127
8,10, ,#pragma omp parallel for,64,96,threads,balanced,0.55304,710.3580055236816
7,10, ,#pragma omp parallel for,16,96,threads,none,0.56577,728.7652509212494
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,sockets,balanced,0.39109499999999997,745.7386996746063
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,threads,balanced,0.39307000000000003,762.6913197040558
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,sockets,balanced,0.39441000000000004,781.1620559692383
8,80,#pragma clang loop unrolling full, ,128,64,sockets,balanced,0.396975,798.0976021289825
8,80, ,#pragma omp parallel for,128,128,threads,balanced,0.51989,816.562769651413
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,sockets,balanced,0.39622,834.9814872741699
8,80,#pragma clang loop unrolling full, ,128,8,sockets,balanced,0.39741,853.4634408950806
8,160,#pragma clang loop unrolling full, ,128,8,sockets,balanced,0.583295,871.9050252437592
6,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,sockets,none,0.6579649999999999,890.3205921649933
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,threads,balanced,0.396465,908.8337843418121
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,threads,balanced,0.39605500000000005,927.2837476730347
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,sockets,balanced,0.39554,945.7394967079163
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,threads,balanced,0.39497000000000004,964.1936674118042
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,balanced,0.39276,982.6867208480835
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,cores,balanced,0.39327,1001.1220269203186
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,balanced,0.401865,1018.1105997562408
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,balanced,0.395175,1035.074479341507
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,threads,balanced,0.39339,1053.5412368774414
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,threads,balanced,0.39588500000000004,1071.9985916614532
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,sockets,balanced,0.39529000000000003,1088.9832162857056
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,sockets,balanced,0.39224000000000003,1107.477051973343
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,sockets,balanced,0.3931,1125.9032742977142
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,balanced,0.392755,1144.3437311649323
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,sockets,balanced,0.39254500000000003,1162.8060145378113
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,cores,balanced,0.39381,1181.2863073349
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,balanced,0.39342,1199.7500507831573
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,sockets,balanced,0.395745,1218.283001422882
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,cores,balanced,0.39244999999999997,1236.74742603302
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,sockets,balanced,0.39437999999999995,1255.2457835674286
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,threads,balanced,0.391525,1273.7142941951752
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,sockets,balanced,0.392675,1292.1750402450562
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,balanced,0.550215,1310.6606702804565
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,0.47707499999999997,1329.1108713150024
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,balanced,0.5506249999999999,1347.591385602951
8,100,#pragma clang loop unrolling full, ,128,64,sockets,balanced,0.45436,1366.0751643180847
8,200,#pragma clang loop unrolling full, ,32,96,threads,balanced,0.5870850000000001,1384.566695690155
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,threads,balanced,0.396635,1403.026701927185
8,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,threads,balanced,0.55994,1421.4913849830627
8,160, ,#pragma omp parallel for,128,32,sockets,balanced,0.39434499999999995,1439.9910788536072
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,cores,balanced,0.39472,1458.5071787834167
8,80, ,#pragma omp parallel for,4,32,sockets,balanced,0.39336499999999996,1476.9921448230743
7,160, , ,16,64,sockets,balanced,0.44644,1495.4775581359863
8,40, ,#pragma omp parallel for,8,32,sockets,balanced,0.39622,1513.99440741539
7,100, , ,4,96,threads,balanced,0.45194999999999996,1532.4619886875153
8,64, ,#pragma omp parallel for,4,96,sockets,balanced,0.526255,1550.9889695644379
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,balanced,0.39538,1568.0379753112793
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,threads,balanced,0.393995,1586.5679695606232
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,threads,balanced,0.50856,1605.070088148117
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,threads,balanced,0.410165,1623.5931572914124
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,balanced,0.393485,1642.141015291214
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,cores,balanced,0.39455,1660.6456327438354
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,sockets,balanced,0.39281,1679.1509063243866
7,80, , ,64,96,sockets,none,0.5401199999999999,1697.6432511806488
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,cores,balanced,0.548915,1716.1812543869019
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,balanced,0.395395,1733.1755602359772
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,balanced,0.39304,1751.6873552799225
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,sockets,balanced,0.51902,1770.1821656227112
