p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.785085,19.107795238494873
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,1.556765,39.02505135536194
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.83553,55.396169662475586
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.45239,71.02513694763184
8,10, , ,256,128,cores,disabled,0.46032,87.02460145950317
6,64, , ,16,96,sockets,explicit,0.6558900000000001,103.0246193408966
4,10,#pragma clang loop unrolling full, ,8,96,cores,scatter,0.94367,121.02539467811584
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.62193,137.39671397209167
4,20,#pragma clang loop unrolling full, ,256,128,cores,disabled,0.938115,155.02496814727783
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,1.5584850000000001,173.47846460342407
7,160, , ,2,8,sockets,none,0.568985,189.14840650558472
2,40, ,#pragma omp parallel for,256,96,cores,compact,1.5530400000000002,209.02536797523499
2,200, , ,16,64,threads,balanced,1.561035,227.4771010875702
2,80, , ,2,96,cores,disabled,1.6958799999999998,247.02493858337402
7,128,#pragma clang loop unrolling full, ,8,256,sockets,compact,0.7689349999999999,263.3963346481323
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,scatter,0.950465,281.02486085891724
5,20,#pragma clang loop unrolling full, ,96,16,threads,none,0.713645,297.02511262893677
5,200,#pragma clang loop unrolling full, ,32,32,sockets,scatter,0.7308,313.1083562374115
5,10,#pragma clang loop unrolling full, ,256,64,threads,scatter,0.742035,329.2303476333618
2,128, , ,96,256,cores,compact,1.567825,349.0260353088379
8,200,#pragma clang loop unrolling full, ,4,256,threads,explicit,0.45345,365.0249729156494
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,threads,disabled,1.29706,383.314475774765
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.52284,401.02541613578796
2,128, ,#pragma omp parallel for,96,2,cores,disabled,1.87038,423.02446937561035
8,100, ,#pragma omp parallel for,16,4,threads,explicit,0.5028699999999999,439.02277994155884
8,160, , ,256,8,sockets,disabled,0.47113499999999997,455.02481842041016
