p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.960055,971.2265064396152
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,0.959965,922.9484350713694
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,0.9595199999999999,917.3849357011285
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,0.960005,915.0376147671213
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,0.9598599999999999,910.8500348026234
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,0.96059,908.7540250774794
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.95928,896.2603025755553
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.960495,896.2603025755553
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.959965,894.4669251686921
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,0.9603349999999999,813.6185116197224
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.95934,806.3167794554346
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.96017,806.3167794554346
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,cores,balanced,0.9617899999999999,803.7950283432946
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,0.959425,798.9842680376281
8,128, ,#pragma omp parallel for,64,4,cores,balanced,0.9589650000000001,665.4916195313089
8,160, ,#pragma omp parallel for,64,4,cores,balanced,0.96078,658.2702883846284
8,160, ,#pragma omp parallel for,64,2,cores,balanced,0.95817,657.5380266697687
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,balanced,0.961415,597.0056253421957
8,64, ,#pragma omp parallel for,16,2,cores,balanced,0.959325,566.4400244055297
8,64, ,#pragma omp parallel for,32,4,cores,balanced,0.96059,565.6395833815001
