p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,4.114,32.96035552024841
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,9.3235,76.95905709266663
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,4.151999999999999,104.95949864387512
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,2.5404999999999998,128.95837879180908
6,64, , ,16,96,sockets,explicit,3.4495,155.42633724212646
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,3.646,183.57431769371033
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,9.2585,227.67269039154053
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,3.7380000000000004,255.8147943019867
2,64, ,#pragma omp parallel for,128,96,threads,none,10.5825,304.15734362602234
5,64, ,#pragma omp parallel for,8,64,cores,none,4.045999999999999,332.38401103019714
7,64, ,#pragma omp parallel for,2,96,threads,none,3.0045,358.63786697387695
8,64, ,#pragma omp parallel for,32,96,sockets,none,2.5815,382.91682958602905
7,200, ,#pragma omp parallel for,2,96,threads,none,2.9645,409.21403908729553
4,64, ,#pragma omp parallel for,32,96,sockets,none,5.1845,441.52213525772095
8,64, ,#pragma omp parallel for,16,96,threads,none,2.585,465.83278465270996
8,40, ,#pragma omp parallel for,128,96,threads,none,2.6079999999999997,490.1980257034302
8,64, ,#pragma omp parallel for,4,128,threads,none,2.5765000000000002,514.485330581665
8,20, ,#pragma omp parallel for,8,2,threads,scatter,2.628,538.8055396080017
8,64, , ,16,96,threads,none,2.5815,563.1564838886261
8,64, , ,96,96,threads,none,2.5469999999999997,587.5018179416656
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,sockets,explicit,2.613,611.8663849830627
8,64, , ,32,16,threads,none,2.533,636.2027065753937
8,64, , ,4,256,threads,balanced,2.317,658.9107942581177
8,64, , ,4,128,cores,explicit,2.6254999999999997,683.2562463283539
8,100,#pragma clang loop unrolling full, ,4,64,threads,none,2.5885,707.6366136074066
8,64,#pragma clang loop unrolling full, ,4,4,sockets,scatter,2.6159999999999997,731.9833936691284
8,64,#pragma clang loop unrolling full, ,64,64,threads,balanced,2.293,754.6959145069122
8,100,#pragma clang loop unrolling full, ,64,2,threads,disabled,2.6005000000000003,779.019891500473
8,64,#pragma clang loop unrolling full, ,64,32,cores,balanced,2.3445,803.4202303886414
8,160,#pragma clang loop unrolling full, ,64,4,cores,balanced,3.1455,829.76109790802
