p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,1.83291,22.921868801116943
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,3.9587849999999998,50.92118978500366
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,2.0374749999999997,70.92210245132446
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,1.163535,90.92106556892395
6,64, , ,16,96,sockets,explicit,1.592415,111.12865352630615
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,1.7647400000000002,133.2147994041443
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,3.94573,161.33859276771545
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,1.630215,181.84270477294922
4,64, ,#pragma omp parallel for,16,8,cores,disabled,2.170995,204.06371426582336
8,160, ,#pragma omp parallel for,8,32,cores,explicit,1.2062300000000001,224.26120495796204
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,none,1.16785,244.47509241104126
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,none,1.158125,264.75930738449097
8,40,#pragma clang loop unrolling full, ,256,32,cores,none,1.2369400000000002,285.01875138282776
8,160, , ,16,32,cores,none,1.0873249999999999,305.28953647613525
8,128, , ,64,32,threads,disabled,1.144555,325.58574509620667
8,20, ,#pragma omp parallel for,256,32,cores,none,1.16429,345.8917303085327
8,20, ,#pragma omp parallel for,16,32,cores,none,1.201465,366.1444857120514
8,20, , ,64,32,threads,none,1.19144,386.42512345314026
8,128, , ,64,32,sockets,explicit,1.133305,406.6920530796051
8,64, , ,64,8,threads,explicit,1.1632,426.9930944442749
8,64, , ,64,16,sockets,scatter,1.1648550000000002,447.2759938240051
8,160, , ,64,128,sockets,compact,1.269725,467.5399911403656
8,64, , ,4,128,threads,none,1.14998,487.85341477394104
8,64, , ,16,128,threads,compact,1.305075,508.143869638443
8,64, , ,64,96,sockets,compact,1.30692,528.4327840805054
8,80, , ,256,128,cores,none,1.17391,548.721531867981
8,160, , ,64,128,cores,none,1.0501,567.533741235733
4,80, , ,4,32,threads,none,2.29694,590.270450592041
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,cores,none,2.30107,612.9345219135284
5,80, ,#pragma omp parallel for,96,4,sockets,disabled,1.88422,635.2684850692749
5,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,explicit,1.87121,657.567990064621
8,160, , ,64,64,threads,none,1.23091,678.1268882751465
5,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,cores,scatter,1.88888,700.4867949485779
6,64,#pragma clang loop unrolling full, ,96,2,sockets,explicit,1.59259,721.2566170692444
8,160,#pragma clang loop unrolling full, ,2,128,cores,balanced,0.998835,740.2141592502594
8,160, ,#pragma omp parallel for,2,256,cores,balanced,0.985,760.5542793273926
