p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.0775,17.953721046447754
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,0.155,33.952311754226685
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.0835,48.035709857940674
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.0415,63.95265173912048
6,64, , ,16,96,sockets,explicit,0.062,80.09450554847717
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.086,96.63662099838257
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,0.2225,112.99863195419312
8,64,#pragma clang loop unrolling full, ,2,96,sockets,balanced,0.039,129.1606137752533
2,64,#pragma clang loop unrolling full, ,16,96,sockets,balanced,0.2235,145.51212525367737
7,64, , ,128,96,sockets,scatter,0.0555,161.76443243026733
3,64,#pragma clang loop unrolling full, ,96,96,sockets,balanced,0.103,178.0255150794983
6,64, , ,16,96,sockets,none,0.0655,194.34593510627747
2,64, ,#pragma omp parallel for,2,96,sockets,none,0.156,210.6570861339569
8,64,#pragma clang loop unrolling full, ,16,4,sockets,balanced,0.039,226.95445728302002
8,100,#pragma clang loop unrolling full, ,16,128,sockets,balanced,0.04,243.26781392097473
8,160,#pragma clang loop unrolling full, ,16,4,sockets,balanced,0.04,259.60768866539
8,40,#pragma clang loop unrolling full, ,16,128,sockets,balanced,0.039,275.92965269088745
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,sockets,balanced,0.055,292.52505350112915
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,cores,balanced,0.039,308.9713523387909
8,128, , ,16,256,threads,balanced,0.057,325.32511472702026
3,200,#pragma clang loop unrolling full, ,16,256,sockets,balanced,0.104,341.6342239379883
5,64,#pragma clang loop unrolling full, ,16,96,threads,balanced,0.0615,357.941410779953
3,64, , ,16,96,sockets,balanced,0.104,374.3285801410675
