p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,1.872715,23.03129243850708
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,3.86937,49.31945013999939
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,1.899185,69.03095483779907
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,1.1904400000000002,87.03233790397644
8,10, , ,256,128,cores,disabled,1.08982,105.03215765953064
6,64, , ,16,96,sockets,explicit,1.443255,123.23886919021606
4,10,#pragma clang loop unrolling full, ,8,96,cores,scatter,2.33371,145.03098058700562
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,1.548465,165.0319151878357
4,20,#pragma clang loop unrolling full, ,256,128,cores,disabled,2.32536,187.03073358535767
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,3.904535,213.03112530708313
7,160, , ,2,8,sockets,none,1.374085,231.07438611984253
2,40, ,#pragma omp parallel for,256,96,cores,compact,3.9104900000000002,257.031054019928
2,200, , ,16,64,threads,balanced,4.37593,285.52780389785767
2,80, , ,2,96,cores,disabled,4.43247,313.2797648906708
7,128,#pragma clang loop unrolling full, ,8,256,sockets,compact,1.381715,331.4021954536438
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,scatter,2.32913,353.03093576431274
5,20,#pragma clang loop unrolling full, ,96,16,threads,none,1.92486,373.03210830688477
5,200,#pragma clang loop unrolling full, ,32,32,sockets,scatter,1.897845,393.0312385559082
5,10,#pragma clang loop unrolling full, ,256,64,threads,scatter,1.9449,413.0322177410126
2,128, , ,96,256,cores,compact,3.99417,439.03207445144653
8,200,#pragma clang loop unrolling full, ,4,256,threads,explicit,1.164355,457.0311372280121
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,threads,disabled,3.241455,481.0319390296936
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,1.808615,501.0311813354492
2,128, ,#pragma omp parallel for,96,2,cores,disabled,4.838505,531.0311584472656
8,100, ,#pragma omp parallel for,16,4,threads,explicit,1.1483,549.0319397449493
8,160, , ,256,8,sockets,disabled,1.15425,567.032256603241
4,200,#pragma clang loop unrolling full, ,256,256,cores,explicit,2.28903,587.5683357715607
7,40, ,#pragma omp parallel for,96,64,threads,disabled,1.32247,605.5686075687408
3,20,#pragma clang loop unrolling full, ,64,96,sockets,scatter,2.94149,629.0312480926514
4,100, ,#pragma omp parallel for,64,96,sockets,disabled,2.28654,651.0322723388672
4,100, ,#pragma omp parallel for,2,8,threads,scatter,2.315255,673.0327224731445
6,200, , ,16,256,sockets,disabled,1.466135,691.321053981781
3,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,sockets,compact,3.28888,717.0316181182861
2,200, ,#pragma omp parallel for,8,8,cores,explicit,4.311635,745.5672764778137
6,20,#pragma clang loop unrolling full, ,256,16,sockets,scatter,1.55019,765.0320434570312
6,40, , ,4,64,threads,scatter,1.545075,785.031076669693
7,80,#pragma clang loop unrolling full, ,96,128,sockets,balanced,1.1298650000000001,803.0307223796844
3,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,explicit,3.08434,829.0319051742554
6,10, , ,8,32,threads,balanced,1.333355,847.031094789505
8,20, ,#pragma omp parallel for,8,32,threads,disabled,1.16233,865.0327935218811
3,128, , ,32,8,cores,disabled,2.9696350000000002,889.0308496952057
7,100, , ,128,64,sockets,none,1.344725,907.0318794250488
6,10, ,#pragma omp parallel for,4,96,cores,balanced,1.84142,927.031005859375
5,160, , ,64,16,threads,disabled,1.902585,947.0310094356537
2,100, , ,96,96,threads,none,3.8811,975.0307750701904
7,80, ,#pragma omp parallel for,2,64,cores,none,1.329925,993.1143178939819
2,20, , ,4,256,sockets,none,4.12005,1021.032124042511
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,threads,disabled,1.29269,1039.320858001709
5,10, ,#pragma omp parallel for,96,64,sockets,scatter,1.93141,1059.1978414058685
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,threads,none,1.14759,1077.2373461723328
8,200,#pragma clang loop unrolling full, ,32,16,threads,none,1.14355,1095.031932592392
5,128, , ,128,16,threads,disabled,1.74629,1115.031177520752
5,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,threads,balanced,1.7588949999999999,1135.3197240829468
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,scatter,4.5768,1165.0310804843903
8,64,#pragma clang loop unrolling full, ,128,64,threads,disabled,1.03852,1183.0315384864807
4,20,#pragma clang loop unrolling full, ,64,16,threads,disabled,2.35996,1205.0321366786957
