p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.268785,971.2265064396152
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,0.268815,922.9484350713694
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,0.26822500000000005,917.3849357011285
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,0.26868499999999995,915.0376147671213
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,0.26858000000000004,910.8500348026234
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,0.26822,908.7540250774794
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.2687,896.2603025755553
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.268255,896.2603025755553
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.26820999999999995,894.4669251686921
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,0.192055,813.6185116197224
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.26776500000000003,806.3167794554346
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.268005,806.3167794554346
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,cores,balanced,0.26788500000000004,803.7950283432946
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,0.26809,798.9842680376281
8,128, ,#pragma omp parallel for,64,4,cores,balanced,0.26807000000000003,665.4916195313089
8,160, ,#pragma omp parallel for,64,4,cores,balanced,0.268215,658.2702883846284
8,160, ,#pragma omp parallel for,64,2,cores,balanced,0.26801,657.5380266697687
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,balanced,0.267735,597.0056253421957
8,64, ,#pragma omp parallel for,16,2,cores,balanced,0.26798999999999995,566.4400244055297
8,64, ,#pragma omp parallel for,32,4,cores,balanced,0.268525,565.6395833815001
8,64, ,#pragma omp parallel for,32,8,cores,balanced,0.27046000000000003,560.4147882677223
8,64, ,#pragma omp parallel for,32,8,cores,balanced,0.26867,560.4147882677223
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,cores,balanced,0.26865,550.5252037990839
8,64, ,#pragma omp parallel for,2,64,sockets,balanced,0.268275,546.7933647158864
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,balanced,0.268385,544.9031176542709
8,64, ,#pragma omp parallel for,4,8,cores,balanced,0.19223,544.5503150745789
8,64, ,#pragma omp parallel for,64,8,cores,balanced,0.268015,543.8891993180406
8,64, ,#pragma omp parallel for,64,8,cores,balanced,0.19211,543.8891993180406
8,64, ,#pragma omp parallel for,2,4,cores,balanced,0.26839999999999997,542.5525292503651
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,balanced,0.191955,537.5416266949526
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,0.268915,536.808067202593
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,sockets,balanced,0.267875,536.6956448639824
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,sockets,balanced,0.192045,536.6956448639824
8,64, ,#pragma omp parallel for,4,96,sockets,balanced,0.26828,534.8254865160449
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,0.19215,534.3658797562792
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,balanced,0.26835,488.6866188770103
8,200, ,#pragma omp parallel for,2,2,sockets,balanced,0.26888500000000004,488.39711517385695
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,cores,balanced,0.191915,488.39711347621204
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,cores,balanced,0.19189499999999998,488.39711347621204
8,64,#pragma clang loop unrolling full, ,32,96,sockets,balanced,0.2833,488.3971133014501
8,200, ,#pragma omp parallel for,4,2,sockets,balanced,0.19205,487.2732363531976
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,balanced,0.19208,483.8707520234335
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,cores,balanced,0.19235000000000002,482.7572890443881
8,200, ,#pragma omp parallel for,2,8,sockets,balanced,0.26793,478.3748115877581
8,200, ,#pragma omp parallel for,8,4,sockets,balanced,0.2684,477.2739955223003
8,200, ,#pragma omp parallel for,8,4,sockets,balanced,0.19203,477.2739955223003
8,200, ,#pragma omp parallel for,8,4,sockets,balanced,0.19235,477.2739955223003
8,200, ,#pragma omp parallel for,8,8,sockets,balanced,0.19217,468.5581735597017
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,0.268305,465.23943148913304
8,80, ,#pragma omp parallel for,64,2,cores,balanced,0.19241000000000003,461.56501296033696
8,64, ,#pragma omp parallel for,32,4,sockets,balanced,0.26814499999999997,457.7047710799911
8,80, ,#pragma omp parallel for,32,2,cores,balanced,0.192175,456.1869845790279
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.19202999999999998,450.35838495654616
8,64, ,#pragma omp parallel for,16,8,sockets,balanced,0.19216,445.1876745181956
8,64, ,#pragma omp parallel for,16,8,sockets,balanced,0.268125,445.1876745181956
8,80, ,#pragma omp parallel for,8,4,cores,balanced,0.19213,436.7914812966625
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,balanced,0.19190000000000002,436.32791964084754
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,balanced,0.19169999999999998,436.32791964084754
8,200, ,#pragma omp parallel for,2,16,sockets,balanced,0.26849,436.2616452598855
8,200, ,#pragma omp parallel for,16,4,sockets,balanced,0.26819499999999996,435.2577379655636
8,80, ,#pragma omp parallel for,4,2,cores,balanced,0.19183,426.4362239912618
8,64, ,#pragma omp parallel for,16,32,threads,balanced,0.192155,421.4432025350718
8,80, ,#pragma omp parallel for,2,64,sockets,balanced,0.192215,420.13129623853615
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,0.26824499999999996,419.122308267705
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,0.192055,419.122308267705
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.19213999999999998,415.5759997056745
8,64, ,#pragma omp parallel for,4,8,sockets,balanced,0.26811,415.5038020511741
8,160, ,#pragma omp parallel for,64,32,cores,balanced,0.19207000000000002,412.32856013326307
8,80, ,#pragma omp parallel for,4,96,sockets,balanced,0.26866999999999996,410.93570202483187
8,64, ,#pragma omp parallel for,2,8,sockets,balanced,0.26805500000000004,408.4104654905013
8,80, ,#pragma omp parallel for,8,96,sockets,balanced,0.26839500000000005,406.93641667743066
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,0.26900999999999997,406.67716425013003
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,balanced,0.26888999999999996,405.7413358934379
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,0.268485,405.04862370573454
8,128, ,#pragma omp parallel for,64,32,cores,balanced,0.19215,404.30096480415733
8,80, ,#pragma omp parallel for,16,64,sockets,balanced,0.26827500000000004,388.2363142388058
8,80, ,#pragma omp parallel for,32,16,sockets,balanced,0.19246000000000002,384.6766891340936
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.193,380.5614477330735
8,80, ,#pragma omp parallel for,32,32,threads,balanced,0.19203,375.26224016105044
8,128, ,#pragma omp parallel for,32,4,cores,balanced,0.192045,372.8382723521502
8,100, ,#pragma omp parallel for,64,2,cores,balanced,0.192215,372.2905639738523
8,100, ,#pragma omp parallel for,64,4,cores,balanced,0.19206,372.1451253380099
8,128, ,#pragma omp parallel for,96,4,cores,balanced,0.1921,368.59086918477374
8,128, ,#pragma omp parallel for,96,4,cores,balanced,0.19241999999999998,368.59086918477374
8,80, ,#pragma omp parallel for,32,8,sockets,balanced,0.26856,366.9328807377288
8,64, ,#pragma omp parallel for,16,32,cores,balanced,0.192145,361.370197232725
8,160, ,#pragma omp parallel for,32,8,cores,balanced,0.26861999999999997,360.79509225851666
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,cores,balanced,0.192225,358.4108074000055
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,balanced,0.19180000000000003,350.5104175214468
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,cores,balanced,0.192,350.50685002955566
8,64,#pragma clang loop unrolling full, ,8,96,sockets,balanced,0.19186,350.50684974204165
