p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.74,19.72138738632202
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,1.758,41.306822776794434
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.804,57.637057065963745
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.424,73.71966862678528
6,64, , ,16,96,sockets,explicit,0.5609999999999999,91.85754179954529
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.8215,111.98515963554382
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,1.553,132.1166226863861
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,0.6465000000000001,150.2548418045044
4,64, ,#pragma omp parallel for,16,8,cores,disabled,0.846,168.46651673316956
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,explicit,0.4875,186.65913248062134
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,none,0.878,204.85798978805542
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,explicit,0.6355,223.07312440872192
6,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,cores,explicit,0.5974999999999999,241.32488226890564
6,200, ,#pragma omp parallel for,128,8,cores,explicit,0.6295,259.5529007911682
6,80, , ,64,128,cores,explicit,0.6525000000000001,277.80683946609497
6,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,cores,explicit,0.6395,296.0901963710785
3,64,#pragma clang loop unrolling full, ,8,128,cores,explicit,1.1440000000000001,316.3729248046875
6,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,cores,none,0.567,334.66354846954346
6,200, ,#pragma omp parallel for,16,64,cores,none,0.5395000000000001,352.9882845878601
2,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,cores,none,1.871,375.416291475296
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,cores,none,0.777,394.2984108924866
6,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,cores,none,0.656,412.6109936237335
3,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,cores,explicit,1.256,433.15599966049194
6,10, ,#pragma omp parallel for,64,96,threads,none,0.6659999999999999,451.8334822654724
6,64, , ,64,16,threads,none,0.602,470.51368856430054
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,none,0.9495,489.2960469722748
3,64, ,#pragma omp parallel for,64,8,cores,none,1.278,509.69454073905945
2,64, ,#pragma omp parallel for,4,2,cores,none,1.8455,532.0581748485565
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,none,0.552,550.423152923584
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,none,0.5609999999999999,568.8126194477081
7,64, , ,2,64,cores,none,0.4945,587.1852738857269
7,64, ,#pragma omp parallel for,2,16,threads,none,0.5475000000000001,605.578072309494
7,64, , ,2,16,cores,none,0.548,623.981995344162
7,10, ,#pragma omp parallel for,2,16,cores,none,0.5734999999999999,642.4048573970795
7,128, , ,128,16,sockets,none,0.5545,660.8530616760254
7,10, ,#pragma omp parallel for,64,64,cores,none,0.5635,679.3178400993347
7,10, , ,64,16,cores,none,0.537,697.7609028816223
7,10,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,none,0.553,716.2188329696655
7,100,#pragma clang loop unrolling full, ,64,256,sockets,none,0.5549999999999999,734.6946713924408
7,64, , ,64,256,cores,none,0.514,753.1771266460419
7,64,#pragma clang loop unrolling full, ,64,128,cores,explicit,0.532,771.6239800453186
7,64, ,#pragma omp parallel for,16,128,sockets,balanced,0.447,790.045717716217
7,64, , ,64,32,cores,explicit,0.5595000000000001,808.5210835933685
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,cores,explicit,0.555,826.9622030258179
7,100,#pragma clang loop unrolling full, ,16,128,sockets,disabled,0.538,845.4192597866058
7,128, ,#pragma omp parallel for,64,128,threads,explicit,0.5455000000000001,864.1860346794128
7,64, ,#pragma omp parallel for,16,128,sockets,compact,0.7505,882.6646161079407
7,128,#pragma clang loop unrolling full, ,128,32,threads,compact,0.536,901.1153392791748
7,160,#pragma clang loop unrolling full, ,32,128,cores,compact,0.5575,919.6096379756927
7,64, , ,64,32,threads,compact,0.905,938.1706109046936
7,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,cores,compact,0.538,956.6714046001434
8,10,#pragma clang loop unrolling full, ,8,16,cores,none,0.512,975.1451134681702
8,100, ,#pragma omp parallel for,64,16,cores,none,0.4605,993.6535742282867
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,threads,none,0.476,1012.1885783672333
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,threads,none,0.4965,1030.7342040538788
8,80, ,#pragma omp parallel for,32,16,cores,none,0.46950000000000003,1049.2477939128876
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,compact,0.5065,1067.745745420456
8,80, ,#pragma omp parallel for,32,16,cores,compact,0.667,1086.3029792308807
8,100,#pragma clang loop unrolling full, ,4,16,cores,compact,0.519,1104.8354125022888
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,none,0.487,1123.3741364479065
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,sockets,balanced,0.4645,1141.9255616664886
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,sockets,none,0.4815,1160.4584527015686
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,threads,none,0.487,1178.9809284210205
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,cores,none,0.484,1197.5101923942566
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,none,0.498,1216.0520203113556
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,16,sockets,balanced,0.5475000000000001,1234.5697746276855
7,64, , ,128,256,cores,none,0.5235000000000001,1253.0955860614777
7,80, , ,32,256,cores,none,0.5475000000000001,1271.6714384555817
8,20,#pragma clang loop unrolling full, ,64,16,cores,none,0.469,1290.246764421463
8,40,#pragma clang loop unrolling full, ,4,16,sockets,compact,0.7575000000000001,1308.814236164093
8,40, ,#pragma omp parallel for,4,16,cores,none,0.439,1327.382786989212
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,none,0.4425,1345.9178249835968
8,64, , ,96,16,cores,none,0.456,1364.4945874214172
8,20, , ,16,16,cores,none,0.477,1383.030997991562
8,20,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,cores,none,0.4585,1401.5876865386963
8,64, ,#pragma omp parallel for,256,16,cores,none,0.5175000000000001,1420.1425805091858
8,200,#pragma clang loop unrolling full, ,4,16,cores,none,0.41600000000000004,1438.7087714672089
7,64, ,#pragma omp parallel for,64,256,cores,none,0.5645,1457.2433915138245
7,64, , ,64,32,cores,none,0.5465,1475.7710621356964
7,200,#pragma clang loop unrolling full, ,4,256,sockets,explicit,0.5675,1494.327177286148
8,200, ,#pragma omp parallel for,256,16,cores,none,0.4665,1512.9785017967224
8,200, ,#pragma omp parallel for,4,16,cores,disabled,0.472,1531.5222353935242
7,64, , ,4,32,cores,none,0.531,1550.1029419898987
