p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.42586999999999997,20.9895761013031
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,1.1629900000000002,39.36016392707825
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.47259,54.98740315437317
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.278995,70.98862338066101
6,64, , ,16,96,sockets,explicit,0.340375,87.69331479072571
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.36980999999999997,105.82990002632141
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,0.9331050000000001,124.11795425415039
6,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,compact,0.497285,142.28876090049744
5,64, ,#pragma omp parallel for,8,8,cores,none,0.44616500000000003,160.5500009059906
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,cores,none,0.55124,178.77474784851074
4,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,cores,none,0.545785,197.04852938652039
8,64, ,#pragma omp parallel for,2,8,cores,disabled,0.248425,213.6177897453308
7,200, ,#pragma omp parallel for,128,8,cores,scatter,0.31051,231.88415455818176
8,200, ,#pragma omp parallel for,8,8,cores,explicit,0.27455,250.15933465957642
8,160, ,#pragma omp parallel for,64,96,cores,balanced,0.229605,268.4839963912964
8,20, ,#pragma omp parallel for,8,2,cores,compact,0.291335,285.2220118045807
8,160, ,#pragma omp parallel for,64,32,cores,compact,0.288215,303.572402715683
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,0.38675,321.93901896476746
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,sockets,compact,0.38573,340.2532203197479
8,64, ,#pragma omp parallel for,64,128,sockets,balanced,0.229655,356.727703332901
8,40,#pragma clang loop unrolling full, ,64,128,sockets,balanced,0.231035,373.2961039543152
8,80,#pragma clang loop unrolling full, ,64,128,cores,balanced,0.23152499999999998,391.6311388015747
8,100, ,#pragma omp parallel for,2,128,sockets,balanced,0.2293,408.12001967430115
8,64,#pragma clang loop unrolling full, ,64,128,cores,balanced,0.23237,424.6605134010315
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,cores,balanced,0.23054999999999998,441.11230516433716
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,threads,balanced,0.22876,457.6018080711365
5,20, , ,64,128,cores,balanced,0.38889,475.9685626029968
6,20, , ,64,128,cores,balanced,0.30646,492.6462938785553
4,80, , ,64,128,cores,compact,0.5274,511.03246569633484
8,40, ,#pragma omp parallel for,2,128,sockets,balanced,0.230865,527.6008229255676
8,40, ,#pragma omp parallel for,64,128,sockets,balanced,0.23002,544.0926277637482
8,160, , ,64,128,sockets,scatter,0.26707499999999995,560.8619556427002
8,100,#pragma clang loop unrolling full, ,96,16,cores,compact,0.289495,577.5477526187897
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,sockets,balanced,0.229725,595.9804890155792
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,sockets,balanced,0.22843999999999998,614.3734610080719
