p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,threads,scatter,0.44039,18.99158549308777
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,compact,1.152395,37.36196851730347
5,64,#pragma clang loop unrolling full, ,64,8,threads,none,0.39635,52.99044752120972
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,none,0.27069,68.9893445968628
8,10, , ,256,128,cores,disabled,0.24896999999999997,84.9906017780304
6,64, , ,16,96,sockets,explicit,0.374025,100.98935031890869
4,10,#pragma clang loop unrolling full, ,8,96,cores,scatter,0.53774,116.98948431015015
5,128,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,balanced,0.36672499999999997,132.98995971679688
4,20,#pragma clang loop unrolling full, ,256,128,cores,disabled,0.50013,148.99000072479248
2,128,#pragma clang loop unrolling full, ,16,32,sockets,balanced,0.93014,166.99052834510803
7,160, , ,2,8,sockets,none,0.273855,182.9900951385498
2,40, ,#pragma omp parallel for,256,96,cores,compact,0.9267449999999999,200.98974919319153
2,200, , ,16,64,threads,balanced,0.92583,218.9907898902893
2,80, , ,2,96,cores,disabled,0.973755,236.98934936523438
7,128,#pragma clang loop unrolling full, ,8,256,sockets,compact,0.317755,252.9902641773224
4,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,scatter,0.5401100000000001,268.9897241592407
5,20,#pragma clang loop unrolling full, ,96,16,threads,none,0.397525,284.98939990997314
5,200,#pragma clang loop unrolling full, ,32,32,sockets,scatter,0.417695,300.9906737804413
5,10,#pragma clang loop unrolling full, ,256,64,threads,scatter,0.42328,316.99010276794434
2,128, , ,96,256,cores,compact,1.2024599999999999,334.99085998535156
8,200,#pragma clang loop unrolling full, ,4,256,threads,explicit,0.258135,350.9907269477844
3,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,threads,disabled,0.745975,367.3208951950073
6,128,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,0.30423,383.32029604911804
2,128, ,#pragma omp parallel for,96,2,cores,disabled,1.090025,401.48561000823975
8,100, ,#pragma omp parallel for,16,4,threads,explicit,0.27846000000000004,416.99041509628296
8,160, , ,256,8,sockets,disabled,0.244255,432.99050736427307
4,200,#pragma clang loop unrolling full, ,256,256,cores,explicit,0.507555,448.990585565567
7,40, ,#pragma omp parallel for,96,64,threads,disabled,0.30679999999999996,464.99025297164917
3,20,#pragma clang loop unrolling full, ,64,96,sockets,scatter,0.727085,481.32017612457275
4,100, ,#pragma omp parallel for,64,96,sockets,disabled,0.51043,497.0730650424957
4,100, ,#pragma omp parallel for,2,8,threads,scatter,0.5434,512.9907102584839
6,200, , ,16,256,sockets,disabled,0.36128,528.9905288219452
3,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,sockets,compact,0.612085,545.4029576778412
2,200, ,#pragma omp parallel for,8,8,cores,explicit,1.06773,564.9911868572235
6,20,#pragma clang loop unrolling full, ,256,16,sockets,scatter,0.36166,580.9916186332703
6,40, , ,4,64,threads,scatter,0.357445,596.9907069206238
7,80,#pragma clang loop unrolling full, ,96,128,sockets,balanced,0.26825,612.9910271167755
3,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,explicit,0.7289,630.9905080795288
6,10, , ,8,32,threads,balanced,0.31388499999999997,646.9903526306152
8,20, ,#pragma omp parallel for,8,32,threads,disabled,0.24725000000000003,662.9907121658325
3,128, , ,32,8,cores,disabled,0.6829700000000001,678.989520072937
7,100, , ,128,64,sockets,none,0.31739,694.989942073822
6,10, ,#pragma omp parallel for,4,96,cores,balanced,0.400075,710.9904372692108
5,160, , ,64,16,threads,disabled,0.41951499999999997,726.9905164241791
2,100, , ,96,96,threads,none,0.99523,744.9909777641296
7,80, ,#pragma omp parallel for,2,64,cores,none,0.30998499999999996,760.9906051158905
2,20, , ,4,256,sockets,none,1.0754299999999999,778.9902567863464
7,160,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,threads,disabled,0.315415,794.990149974823
5,10, ,#pragma omp parallel for,96,64,sockets,scatter,0.42723999999999995,810.9901943206787
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,threads,none,0.282965,826.9903562068939
8,200,#pragma clang loop unrolling full, ,32,16,threads,none,0.25993999999999995,842.9910051822662
5,128, , ,128,16,threads,disabled,0.39831,858.9893977642059
5,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,threads,balanced,0.36725,874.9905245304108
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,scatter,1.08495,893.4450874328613
8,64,#pragma clang loop unrolling full, ,128,64,threads,disabled,0.26780000000000004,908.9906878471375
4,20,#pragma clang loop unrolling full, ,64,16,threads,disabled,0.50363,924.9904918670654
2,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,sockets,balanced,0.935605,942.9908764362335
7,10, ,#pragma omp parallel for,256,8,threads,disabled,0.31930000000000003,958.990442276001
7,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,sockets,balanced,0.26410999999999996,974.9902429580688
7,20, ,#pragma omp parallel for,96,2,sockets,disabled,0.30204,990.9902656078339
7,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,sockets,disabled,0.30850500000000003,1006.9902708530426
8,100, ,#pragma omp parallel for,96,8,threads,explicit,0.28517000000000003,1022.9890520572662
7,100, ,#pragma omp parallel for,2,96,cores,none,0.316125,1038.9903230667114
2,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,cores,scatter,1.07989,1056.9906740188599
5,80,#pragma clang loop unrolling full, ,16,2,cores,none,0.47256,1072.9903271198273
5,160, , ,16,64,sockets,none,0.409535,1088.9901375770569
3,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,threads,scatter,0.72573,1105.4024391174316
2,128,#pragma clang loop unrolling full, ,32,16,threads,compact,0.9188000000000001,1122.9916036128998
5,100, ,#pragma omp parallel for,64,32,cores,none,0.44079999999999997,1138.990127325058
3,80, , ,256,16,cores,balanced,0.747475,1155.2383239269257
5,160, , ,4,4,sockets,scatter,0.417425,1170.9909183979034
3,160,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,sockets,scatter,0.6840900000000001,1188.9893035888672
2,80,#pragma clang loop unrolling full, ,2,2,threads,disabled,0.9144300000000001,1206.9906151294708
8,160, , ,256,2,threads,compact,0.410945,1222.990463733673
3,200,#pragma clang loop unrolling full, ,32,4,threads,explicit,0.68611,1238.9898631572723
7,200,#pragma clang loop unrolling full, ,16,96,threads,scatter,0.30152500000000004,1254.9915006160736
4,64, ,#pragma omp parallel for,4,4,cores,balanced,0.462395,1270.990130186081
5,128, , ,2,64,sockets,none,0.412885,1286.9905602931976
4,40, ,#pragma omp parallel for,64,128,sockets,compact,0.533595,1302.990463256836
