p0,p1,p2,p3,p4,p5,p6,p7,exe_time,density
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,3.8442499999999997,971.2265064396152
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,3.846335,922.9484350713694
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,balanced,3.8496550000000003,917.3849357011285
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,balanced,3.8417649999999997,915.0376147671213
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,balanced,3.852905,910.8500348026234
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,cores,balanced,3.8425599999999998,908.7540250774794
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,3.8453150000000003,896.2603025755553
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,cores,balanced,3.869975,896.2603025755553
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,cores,balanced,3.8570849999999997,894.4669251686921
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,16,cores,balanced,3.85712,813.6185116197224
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,3.86849,806.3167794554346
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,3.854665,806.3167794554346
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,cores,balanced,3.8435699999999997,803.7950283432946
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,3.853335,798.9842680376281
8,128, ,#pragma omp parallel for,64,4,cores,balanced,3.87188,665.4916195313089
8,160, ,#pragma omp parallel for,64,4,cores,balanced,3.83835,658.2702883846284
8,160, ,#pragma omp parallel for,64,2,cores,balanced,3.869965,657.5380266697687
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,balanced,3.842625,597.0056253421957
8,64, ,#pragma omp parallel for,16,2,cores,balanced,4.509035,566.4400244055297
8,64, ,#pragma omp parallel for,32,4,cores,balanced,3.844875,565.6395833815001
8,64, ,#pragma omp parallel for,32,8,cores,balanced,3.87391,560.4147882677223
8,64, ,#pragma omp parallel for,32,8,cores,balanced,3.845425,560.4147882677223
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,cores,balanced,3.86031,550.5252037990839
8,64, ,#pragma omp parallel for,2,64,sockets,balanced,3.887555,546.7933647158864
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,balanced,3.8743049999999997,544.9031176542709
8,64, ,#pragma omp parallel for,4,8,cores,balanced,3.8545800000000003,544.5503150745789
8,64, ,#pragma omp parallel for,64,8,cores,balanced,3.873745,543.8891993180406
8,64, ,#pragma omp parallel for,64,8,cores,balanced,3.84656,543.8891993180406
8,64, ,#pragma omp parallel for,2,4,cores,balanced,3.8451250000000003,542.5525292503651
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,cores,balanced,3.854175,537.5416266949526
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,balanced,3.8881,536.808067202593
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,sockets,balanced,3.8472049999999998,536.6956448639824
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,sockets,balanced,3.8550250000000004,536.6956448639824
8,64, ,#pragma omp parallel for,4,96,sockets,balanced,3.855175,534.8254865160449
8,40,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,balanced,4.53241,534.3658797562792
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,cores,balanced,3.8937600000000003,488.6866188770103
8,200, ,#pragma omp parallel for,2,2,sockets,balanced,3.836115,488.39711517385695
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,cores,balanced,3.84514,488.39711347621204
8,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,cores,balanced,3.8510600000000004,488.39711347621204
