input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,4.522055,32.222641944885254
5000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,1.7763849999999999,52.57833814620972
5000000,128,64, , ,8,4,sockets,none,1.786555,72.69142055511475
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,4.60627,101.15008568763733
5000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,1.69812,120.87401223182678
5000000,16,128, , ,16,16,sockets,balanced,1.6626349999999999,140.52601408958435
5000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,8.998545,182.3334765434265
5000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,1.79238,202.78212428092957
5000000,8,160, , ,128,32,threads,disabled,2.336915,224.55395340919495
5000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,1.7939850000000002,244.73784470558167
5000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,1.758875,264.6343922615051
5000000,32,200, , ,128,2,cores,balanced,1.63629,284.23024106025696
5000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,1.774195,304.5190780162811
5000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,9.12865,346.6651153564453
5000000,256,10, , ,32,2,cores,compact,1.80311,366.74625730514526
5000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,1.7686000000000002,386.7339415550232
5000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,1.767015,406.7021005153656
5000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,1.77135,426.72609877586365
5000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,1.761325,446.6820158958435
5000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,5.511485,477.7985141277313
5000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,2.39219,499.5183403491974
5000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,1.703405,519.2421474456787
5000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,1.76431,539.2903435230255
5000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,4.38081,567.0740959644318
5000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,1.7854999999999999,587.1060833930969
5000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,1.7598099999999999,607.118045091629
5000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,2.395135,628.9060599803925
5000000,16,80, , ,4,4,sockets,none,1.65935,648.5304024219513
5000000,16,160, ,#pragma omp parallel for,16,64,cores,none,1.67192,668.0582942962646
