input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.902825,19.678373098373413
1000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.35873,35.90750432014465
1000000,128,64, , ,8,4,sockets,none,0.364225,51.73669719696045
1000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.90222,69.20931148529053
1000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.33164,84.88311672210693
1000000,16,128, , ,16,16,sockets,balanced,0.333715,101.29630041122437
1000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,1.7892549999999998,121.41565036773682
1000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.357885,137.6006577014923
1000000,8,160, , ,128,32,threads,disabled,0.4666,153.85631394386292
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.381545,170.67162704467773
1000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.342495,186.62399792671204
1000000,32,200, , ,128,2,cores,balanced,0.32808499999999996,202.31638622283936
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.363155,218.5645396709442
1000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,1.776365,239.37202215194702
1000000,256,10, , ,32,2,cores,compact,0.37061,255.49571537971497
1000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.34423000000000004,271.26051592826843
1000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.35069,287.1082742214203
1000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.34112,302.93215012550354
1000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.33609500000000003,318.91253542900085
1000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,1.093235,337.1605019569397
1000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.47625,353.50076174736023
1000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.329125,369.1682596206665
1000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.35435,385.55233359336853
1000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.882925,403.20071625709534
1000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.35277499999999995,419.22832012176514
1000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.351545,435.7325556278229
1000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.476305,452.274863243103
1000000,16,80, , ,4,4,sockets,none,0.33302,468.5319218635559
1000000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.33509999999999995,484.1357593536377
1000000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.365125,500.7568287849426
1000000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.46543,516.8288316726685
1000000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,0.36800999999999995,533.6366336345673
1000000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.36913,549.7956073284149
1000000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.34147,565.7740132808685
1000000,2,10, ,#pragma omp parallel for,256,256,cores,none,1.82808,586.0083377361298
1000000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.48292,602.1327095031738
1000000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,0.3365,617.8360509872437
1000000,256,20, , ,96,32,cores,scatter,0.36671,633.7401187419891
1000000,64,128, , ,256,96,cores,disabled,0.354705,649.8178341388702
1000000,96,200, , ,16,16,threads,balanced,0.36005,665.7165839672089
1000000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,0.47970999999999997,681.8284821510315
1000000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,0.33965500000000004,697.4556121826172
1000000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,0.356125,713.8051333427429
1000000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,0.400885,730.2805049419403
1000000,96,80, , ,4,256,cores,scatter,0.34965500000000005,746.124657869339
1000000,32,160, , ,128,32,cores,balanced,0.326475,762.0045480728149
1000000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,0.371575,777.9087126255035
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,0.35517,794.4567115306854
1000000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,0.33668,810.2338478565216
1000000,16,128, , ,4,96,threads,explicit,0.33294500000000005,826.1690471172333
1000000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,0.369765,842.1485056877136
