input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.08743,17.328864574432373
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.06198,32.84904384613037
100000,128,64, , ,8,4,sockets,none,0.055305,47.812215089797974
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.08732000000000001,62.71919512748718
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.033299999999999996,77.656667470932
100000,16,128, , ,16,16,sockets,balanced,0.03343,92.56861329078674
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.171315,108.32427763938904
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.048615,123.53196263313293
100000,8,160, , ,128,32,threads,disabled,0.047115000000000004,138.6064682006836
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.054635,153.72152829170227
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.03629,168.84933257102966
100000,32,200, , ,128,2,cores,balanced,0.033975,183.78859782218933
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.053815,199.28269910812378
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.17078,214.73186826705933
100000,256,10, , ,32,2,cores,compact,0.08432,229.75733256340027
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.046369999999999995,244.87257957458496
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.048665,259.8689570426941
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.04198,274.7728750705719
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.035615,290.10494923591614
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.10783,305.1437928676605
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.046814999999999996,320.16576075553894
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.033205,334.9205470085144
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.050595,350.1004729270935
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.08812,365.15984773635864
100000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.045329999999999995,380.2167546749115
100000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.055265,395.36415815353394
100000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.047625,410.2812693119049
100000,16,80, , ,4,4,sockets,none,0.034185,425.2327136993408
100000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.033595,439.93672490119934
100000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.06578,455.5768084526062
100000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.046805,470.6359078884125
100000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,0.065085,486.08791041374207
100000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.067435,501.8325843811035
100000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.038595000000000004,516.7208576202393
100000,2,10, ,#pragma omp parallel for,256,256,cores,none,0.17457,532.1601819992065
100000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.047885,546.8889398574829
100000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,0.03435,561.7411861419678
100000,256,20, , ,96,32,cores,scatter,0.072025,576.8920829296112
100000,64,128, , ,256,96,cores,disabled,0.045630000000000004,591.8922426700592
100000,96,200, , ,16,16,threads,balanced,0.046525,607.1520504951477
100000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,0.047075,621.9809021949768
100000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,0.03852,636.9894554615021
100000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,0.0561,652.2760014533997
100000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,0.0721,668.028115272522
100000,96,80, , ,4,256,cores,scatter,0.054125,683.1368086338043
100000,32,160, , ,128,32,cores,balanced,0.033275,698.0483231544495
100000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,0.057125,713.1291048526764
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,0.053794999999999996,728.2891585826874
100000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,0.040795,743.3771965503693
100000,16,128, , ,4,96,threads,explicit,0.036145,758.3056750297546
100000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,0.11914,773.6962580680847
100000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,scatter,0.05691,789.1746969223022
100000,8,128,#pragma clang loop unrolling full, ,16,64,sockets,balanced,0.047244999999999995,804.2753310203552
100000,256,40, ,#pragma omp parallel for,96,128,sockets,explicit,0.06898,819.9767172336578
100000,192,100, ,#pragma omp parallel for,64,256,sockets,explicit,0.060485,835.4970848560333
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,threads,none,0.033145,850.248212814331
100000,192,40, , ,64,8,threads,scatter,0.06844,865.3890838623047
100000,16,100, , ,128,2,sockets,balanced,0.03338,880.2728853225708
100000,16,20, , ,4,32,sockets,disabled,0.03422,895.2673327922821
100000,8,200, , ,32,4,threads,none,0.05776,910.2259550094604
100000,48,80,#pragma clang loop unrolling full, ,8,4,sockets,none,0.03893,925.2300925254822
100000,192,160, ,#pragma omp parallel for,96,64,threads,compact,0.061314999999999995,940.4451954364777
100000,64,160, , ,96,96,threads,compact,0.04265,955.3761653900146
100000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,none,0.033409999999999995,970.1971933841705
100000,4,80, , ,16,64,sockets,disabled,0.086585,985.1137843132019
100000,16,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,explicit,0.03343,1000.0533902645111
100000,4,128,#pragma clang loop unrolling full, ,8,8,threads,none,0.08643,1015.1364619731903
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,compact,0.16901,1030.5775737762451
100000,32,40, , ,4,32,cores,none,0.033284999999999995,1045.8452394008636
100000,96,20, , ,16,96,threads,disabled,0.10616,1060.8776514530182
100000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,threads,disabled,0.055389999999999995,1076.297343969345
100000,2,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,cores,explicit,0.172015,1091.672298669815
100000,48,128, , ,16,4,sockets,scatter,0.03717,1106.7530472278595
100000,2,80, , ,2,96,cores,scatter,0.168835,1122.040010690689
100000,8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,threads,disabled,0.046735,1136.812651872635
100000,64,20, ,#pragma omp parallel for,8,8,threads,compact,0.03753,1152.125188589096
