input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,13.699505,57.92595553398132
5000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,13.375235,113.8122444152832
5000000,128,64, , ,8,4,sockets,none,13.47035,168.17487573623657
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,13.56787,223.28982496261597
5000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,13.49063,278.6725482940674
5000000,16,128, , ,16,16,sockets,balanced,13.34964,332.62496852874756
5000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,13.932,388.48756217956543
5000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,13.56983,444.93829250335693
5000000,8,160, , ,128,32,threads,disabled,13.51098,499.2170593738556
5000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,13.436399999999999,555.3668360710144
5000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,13.330655,609.1634836196899
5000000,32,200, , ,128,2,cores,balanced,13.269490000000001,662.992112159729
5000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,13.767835,720.0143089294434
5000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,13.871075000000001,775.8512272834778
5000000,256,10, , ,32,2,cores,compact,13.686315,831.8128502368927
5000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,13.289985000000001,885.7316403388977
5000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,13.440294999999999,940.1179511547089
5000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,13.435030000000001,995.7002749443054
5000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,13.41903,1051.060925245285
5000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,13.64085,1105.6955244541168
5000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,13.550905,1160.983121395111
5000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,13.38761,1215.9993705749512
5000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,13.362839999999998,1271.7523651123047
5000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,13.49607,1326.1850337982178
5000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,13.62763,1382.7661328315735
5000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,13.35263,1436.8300733566284
5000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,13.84377,1491.9485573768616
5000000,16,80, , ,4,4,sockets,none,13.371614999999998,1545.8566410541534
5000000,16,160, ,#pragma omp parallel for,16,64,cores,none,13.339755,1600.7150700092316
5000000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,13.659794999999999,1658.5417983531952
5000000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,13.383205,1712.608974456787
5000000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,13.61331,1770.0131113529205
5000000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,13.58307,1827.1891808509827
5000000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,13.333025,1882.2992534637451
5000000,2,10, ,#pragma omp parallel for,256,256,cores,none,13.907789999999999,1938.3915379047394
5000000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,13.489025,1993.4038124084473
5000000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,13.238545,2046.9220769405365
5000000,256,20, , ,96,32,cores,scatter,13.517095000000001,2101.563799381256
5000000,64,128, , ,256,96,cores,disabled,13.292615,2155.304446697235
5000000,96,200, , ,16,16,threads,balanced,13.240945,2209.033638715744
5000000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,13.525855,2264.3029499053955
5000000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,13.413755,2319.6468460559845
5000000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,13.621305,2377.709262609482
