input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.269185,17.59889531135559
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.494195,34.489986181259155
100000,128,64, , ,8,4,sockets,none,1.057685,51.85271739959717
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.267865,66.90380096435547
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.30969,82.69462990760803
100000,16,128, , ,16,16,sockets,balanced,0.279625,97.52581882476807
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.263905,112.38183617591858
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.70672,131.26609587669373
100000,8,160, , ,128,32,threads,disabled,0.280825,146.11166405677795
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.50579,163.76611304283142
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.312175,178.76753783226013
100000,32,200, , ,128,2,cores,balanced,0.275865,193.8667929172516
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.8242200000000001,212.30017685890198
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.264165,227.3447527885437
100000,256,10, , ,32,2,cores,compact,0.90052,244.86672616004944
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.29041,260.18255066871643
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.72378,276.64807176589966
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.36244,293.1150538921356
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.308285,309.09773540496826
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.274825,323.8274464607239
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.27372,339.1624348163605
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.27820999999999996,354.80513286590576
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.654865,372.6155014038086
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.267885,387.4142472743988
100000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.409995,404.66518664360046
100000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.44681000000000004,420.33540773391724
100000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.28754500000000005,435.1032462120056
100000,16,80, , ,4,4,sockets,none,0.27736,450.0032329559326
100000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.27437,465.35761880874634
100000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,1.450065,486.34965562820435
100000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.26915500000000003,501.07474517822266
100000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,1.0072400000000001,521.0178091526031
100000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.5731850000000001,540.5491287708282
100000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.30513,556.7006847858429
100000,2,10, ,#pragma omp parallel for,256,256,cores,none,0.27227999999999997,571.6298391819
100000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.27505999999999997,587.0382652282715
100000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,0.321685,602.1280171871185
100000,256,20, , ,96,32,cores,scatter,0.77084,619.0445404052734
100000,64,128, , ,256,96,cores,disabled,0.362035,634.6248519420624
100000,96,200, , ,16,16,threads,balanced,0.45699,650.2488429546356
100000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,0.286635,665.6421687602997
100000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,0.303125,681.6265087127686
100000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,0.61157,700.7286179065704
100000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,0.67852,720.3442447185516
100000,96,80, , ,4,256,cores,scatter,0.44201500000000005,736.3117091655731
100000,32,160, , ,128,32,cores,balanced,0.29102,751.1333615779877
100000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,0.45285,766.9790940284729
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,1.04708,786.2548522949219
100000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,0.377675,801.8738932609558
100000,16,128, , ,4,96,threads,explicit,0.27757,816.6895253658295
100000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,0.920355,834.1480119228363
100000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,scatter,0.7982799999999999,853.8387174606323
100000,8,128,#pragma clang loop unrolling full, ,16,64,sockets,balanced,0.270335,868.636577129364
100000,256,40, ,#pragma omp parallel for,96,128,sockets,explicit,1.28062,889.7872040271759
100000,192,100, ,#pragma omp parallel for,64,256,sockets,explicit,0.76413,909.108335018158
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,threads,none,0.309745,924.7693395614624
100000,192,40, , ,64,8,threads,scatter,0.80709,941.6972978115082
100000,16,100, , ,128,2,sockets,balanced,0.27035,956.4581513404846
100000,16,20, , ,4,32,sockets,disabled,0.28325500000000003,971.2145063877106
100000,8,200, , ,32,4,threads,none,0.27426,986.1591053009033
100000,48,80,#pragma clang loop unrolling full, ,8,4,sockets,none,0.30442,1001.1139273643494
100000,192,160, ,#pragma omp parallel for,96,64,threads,compact,1.302135,1021.7655048370361
100000,64,160, , ,96,96,threads,compact,0.33847499999999997,1037.0367851257324
100000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,none,0.28466,1052.6304121017456
100000,4,80, , ,16,64,sockets,disabled,0.261675,1067.3533420562744
100000,16,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,explicit,0.354295,1082.8050367832184
100000,4,128,#pragma clang loop unrolling full, ,8,8,threads,none,0.271125,1097.545333147049
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,compact,0.26317,1112.4389972686768
100000,32,40, , ,4,32,cores,none,0.29977,1127.4457440376282
100000,96,20, , ,16,96,threads,disabled,0.435465,1143.0604419708252
100000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,threads,disabled,0.39204,1159.439483165741
100000,2,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,cores,explicit,0.263385,1174.2712891101837
100000,48,128, , ,16,4,sockets,scatter,0.32430499999999995,1189.5314478874207
100000,2,80, , ,2,96,cores,scatter,0.259595,1204.339727640152
100000,8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,threads,disabled,0.27446499999999996,1219.5323247909546
100000,64,20, ,#pragma omp parallel for,8,8,threads,compact,0.38029999999999997,1236.4498891830444
