input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.26793,17.437329292297363
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.513435,34.84395742416382
100000,128,64, , ,8,4,sockets,none,0.4945,50.83255124092102
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.26615999999999995,66.06013202667236
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.297645,81.54515171051025
100000,16,128, , ,16,16,sockets,balanced,0.27188,96.57641625404358
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.264305,111.52742338180542
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.57759,129.70230412483215
100000,8,160, , ,128,32,threads,disabled,0.279275,144.6035556793213
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.49316499999999996,161.84798645973206
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.30727000000000004,176.91480231285095
100000,32,200, , ,128,2,cores,balanced,0.313225,191.87655401229858
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.60207,210.44993925094604
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.26409000000000005,225.42463088035583
100000,256,10, , ,32,2,cores,compact,0.9221900000000001,243.3287296295166
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.337795,258.49893593788147
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.411975,274.4560842514038
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.3496,290.92897367477417
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.31353,307.10278272628784
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.265405,321.8878297805786
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.30185,337.30615997314453
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.26766,353.0822489261627
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.482495,370.2896990776062
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.26139,385.3133261203766
