input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
500000,2,20, ,#pragma omp parallel for,4,16,cores,balanced,1.04918,24.247942447662354
500000,5,80, ,#pragma omp parallel for,128,2,threads,balanced,0.422895,38.30588102340698
500000,6,40, ,#pragma omp parallel for,256,4,threads,scatter,0.31438,51.93929171562195
500000,2,64, , ,128,8,sockets,disabled,0.74463,66.73678803443909
500000,7,64, ,#pragma omp parallel for,16,96,cores,compact,0.37029,80.67195987701416
500000,4,160,#pragma clang loop unrolling full, ,8,64,cores,none,0.45321500000000003,94.59040355682373
500000,2,40, , ,96,8,threads,none,0.7530399999999999,109.40960574150085
500000,6,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,sockets,disabled,0.2658,123.41290879249573
500000,7,200, ,#pragma omp parallel for,8,8,sockets,explicit,0.26317999999999997,137.3572392463684
500000,5,100, ,#pragma omp parallel for,2,96,threads,none,0.356995,151.13913440704346
500000,8,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,cores,balanced,0.26838,165.203439950943
500000,5,64,#pragma clang loop unrolling full, ,256,128,threads,scatter,0.379155,178.94447255134583
500000,2,200,#pragma clang loop unrolling full, ,128,4,sockets,scatter,0.92965,194.32845067977905
500000,2,10, , ,32,2,cores,compact,1.23366,210.96601104736328
500000,6,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,threads,compact,0.315735,224.5271019935608
500000,5,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,cores,disabled,0.35688,238.2398157119751
500000,5,10,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,cores,disabled,0.359305,251.92324256896973
500000,5,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,sockets,explicit,0.38451500000000005,265.8847723007202
500000,3,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,sockets,explicit,0.5923849999999999,280.47012877464294
500000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,cores,compact,0.6238349999999999,295.15703558921814
500000,5,160, ,#pragma omp parallel for,4,2,threads,compact,0.4841,309.9398317337036
500000,2,64, , ,96,4,sockets,disabled,0.744135,324.7718048095703
500000,3,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,threads,compact,0.70134,339.83094120025635
500000,7,20, , ,128,256,cores,compact,0.40602499999999997,353.66787672042847
