input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,4.410655,30.129900217056274
5000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,1.6880950000000001,49.88244009017944
5000000,128,64, , ,8,4,sockets,none,1.6631550000000002,69.53453183174133
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,4.58507,97.84653043746948
5000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,1.651415,117.3426160812378
5000000,16,128, , ,16,16,sockets,balanced,1.663735,137.4506163597107
5000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,8.94651,179.7105529308319
5000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,1.675545,199.67851281166077
5000000,8,160, , ,128,32,threads,disabled,2.33673,221.57451391220093
5000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,1.667995,241.39155650138855
5000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,1.64056,260.9263310432434
5000000,32,200, , ,128,2,cores,balanced,1.633185,280.60329699516296
5000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,1.676945,300.43858885765076
5000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,9.008215,342.2203404903412
5000000,256,10, , ,32,2,cores,compact,1.6769699999999998,361.798583984375
5000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,1.6565400000000001,381.410507440567
5000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,1.66105,400.9775559902191
5000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,1.660415,420.59042954444885
5000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,1.652415,440.0623800754547
5000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,5.503095,471.1347472667694
5000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,2.395435,492.7982132434845
5000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,1.64906,512.2661085128784
5000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,1.6731500000000001,531.9824512004852
5000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,4.43107,559.9864149093628
5000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,1.6810749999999999,579.6426286697388
5000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,1.66513,599.2187170982361
5000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,2.40305,620.9504063129425
5000000,16,80, , ,4,4,sockets,none,1.661285,640.6026208400726
5000000,16,160, ,#pragma omp parallel for,16,64,cores,none,1.675065,660.1702737808228
5000000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,1.679115,680.4184110164642
5000000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,2.3147450000000003,701.9264459609985
5000000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,1.692215,722.2503442764282
5000000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,1.685035,742.3906192779541
5000000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,1.66257,761.994325876236
