input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.89845,19.606401681900024
1000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.349005,35.60176134109497
1000000,128,64, , ,8,4,sockets,none,0.35702,51.26999068260193
1000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.90586,69.42115044593811
1000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.33150999999999997,85.02783179283142
1000000,16,128, , ,16,16,sockets,balanced,0.33203,100.84636449813843
1000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,1.78742,120.98609733581543
1000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.35957,136.9301779270172
1000000,8,160, , ,128,32,threads,disabled,0.46631500000000004,152.93792152404785
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.35240499999999997,168.83480072021484
1000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.33999999999999997,184.61164903640747
1000000,32,200, , ,128,2,cores,balanced,0.327075,200.23874497413635
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.3478,216.06983542442322
1000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,1.783585,236.40593647956848
1000000,256,10, , ,32,2,cores,compact,0.35177,252.29391527175903
1000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.347515,268.0841670036316
1000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.351905,283.6708941459656
1000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.34030000000000005,299.55830478668213
1000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.338505,315.39592933654785
1000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,1.094185,333.77415704727173
1000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.473445,349.72400975227356
1000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.33065,365.43038177490234
1000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.35129,381.4719524383545
1000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.8819250000000001,398.70951294898987
1000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.348915,414.5105004310608
1000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.349735,430.4346389770508
