input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,2.776195,25.059122323989868
1000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,2.75915,49.080495834350586
1000000,128,64, , ,8,4,sockets,none,2.783995,71.44216656684875
1000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,2.708605,93.72196555137634
1000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,2.69642,116.75100994110107
1000000,16,128, , ,16,16,sockets,balanced,2.6498799999999996,138.7803180217743
1000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,2.7330249999999996,161.03348660469055
1000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,2.8621600000000003,185.3672513961792
1000000,8,160, , ,128,32,threads,disabled,2.747275,207.50988340377808
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,2.73315,231.1838822364807
1000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,2.6972899999999997,253.27931237220764
1000000,32,200, , ,128,2,cores,balanced,2.66625,275.2029387950897
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,2.84,299.1766324043274
1000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,2.725045,321.6657259464264
1000000,256,10, , ,32,2,cores,compact,3.21526,344.96186351776123
1000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,2.71535,367.2377836704254
1000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,2.83387,389.75060749053955
1000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,2.76472,413.0968322753906
1000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,2.7007250000000003,436.2858238220215
1000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,2.76735,458.369948387146
1000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,2.700765,481.00485730171204
1000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,2.69769,504.0147497653961
1000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,2.8527750000000003,527.9606235027313
1000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,2.6735100000000003,549.9301867485046
1000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,2.82754,573.7808454036713
1000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,2.7905100000000003,596.0458409786224
1000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,2.71969,618.2899403572083
1000000,16,80, , ,4,4,sockets,none,2.7561299999999997,640.3637065887451
1000000,16,160, ,#pragma omp parallel for,16,64,cores,none,2.6936099999999996,662.9372119903564
1000000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,3.15623,689.1616203784943
1000000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,2.732805,711.1912415027618
1000000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,3.1241950000000003,737.4327673912048
1000000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,2.87118,762.591456413269
1000000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,2.704355,785.7380909919739
1000000,2,10, ,#pragma omp parallel for,256,256,cores,none,2.81108,808.2029156684875
1000000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,2.7033050000000003,830.8975310325623
1000000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,2.7762149999999997,853.0780942440033
1000000,256,20, , ,96,32,cores,scatter,3.06539,876.2273144721985
1000000,64,128, , ,256,96,cores,disabled,2.7164099999999998,898.487833738327
1000000,96,200, , ,16,16,threads,balanced,2.89601,921.0600845813751
1000000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,2.708485,943.647891998291
1000000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,2.70653,966.9281406402588
1000000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,2.792585,992.2511196136475
1000000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,3.38973,1019.4460864067078
1000000,96,80, , ,4,256,cores,scatter,2.744445,1041.7361118793488
1000000,32,160, , ,128,32,cores,balanced,2.6731350000000003,1063.6790039539337
1000000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,2.7842700000000002,1086.1658041477203
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,2.959525,1110.9309604167938
1000000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,2.727645,1133.0230541229248
1000000,16,128, , ,4,96,threads,explicit,2.6761150000000002,1155.1318807601929
1000000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,3.2497299999999996,1178.8884646892548
1000000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,scatter,2.899305,1204.3870635032654
1000000,8,128,#pragma clang loop unrolling full, ,16,64,sockets,balanced,2.6377750000000004,1226.4647462368011
1000000,256,40, ,#pragma omp parallel for,96,128,sockets,explicit,3.12356,1252.3990423679352
