input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.08693000000000001,17.221424341201782
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.04776,32.21434450149536
100000,128,64, , ,8,4,sockets,none,0.05196,47.10552477836609
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.08665,61.9339439868927
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.03328,76.72632002830505
100000,16,128, , ,16,16,sockets,balanced,0.033345,91.81814551353455
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.167485,107.11194896697998
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.06638,122.0380311012268
100000,8,160, , ,128,32,threads,disabled,0.047625,136.86588215827942
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.052115,151.9726047515869
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.03677,166.79798483848572
100000,32,200, , ,128,2,cores,balanced,0.03319999999999999,181.49409747123718
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.047439999999999996,196.63168573379517
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.169535,211.69377875328064
100000,256,10, , ,32,2,cores,compact,0.067715,226.65451097488403
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.048345,241.52043557167053
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.044844999999999996,256.22586965560913
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.038245,271.3416838645935
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.036045,286.0681884288788
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.107595,300.9619369506836
