input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.901465,21.182733058929443
1000000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.38127,37.246466398239136
1000000,128,64, , ,8,4,sockets,none,0.38597000000000004,53.094494581222534
1000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.8694,70.29070973396301
1000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.343835,85.87440419197083
1000000,16,128, , ,16,16,sockets,balanced,0.33253,101.55055975914001
1000000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,1.774285,121.59481549263
1000000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.37756,137.47466802597046
1000000,8,160, , ,128,32,threads,disabled,0.465995,153.6380078792572
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.375545,169.66259598731995
1000000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.354345,185.32660007476807
1000000,32,200, , ,128,2,cores,balanced,0.32604999999999995,200.9903290271759
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.37805500000000003,217.0904004573822
1000000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,1.78186,237.10617780685425
1000000,256,10, , ,32,2,cores,compact,0.40097499999999997,252.93057370185852
1000000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.368935,268.7067084312439
1000000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.37477,284.48637413978577
1000000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.36458,300.25838971138
1000000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.36119,315.9864981174469
1000000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,1.094405,333.99859261512756
1000000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.46832,349.8583598136902
1000000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.34008,365.4665062427521
1000000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.36990500000000004,381.32645654678345
1000000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.866175,398.7104187011719
1000000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.37516,414.7383830547333
1000000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.37034,430.5189368724823
1000000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.47736,446.58658599853516
1000000,16,80, , ,4,4,sockets,none,0.33259,462.3344576358795
1000000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.333845,478.0303213596344
1000000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.384805,494.4905219078064
