input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.086945,18.506950855255127
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.052544999999999994,33.559128522872925
100000,128,64, , ,8,4,sockets,none,0.067245,48.49811577796936
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.0867,63.290600538253784
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.03437,77.9940254688263
100000,16,128, , ,16,16,sockets,balanced,0.03347,92.78150415420532
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.17019,107.9261646270752
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.057645,122.86653065681458
100000,8,160, , ,128,32,threads,disabled,0.047064999999999996,137.74616169929504
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.04913,152.90243268013
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.04324,167.7062747478485
100000,32,200, , ,128,2,cores,balanced,0.033125,182.4789457321167
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.045765,197.37425804138184
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.170375,212.63056349754333
100000,256,10, , ,32,2,cores,compact,0.06506,227.58621978759766
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.041635000000000005,242.41836166381836
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.05177,257.2622570991516
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.042905,272.1943008899689
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.037775,286.9826834201813
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.108125,302.0215950012207
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.04653,316.68624448776245
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.034655,331.38629937171936
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.050820000000000004,346.31057953834534
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.08713499999999999,361.38638854026794
100000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.05215,376.45836186408997
100000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.05673,391.40225529670715
100000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.04747,406.2116229534149
100000,16,80, , ,4,4,sockets,none,0.033995,420.9223277568817
100000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.03399,435.4949519634247
100000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.076405,451.1224398612976
100000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.046439999999999995,465.9023666381836
100000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,0.06897,481.04280853271484
100000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.07125999999999999,496.4060962200165
100000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.04105,511.14154291152954
100000,2,10, ,#pragma omp parallel for,256,256,cores,none,0.17456,526.3783600330353
100000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.047170000000000004,541.0745918750763
100000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,0.0388,555.8061573505402
100000,256,20, , ,96,32,cores,scatter,0.06734,570.7747130393982
100000,64,128, , ,256,96,cores,disabled,0.0437,585.6182351112366
100000,96,200, , ,16,16,threads,balanced,0.049685,600.6104278564453
100000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,0.04646,615.1941411495209
100000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,0.047869999999999996,629.9302983283997
100000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,0.06392,645.006175994873
100000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,0.06197999999999999,660.859055519104
100000,96,80, , ,4,256,cores,scatter,0.052570000000000006,675.6940751075745
100000,32,160, , ,128,32,cores,balanced,0.03422,690.5663707256317
100000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,0.06062,705.4541172981262
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,0.05617,720.762143611908
100000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,0.040345,735.6393945217133
100000,16,128, , ,4,96,threads,explicit,0.0361,750.5583527088165
100000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,0.072525,765.5779323577881
100000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,scatter,0.07337,780.7058889865875
100000,8,128,#pragma clang loop unrolling full, ,16,64,sockets,balanced,0.047025,795.5260858535767
100000,256,40, ,#pragma omp parallel for,96,128,sockets,explicit,0.06372,810.8780043125153
100000,192,100, ,#pragma omp parallel for,64,256,sockets,explicit,0.058265,826.0062208175659
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,threads,none,0.03287,840.7462387084961
100000,192,40, , ,64,8,threads,scatter,0.056865,855.7181527614594
100000,16,100, , ,128,2,sockets,balanced,0.03325,870.5187339782715
100000,16,20, , ,4,32,sockets,disabled,0.03424,885.2742094993591
100000,8,200, , ,32,4,threads,none,0.046395,900.2106518745422
100000,48,80,#pragma clang loop unrolling full, ,8,4,sockets,none,0.043219999999999995,914.9542095661163
100000,192,160, ,#pragma omp parallel for,96,64,threads,compact,0.06101,929.9984495639801
100000,64,160, , ,96,96,threads,compact,0.042905,944.8176200389862
100000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,none,0.03391,959.4182720184326
100000,4,80, , ,16,64,sockets,disabled,0.08632000000000001,974.2981374263763
100000,16,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,explicit,0.033485,988.9062235355377
100000,4,128,#pragma clang loop unrolling full, ,8,8,threads,none,0.08618,1003.8021216392517
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,compact,0.16886,1018.9865388870239
100000,32,40, , ,4,32,cores,none,0.032695,1033.7501511573792
100000,96,20, , ,16,96,threads,disabled,0.045215,1048.5857203006744
100000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,threads,disabled,0.045094999999999996,1063.4741020202637
100000,2,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,cores,explicit,0.17082999999999998,1078.642097711563
100000,48,128, , ,16,4,sockets,scatter,0.040785,1093.4301249980927
100000,2,80, , ,2,96,cores,scatter,0.16566999999999998,1108.5740287303925
100000,8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,threads,disabled,0.046395,1123.1681559085846
100000,64,20, ,#pragma omp parallel for,8,8,threads,compact,0.046270000000000006,1138.0858898162842
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,threads,none,0.17013,1153.2421522140503
100000,16,64, , ,8,2,cores,explicit,0.03351,1167.9575753211975
