input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,96,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,balanced,1.66954,3165.529909133911
5000000,64,64,#pragma clang loop unrolling full, ,32,32,sockets,explicit,1.6823199999999998,3185.4464209079742
5000000,16,10, ,#pragma omp parallel for,2,256,threads,explicit,1.67415,3205.1405560970306
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,threads,balanced,4.559575,3233.382434129715
5000000,64,10, , ,2,4,threads,disabled,1.669825,3253.006830215454
5000000,48,10,#pragma clang loop unrolling full, ,8,16,cores,scatter,1.65628,3272.7002329826355
5000000,128,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,explicit,1.675465,3292.6867275238037
5000000,192,64, ,#pragma omp parallel for,4,32,cores,balanced,1.683455,3312.6821291446686
5000000,16,100, ,#pragma omp parallel for,8,256,sockets,scatter,1.68144,3332.2070870399475
5000000,8,160, ,#pragma omp parallel for,128,64,cores,disabled,2.394355,3354.086644887924
5000000,64,40,#pragma clang loop unrolling full, ,64,2,threads,balanced,1.6488450000000001,3373.7539341449738
5000000,8,100, , ,64,64,threads,balanced,2.34884,3395.6860675811768
5000000,8,128,#pragma clang loop unrolling full, ,32,2,sockets,balanced,2.373005,3417.5384860038757
5000000,8,200,#pragma clang loop unrolling full, ,4,4,cores,scatter,2.36013,3439.3062903881073
5000000,48,10,#pragma clang loop unrolling full, ,8,8,cores,explicit,1.6516899999999999,3458.9026532173157
5000000,96,100,#pragma clang loop unrolling full, ,16,128,cores,balanced,1.657095,3478.5709295272827
5000000,128,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,scatter,1.674055,3498.365882396698
5000000,64,20, ,#pragma omp parallel for,16,96,sockets,balanced,1.65948,3517.929283618927
5000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,explicit,1.6840549999999999,3538.1303827762604
5000000,256,80,#pragma clang loop unrolling full, ,256,32,sockets,scatter,1.6768,3557.801747560501
5000000,2,128, ,#pragma omp parallel for,32,8,cores,scatter,8.97221,3599.746233224869
5000000,2,40, ,#pragma omp parallel for,16,64,threads,scatter,9.01635,3641.6343216896057
