input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,64,10,#pragma clang loop unrolling full, ,96,256,threads,compact,0.34119,1522.343044757843
1000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,threads,compact,0.36085999999999996,1538.694308757782
1000000,256,100, ,#pragma omp parallel for,2,128,sockets,balanced,0.35562499999999997,1555.2804534435272
1000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,sockets,scatter,0.34140499999999996,1570.9498763084412
1000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,balanced,0.906575,1588.2028348445892
1000000,256,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,none,0.359035,1604.922687292099
1000000,192,80,#pragma clang loop unrolling full, ,8,4,cores,explicit,0.38798,1620.814202785492
1000000,8,80,#pragma clang loop unrolling full, ,256,64,sockets,explicit,0.46444,1636.9062807559967
1000000,96,100, , ,4,96,sockets,none,0.35309,1652.6585495471954
1000000,16,160,#pragma clang loop unrolling full, ,256,2,sockets,scatter,0.33386499999999997,1668.380079984665
1000000,48,80,#pragma clang loop unrolling full, ,32,96,sockets,none,0.334495,1683.9860489368439
1000000,8,200, , ,8,4,cores,scatter,0.47109,1700.0860760211945
1000000,32,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,none,0.331385,1715.9230415821075
1000000,96,20, , ,2,8,threads,explicit,0.35337,1731.570728302002
1000000,8,200,#pragma clang loop unrolling full, ,32,256,cores,explicit,0.461075,1747.7450671195984
1000000,96,128, ,#pragma omp parallel for,128,4,cores,explicit,0.35578,1763.5100343227386
1000000,192,200, ,#pragma omp parallel for,256,64,threads,compact,0.36099499999999995,1779.538004398346
1000000,8,64, ,#pragma omp parallel for,256,96,cores,disabled,0.47618499999999997,1795.5980401039124
1000000,8,10, ,#pragma omp parallel for,64,8,threads,balanced,0.491,1811.7485115528107
1000000,8,160, ,#pragma omp parallel for,16,256,threads,none,0.47396,1827.6066613197327
1000000,128,64,#pragma clang loop unrolling full, ,96,2,threads,compact,0.35824500000000004,1843.4345307350159
1000000,256,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,none,0.382525,1859.858793258667
1000000,128,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,scatter,0.357095,1875.863624572754
1000000,192,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,none,0.36317,1891.7908401489258
1000000,2,128, ,#pragma omp parallel for,16,96,threads,compact,1.771875,1911.8267033100128
1000000,48,128, , ,8,256,cores,disabled,0.336805,1927.5781083106995
1000000,256,200, , ,32,16,threads,none,0.36001000000000005,1943.482343196869
1000000,4,128, , ,8,96,threads,disabled,0.8648499999999999,1960.722356081009
1000000,2,160, , ,64,2,cores,scatter,1.716425,1980.6228635311127
1000000,48,10, ,#pragma omp parallel for,2,64,sockets,none,0.340125,1996.4196147918701
1000000,192,128, , ,128,64,threads,balanced,0.37100500000000003,2012.334097623825
1000000,96,20,#pragma clang loop unrolling full, ,128,8,threads,disabled,0.35609500000000005,2028.0109870433807
1000000,4,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,scatter,0.914505,2045.5340747833252
1000000,128,80, ,#pragma omp parallel for,64,96,sockets,compact,0.35304,2061.645882129669
1000000,48,100, , ,4,128,sockets,compact,0.336495,2077.2844128608704
1000000,4,160,#pragma clang loop unrolling full, ,2,128,threads,explicit,0.86299,2094.6107699871063
1000000,128,64,#pragma clang loop unrolling full, ,2,32,threads,none,0.35713,2110.5145823955536
1000000,64,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,cores,compact,0.34323499999999996,2126.255735874176
1000000,48,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,disabled,0.338555,2141.9716420173645
1000000,32,10, , ,8,4,threads,scatter,0.331755,2157.5826754570007
1000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,compact,0.340255,2173.2440037727356
1000000,96,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,disabled,0.362885,2189.1954669952393
1000000,8,20, , ,96,32,cores,explicit,0.46536500000000003,2205.2396795749664
1000000,2,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,cores,disabled,1.7880099999999999,2225.5228774547577
1000000,32,200,#pragma clang loop unrolling full, ,64,2,sockets,compact,0.3296,2241.309930086136
1000000,256,20,#pragma clang loop unrolling full, ,96,16,cores,explicit,0.36226,2257.0221343040466
1000000,16,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,cores,balanced,0.33526999999999996,2272.554381608963
1000000,64,64,#pragma clang loop unrolling full, ,32,16,cores,explicit,0.34748,2288.297026157379
1000000,256,64,#pragma clang loop unrolling full, ,16,128,cores,explicit,0.38487000000000005,2304.0989711284637
1000000,128,64, ,#pragma omp parallel for,96,128,sockets,disabled,0.35779000000000005,2320.4703257083893
1000000,48,160, ,#pragma omp parallel for,256,16,sockets,none,0.347205,2336.4772498607635
1000000,96,10,#pragma clang loop unrolling full, ,256,256,cores,explicit,0.35301499999999997,2352.126546382904
1000000,16,20, , ,128,32,sockets,scatter,0.33448500000000003,2367.7303318977356
1000000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,explicit,0.35889499999999996,2383.5940504074097
1000000,16,128, ,#pragma omp parallel for,4,8,threads,scatter,0.336225,2399.1189408302307
1000000,4,20,#pragma clang loop unrolling full, ,8,256,cores,compact,1.089335,2416.9667003154755
1000000,16,160, , ,128,16,threads,disabled,0.33424,2432.6785521507263
1000000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,sockets,balanced,0.48484000000000005,2448.570488214493
1000000,256,200, , ,128,64,threads,balanced,0.35729500000000003,2464.458840608597
1000000,4,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,sockets,balanced,0.90771,2481.972663164139
1000000,2,80,#pragma clang loop unrolling full, ,4,4,sockets,balanced,1.693975,2501.6223611831665
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,sockets,none,0.354775,2517.458726167679
1000000,16,128, ,#pragma omp parallel for,256,2,threads,balanced,0.33551,2532.978390455246
1000000,192,64, , ,96,4,cores,compact,0.35436999999999996,2548.7378454208374
1000000,192,64, ,#pragma omp parallel for,64,64,threads,explicit,0.36167,2565.0468425750732
1000000,2,100, , ,64,32,cores,explicit,1.7355800000000001,2584.8947241306305
1000000,16,64, ,#pragma omp parallel for,2,16,sockets,scatter,0.3363,2600.6461572647095
1000000,256,200, , ,96,96,cores,disabled,0.37692,2616.7680780887604
1000000,4,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,threads,explicit,0.87913,2634.222093820572
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,sockets,balanced,0.35191,2650.1028957366943
1000000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,explicit,0.35336999999999996,2666.158993244171
1000000,2,40, ,#pragma omp parallel for,16,4,threads,none,1.788155,2686.303389072418
1000000,96,40, ,#pragma omp parallel for,32,64,sockets,scatter,0.35122,2702.1439752578735
1000000,32,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,disabled,0.33086000000000004,2717.6854841709137
1000000,8,20, , ,256,64,cores,disabled,0.47303,2733.8591578006744
1000000,128,64, ,#pragma omp parallel for,64,16,cores,balanced,0.35126999999999997,2749.6981933116913
1000000,96,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,threads,compact,0.35636500000000004,2765.3547673225403
1000000,64,20, , ,16,16,cores,compact,0.34403,2781.7900390625
1000000,96,40, ,#pragma omp parallel for,32,16,cores,balanced,0.35306,2797.6331627368927
