input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,96,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,balanced,13.329475,3946.5286979675293
5000000,64,64,#pragma clang loop unrolling full, ,32,32,sockets,explicit,13.197045,3999.9167914390564
5000000,16,10, ,#pragma omp parallel for,2,256,threads,explicit,13.618355000000001,4055.3251497745514
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,threads,balanced,13.545124999999999,4110.22663974762
5000000,64,10, , ,2,4,threads,disabled,13.510225,4164.573418855667
5000000,48,10,#pragma clang loop unrolling full, ,8,16,cores,scatter,13.50396,4218.865405797958
5000000,128,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,explicit,13.40995,4274.603316783905
5000000,192,64, ,#pragma omp parallel for,4,32,cores,balanced,13.447230000000001,4331.209439277649
5000000,16,100, ,#pragma omp parallel for,8,256,sockets,scatter,13.265229999999999,4385.665873289108
5000000,8,160, ,#pragma omp parallel for,128,64,cores,disabled,13.42457,4440.4719705581665
5000000,64,40,#pragma clang loop unrolling full, ,64,2,threads,balanced,13.200890000000001,4494.05378818512
5000000,8,100, , ,64,64,threads,balanced,13.303989999999999,4547.694453716278
5000000,8,128,#pragma clang loop unrolling full, ,32,2,sockets,balanced,13.34154,4601.565203428268
5000000,8,200,#pragma clang loop unrolling full, ,4,4,cores,scatter,13.297104999999998,4655.261798381805
5000000,48,10,#pragma clang loop unrolling full, ,8,8,cores,explicit,13.439285,4709.387801170349
5000000,96,100,#pragma clang loop unrolling full, ,16,128,cores,balanced,13.1119,4762.71791768074
5000000,128,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,scatter,13.302489999999999,4818.261656999588
5000000,64,20, ,#pragma omp parallel for,16,96,sockets,balanced,13.366755000000001,4873.570185184479
5000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,explicit,13.583404999999999,4930.9434514045715
5000000,256,80,#pragma clang loop unrolling full, ,256,32,sockets,scatter,13.488585,4985.402677059174
5000000,2,128, ,#pragma omp parallel for,32,8,cores,scatter,13.643785000000001,5040.486355543137
5000000,2,40, ,#pragma omp parallel for,16,64,threads,scatter,13.71247,5095.711482048035
5000000,32,64,#pragma clang loop unrolling full, ,256,4,sockets,compact,13.131625,5148.9767162799835
5000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,explicit,13.714105,5204.369170665741
5000000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,sockets,disabled,13.519459999999999,5259.170340061188
5000000,2,128, , ,8,8,cores,none,13.450064999999999,5313.264235496521
5000000,128,128,#pragma clang loop unrolling full, ,64,16,threads,none,13.30251,5367.089250564575
5000000,96,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,cores,explicit,13.592459999999999,5423.467870950699
5000000,16,80,#pragma clang loop unrolling full, ,2,64,sockets,compact,13.265934999999999,5476.929989337921
5000000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,none,13.284514999999999,5531.8027403354645
5000000,256,80,#pragma clang loop unrolling full, ,256,128,cores,balanced,13.488555,5586.2644329071045
5000000,2,160, ,#pragma omp parallel for,2,16,sockets,none,13.438210000000002,5640.831036329269
5000000,64,40, , ,16,8,threads,none,13.204595000000001,5694.411250829697
5000000,128,20, ,#pragma omp parallel for,96,64,sockets,compact,13.335605000000001,5750.470014810562
5000000,8,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,disabled,13.45508,5805.13840007782
5000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,threads,disabled,13.389285000000001,5860.585160255432
5000000,32,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,threads,balanced,13.264325,5915.113020181656
5000000,8,200, ,#pragma omp parallel for,96,16,cores,disabled,13.36494,5969.714444875717
5000000,128,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,sockets,explicit,13.323595000000001,6025.656448125839
5000000,32,128, , ,4,96,threads,explicit,13.094249999999999,6078.903040885925
5000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,threads,compact,13.258775,6133.449367523193
5000000,32,80, ,#pragma omp parallel for,2,128,threads,explicit,13.287455000000001,6188.295312404633
5000000,8,40, , ,16,16,cores,none,13.387225,6242.192662000656
5000000,48,160,#pragma clang loop unrolling full, ,64,256,sockets,disabled,13.080179999999999,6295.371331453323
5000000,256,200,#pragma clang loop unrolling full, ,4,64,cores,none,13.290535,6349.470868349075
5000000,256,40, , ,128,256,sockets,compact,13.66703,6404.122875213623
5000000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,threads,disabled,13.289765,6458.5380709171295
5000000,96,64, , ,32,8,threads,balanced,13.094100000000001,6511.809506893158
5000000,192,10, , ,96,96,threads,disabled,13.701184999999999,6566.562232255936
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,cores,disabled,13.4801,6621.304902791977
5000000,16,200, ,#pragma omp parallel for,32,256,threads,none,13.253525,6675.650041818619
5000000,192,160, ,#pragma omp parallel for,16,256,sockets,none,13.37596,6732.271739244461
5000000,96,64,#pragma clang loop unrolling full, ,64,2,cores,explicit,13.092145,6785.533839941025
5000000,48,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,cores,disabled,13.27927,6840.177561759949
5000000,192,128, ,#pragma omp parallel for,8,8,sockets,none,13.408975,6897.450435876846
5000000,16,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,threads,balanced,13.232665,6951.743817806244
5000000,16,80, ,#pragma omp parallel for,256,64,sockets,disabled,13.326395000000002,7006.35073184967
5000000,96,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,balanced,13.277785,7061.558230638504
5000000,192,200, , ,96,2,cores,balanced,13.30708,7115.553052663803
5000000,4,100,#pragma clang loop unrolling full, ,256,96,cores,compact,13.241785,7169.060858488083
5000000,128,10, ,#pragma omp parallel for,256,256,sockets,balanced,13.615425,7225.838529348373
5000000,256,64, , ,64,96,threads,balanced,13.5826,7280.330842018127
5000000,2,40, , ,128,32,sockets,compact,13.342875,7334.168192625046
5000000,32,200, , ,128,4,cores,compact,13.073355,7387.352998495102
5000000,48,20, , ,96,4,sockets,compact,13.256345,7441.0188937187195
5000000,192,80,#pragma clang loop unrolling full, ,2,4,threads,compact,13.39666,7495.090714216232
5000000,192,40,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,cores,none,13.34496,7551.2138657569885
5000000,4,100, , ,4,32,sockets,disabled,13.24127,7604.716159820557
5000000,4,100, , ,2,96,sockets,explicit,13.393925,7658.633314609528
5000000,192,64,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,scatter,13.42902,7715.120899915695
5000000,256,20, ,#pragma omp parallel for,64,16,cores,disabled,13.590675000000001,7772.921166419983
5000000,2,10, , ,256,8,cores,balanced,13.672335,7827.745189189911
5000000,2,20,#pragma clang loop unrolling full, ,2,256,cores,scatter,13.61225,7882.399505853653
5000000,16,80, , ,96,16,threads,none,13.227365,7935.8206968307495
5000000,96,200, , ,32,64,cores,scatter,13.217575,7989.385610818863
5000000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,cores,compact,13.530429999999999,8046.234775543213
5000000,96,40, , ,96,16,sockets,compact,13.183924999999999,8099.696238517761
5000000,96,40, , ,96,128,threads,disabled,13.269205,8153.358175992966
5000000,8,160, , ,32,256,cores,scatter,13.273325,8206.987488746643
5000000,128,40, , ,256,4,sockets,scatter,13.30179,8260.723436832428
5000000,96,64, , ,64,4,cores,disabled,13.105765,8313.949542999268
5000000,256,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,sockets,none,13.742235,8371.785729885101
5000000,256,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,threads,none,13.489889999999999,8429.266394615173
5000000,4,200, ,#pragma omp parallel for,8,128,cores,explicit,13.418399999999998,8483.954148769379
5000000,48,100,#pragma clang loop unrolling full, ,128,4,threads,scatter,13.118925,8537.189218521118
5000000,4,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,sockets,scatter,13.523240000000001,8592.162719726562
5000000,48,20, , ,4,16,threads,none,13.27389,8645.823081970215
5000000,32,20, , ,16,8,threads,explicit,13.28164,8699.474116325378
5000000,16,200, ,#pragma omp parallel for,2,96,sockets,none,13.245165,8753.834420919418
5000000,48,160, ,#pragma omp parallel for,4,96,threads,none,13.22979,8808.629499912262
5000000,128,160,#pragma clang loop unrolling full, ,32,8,threads,scatter,13.237665,8862.268154859543
5000000,64,100, , ,96,128,sockets,explicit,13.17172,8915.59800863266
5000000,32,160,#pragma clang loop unrolling full, ,2,256,sockets,explicit,13.089780000000001,8968.799978494644
5000000,64,64, ,#pragma omp parallel for,16,8,sockets,compact,13.271194999999999,9023.918690443039
5000000,2,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,threads,compact,13.500990000000002,9078.632591962814
5000000,48,128, ,#pragma omp parallel for,32,2,threads,scatter,13.276425,9133.332557678223
5000000,32,20,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,sockets,compact,13.40941,9188.31523156166
5000000,128,10, ,#pragma omp parallel for,96,32,cores,disabled,13.61575,9245.093251466751
5000000,2,160,#pragma clang loop unrolling full, ,4,32,sockets,compact,13.45326,9299.233030796051
5000000,8,40,#pragma clang loop unrolling full, ,8,32,threads,compact,13.387319999999999,9353.251096487045
5000000,64,128, , ,32,128,cores,balanced,13.101045,9618.99773645401
5000000,64,100, , ,256,64,cores,scatter,13.151585,9860.6545317173
5000000,64,100, , ,256,96,cores,balanced,13.088529999999999,10122.395830154419
5000000,64,200, , ,96,32,threads,compact,13.16103,10348.57975435257
5000000,64,128, , ,256,96,sockets,none,13.105985,10532.474872112274
5000000,48,160, , ,256,256,sockets,scatter,13.084945000000001,10735.389959335327
5000000,48,160, , ,64,256,cores,none,13.102625,10957.49579501152
5000000,48,200, , ,256,2,cores,compact,13.10916,11240.463137626648
5000000,64,200, , ,128,96,cores,none,13.115565,11501.128925085068
5000000,96,128, , ,64,96,cores,compact,13.21261,11677.84513258934
5000000,64,160, , ,32,96,cores,none,13.111615,11953.961111545563
5000000,64,200, , ,32,8,cores,balanced,13.124475,12137.32154417038
5000000,64,200, , ,256,96,cores,scatter,13.09157,12441.759866952896
5000000,64,200,#pragma clang loop unrolling full, ,2,32,sockets,explicit,13.121745,12807.85268831253
5000000,48,200,#pragma clang loop unrolling full, ,16,32,cores,compact,13.136115,13054.763921022415
5000000,48,200, , ,256,4,cores,scatter,13.132755,13247.290830850601
5000000,64,200, , ,256,96,cores,explicit,13.134765000000002,13413.403628349304
5000000,96,128, , ,256,4,cores,compact,13.224285,13809.829117059708
5000000,48,200,#pragma clang loop unrolling full, ,96,128,cores,balanced,13.099245,14144.127742767334
5000000,192,200,#pragma clang loop unrolling full, ,64,96,threads,scatter,13.360405,14392.749435424805
5000000,192,200, , ,64,16,sockets,compact,13.40514,14650.708282232285
5000000,48,200, , ,2,8,cores,explicit,13.12941,14956.27894616127
5000000,64,160, , ,96,2,threads,compact,13.115945,15320.769874572754
5000000,64,100, , ,96,4,cores,none,13.092975,15638.583946228027
5000000,64,200, , ,96,4,cores,explicit,13.107375000000001,15965.665116548538
5000000,64,160,#pragma clang loop unrolling full, ,32,2,cores,compact,13.182780000000001,16253.540370941162
5000000,96,200, , ,256,256,cores,compact,13.1521,16398.1518137455
5000000,64,160, , ,16,256,cores,none,13.159604999999999,16670.35726594925
5000000,64,160, , ,16,128,cores,balanced,13.084055,16921.861468553543
5000000,64,64, , ,2,16,cores,explicit,13.205015,17276.000734090805
5000000,48,200, , ,96,128,cores,compact,13.141960000000001,17461.74106645584
5000000,64,160, , ,2,2,cores,none,13.171045,17813.36056661606
5000000,64,64,#pragma clang loop unrolling full, ,16,16,cores,disabled,13.087965,18100.516580820084
5000000,32,200, , ,96,96,sockets,explicit,13.090045,18405.12378525734
5000000,64,100,#pragma clang loop unrolling full, ,256,8,threads,explicit,13.186385,18738.69264483452
5000000,64,100,#pragma clang loop unrolling full, ,128,64,cores,none,13.089285,19088.64897942543
5000000,48,100, , ,128,256,cores,balanced,13.168019999999999,19422.673682928085
