input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.087475,21.605201721191406
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.04682,36.860761880874634
100000,128,64, , ,8,4,sockets,none,0.07063,51.87326455116272
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.087215,66.82863259315491
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.03318,81.64115333557129
100000,16,128, , ,16,16,sockets,balanced,0.033394999999999994,96.90483808517456
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.16899999999999998,112.33724308013916
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.062384999999999996,127.34488654136658
100000,8,160, , ,128,32,threads,disabled,0.05455,142.52911019325256
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.055735,157.5851285457611
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.037779999999999994,172.70117163658142
100000,32,200, , ,128,2,cores,balanced,0.03364,188.15253615379333
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.048205,203.37297940254211
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.169455,218.73720026016235
100000,256,10, , ,32,2,cores,compact,0.077685,233.78455328941345
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.0441,248.897479057312
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.050675,263.76884508132935
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.03902,279.05690264701843
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.036754999999999996,293.88932037353516
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.10801,309.20947313308716
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.046355,324.08535599708557
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.033604999999999996,338.8649706840515
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.04782,354.056485414505
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.08701500000000001,369.27707862854004
100000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.06654499999999999,384.4170308113098
100000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.04542,399.3170745372772
100000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.046814999999999996,414.1372241973877
100000,16,80, , ,4,4,sockets,none,0.03776,429.0608696937561
100000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.034415,443.55704712867737
100000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.062775,459.2251935005188
100000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.04657,474.51889276504517
100000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,0.096965,490.3628206253052
100000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.058179999999999996,506.05428409576416
100000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.049460000000000004,520.824809551239
100000,2,10, ,#pragma omp parallel for,256,256,cores,none,0.17354,536.2050316333771
100000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.047505,550.9008111953735
