input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.26366,23.25033211708069
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.6260749999999999,40.666855573654175
100000,128,64, , ,8,4,sockets,none,0.556435,56.898815393447876
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.265635,71.89393448829651
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.31189,87.33706402778625
100000,16,128, , ,16,16,sockets,balanced,0.280295,102.08302211761475
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.261355,116.87641668319702
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.438125,134.49647426605225
100000,8,160, , ,128,32,threads,disabled,0.27153499999999997,149.21956324577332
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.48275,166.66000413894653
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.32047000000000003,181.5287253856659
100000,32,200, , ,128,2,cores,balanced,0.30532000000000004,196.43239068984985
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.46972,213.70602917671204
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.26707000000000003,228.58673739433289
100000,256,10, , ,32,2,cores,compact,0.7847,245.59594678878784
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.370855,260.84316968917847
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.401065,276.34868144989014
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.2831,292.570805311203
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.29983,308.4446415901184
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.26693,323.07023000717163
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.28307,338.2000575065613
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.28784,353.64866852760315
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.425745,370.5876450538635
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.26231000000000004,385.27530455589294
