input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,64,10,#pragma clang loop unrolling full, ,96,256,threads,compact,2.694295,1636.2109031677246
1000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,threads,compact,3.293135,1662.7244727611542
1000000,256,100, ,#pragma omp parallel for,2,128,sockets,balanced,3.0568400000000002,1688.5662376880646
1000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,sockets,scatter,2.757895,1711.8043234348297
1000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,balanced,2.7197649999999998,1734.3040759563446
1000000,256,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,none,3.017005,1760.3499512672424
1000000,192,80,#pragma clang loop unrolling full, ,8,4,cores,explicit,2.9555749999999996,1783.315448999405
1000000,8,80,#pragma clang loop unrolling full, ,256,64,sockets,explicit,2.635675,1805.0326745510101
1000000,96,100, , ,4,96,sockets,none,2.76845,1827.1736567020416
1000000,16,160,#pragma clang loop unrolling full, ,256,2,sockets,scatter,2.649655,1849.0176882743835
1000000,48,80,#pragma clang loop unrolling full, ,32,96,sockets,none,2.69109,1870.891791343689
1000000,8,200, , ,8,4,cores,scatter,2.616035,1892.6397955417633
1000000,32,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,none,2.654815,1915.3161199092865
1000000,96,20, , ,2,8,threads,explicit,2.789815,1937.5395648479462
1000000,8,200,#pragma clang loop unrolling full, ,32,256,cores,explicit,2.628735,1959.3191802501678
1000000,96,128, ,#pragma omp parallel for,128,4,cores,explicit,2.7232700000000003,1982.9866693019867
1000000,192,200, ,#pragma omp parallel for,256,64,threads,compact,3.09976,2007.8069138526917
1000000,8,64, ,#pragma omp parallel for,256,96,cores,disabled,2.671725,2030.2156040668488
1000000,8,10, ,#pragma omp parallel for,64,8,threads,balanced,2.7227550000000003,2052.8107299804688
1000000,8,160, ,#pragma omp parallel for,16,256,threads,none,2.660515,2075.172878265381
1000000,128,64,#pragma clang loop unrolling full, ,96,2,threads,compact,2.828525,2097.510634660721
1000000,256,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,none,3.1455599999999997,2123.339659690857
1000000,128,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,scatter,2.829675,2147.161294698715
1000000,192,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,none,2.7716200000000004,2171.5145478248596
1000000,2,128, ,#pragma omp parallel for,16,96,threads,compact,2.7055,2193.703284263611
1000000,48,128, , ,8,256,cores,disabled,2.6738150000000003,2215.62051320076
1000000,256,200, , ,32,16,threads,none,3.2384399999999998,2238.970835208893
1000000,4,128, , ,8,96,threads,disabled,2.638815,2260.7716674804688
1000000,2,160, , ,64,2,cores,scatter,2.647905,2282.5996975898743
1000000,48,10, ,#pragma omp parallel for,2,64,sockets,none,2.712035,2305.703174829483
1000000,192,128, , ,128,64,threads,balanced,2.833805,2328.490782022476
1000000,96,20,#pragma clang loop unrolling full, ,128,8,threads,disabled,2.71891,2350.473963022232
1000000,4,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,scatter,2.6736050000000002,2372.779135465622
1000000,128,80, ,#pragma omp parallel for,64,96,sockets,compact,2.7699049999999996,2397.1524906158447
1000000,48,100, , ,4,128,sockets,compact,2.69637,2419.098190307617
1000000,4,160,#pragma clang loop unrolling full, ,2,128,threads,explicit,2.623835,2440.8429839611053
1000000,128,64,#pragma clang loop unrolling full, ,2,32,threads,none,2.7677449999999997,2462.9773128032684
1000000,64,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,cores,compact,2.7035549999999997,2486.0974798202515
1000000,48,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,disabled,2.6930300000000003,2508.90882563591
1000000,32,10, , ,8,4,threads,scatter,2.690855,2530.845018386841
1000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,compact,2.70334,2553.827496290207
