input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
100000,4,40, ,#pragma omp parallel for,8,32,cores,balanced,0.08693000000000001,21.791768550872803
100000,96,40, ,#pragma omp parallel for,32,2,cores,disabled,0.05376,36.77815532684326
100000,128,64, , ,8,4,sockets,none,0.055444999999999994,52.0415678024292
100000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,disabled,0.087065,66.9748809337616
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,threads,scatter,0.033125,82.0195255279541
100000,16,128, , ,16,16,sockets,balanced,0.03363,96.97758555412292
100000,2,64, ,#pragma omp parallel for,4,64,threads,disabled,0.16852499999999998,112.30652284622192
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,sockets,compact,0.10635,127.93408942222595
100000,8,160, , ,128,32,threads,disabled,0.046665,142.81852269172668
100000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,cores,disabled,0.056505,158.08989810943604
100000,48,64,#pragma clang loop unrolling full, ,64,16,threads,explicit,0.043645,173.0621621608734
100000,32,200, , ,128,2,cores,balanced,0.033995,188.0065836906433
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,16,cores,balanced,0.049784999999999996,203.1631896495819
100000,2,200, ,#pragma omp parallel for,64,256,threads,explicit,0.170015,218.3416383266449
100000,256,10, , ,32,2,cores,compact,0.07272999999999999,233.41415858268738
100000,64,128,#pragma clang loop unrolling full, ,2,256,sockets,none,0.06024499999999999,248.37418866157532
100000,96,10,#pragma clang loop unrolling full, ,64,8,cores,scatter,0.049625,263.2180507183075
100000,64,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,threads,scatter,0.04273,278.28161120414734
100000,48,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,cores,compact,0.035845,293.12727665901184
100000,4,20,#pragma clang loop unrolling full, ,256,256,cores,compact,0.10717499999999999,308.27422189712524
100000,8,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,sockets,explicit,0.04649,322.9300467967987
100000,32,64, ,#pragma omp parallel for,96,16,threads,compact,0.033729999999999996,337.697936296463
100000,96,128, ,#pragma omp parallel for,2,16,sockets,compact,0.04673,352.8460330963135
100000,4,128,#pragma clang loop unrolling full, ,2,16,sockets,scatter,0.08723,367.9138894081116
100000,96,10, ,#pragma omp parallel for,128,8,threads,explicit,0.060125,383.2108099460602
100000,96,160,#pragma clang loop unrolling full, ,256,32,sockets,compact,0.054,398.11795139312744
100000,8,10,#pragma clang loop unrolling full, ,32,128,cores,explicit,0.047784999999999994,413.0862708091736
100000,16,80, , ,4,4,sockets,none,0.03609,427.9780464172363
100000,16,160, ,#pragma omp parallel for,16,64,cores,none,0.034345,442.68602418899536
100000,256,200, ,#pragma omp parallel for,16,96,threads,disabled,0.05571,458.60981488227844
100000,8,100,#pragma clang loop unrolling full, ,64,4,threads,disabled,0.046565,473.4103317260742
100000,256,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,scatter,0.063845,488.77812576293945
100000,192,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,cores,explicit,0.061705,504.14649271965027
100000,48,128, ,#pragma omp parallel for,4,32,cores,explicit,0.038834999999999995,519.022803068161
100000,2,10, ,#pragma omp parallel for,256,256,cores,none,0.170995,534.4255573749542
100000,8,160, ,#pragma omp parallel for,64,4,threads,scatter,0.047195,549.0901954174042
100000,48,40,#pragma clang loop unrolling full, ,8,8,sockets,balanced,0.03701,564.0663368701935
100000,256,20, , ,96,32,cores,scatter,0.072175,579.0501801967621
100000,64,128, , ,256,96,cores,disabled,0.04552,594.0695729255676
100000,96,200, , ,16,16,threads,balanced,0.05305,608.9835102558136
100000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,threads,none,0.04647,623.6453042030334
100000,48,100, ,#pragma omp parallel for,64,96,sockets,explicit,0.03712,638.6878757476807
100000,192,40, ,#pragma omp parallel for,64,96,threads,balanced,0.053599999999999995,653.9351925849915
100000,256,100, ,#pragma omp parallel for,8,2,sockets,disabled,0.072545,669.6742820739746
100000,96,80, , ,4,256,cores,scatter,0.04839,684.501832485199
100000,32,160, , ,128,32,cores,balanced,0.03325,699.3665773868561
100000,128,80,#pragma clang loop unrolling full, ,32,8,sockets,none,0.078655,714.6622471809387
100000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,threads,disabled,0.055885000000000004,729.8534038066864
100000,64,200,#pragma clang loop unrolling full, ,256,2,threads,balanced,0.039654999999999996,744.8786356449127
100000,16,128, , ,4,96,threads,explicit,0.034379999999999994,759.8295156955719
100000,256,160,#pragma clang loop unrolling full, ,256,128,sockets,explicit,0.106655,775.1102170944214
100000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,sockets,scatter,0.07111,790.3302495479584
100000,8,128,#pragma clang loop unrolling full, ,16,64,sockets,balanced,0.04697,805.1861443519592
100000,256,40, ,#pragma omp parallel for,96,128,sockets,explicit,0.07569,820.8018023967743
100000,192,100, ,#pragma omp parallel for,64,256,sockets,explicit,0.06814500000000001,836.1343035697937
100000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,threads,none,0.03319,851.0377881526947
100000,192,40, , ,64,8,threads,scatter,0.05983,866.0460245609283
100000,16,100, , ,128,2,sockets,balanced,0.033659999999999995,881.0539820194244
100000,16,20, , ,4,32,sockets,disabled,0.03358,895.9059052467346
100000,8,200, , ,32,4,threads,none,0.04617,910.8455560207367
100000,48,80,#pragma clang loop unrolling full, ,8,4,sockets,none,0.0381,926.0230877399445
100000,192,160, ,#pragma omp parallel for,96,64,threads,compact,0.052445,941.2855267524719
100000,64,160, , ,96,96,threads,compact,0.04188,956.3222525119781
100000,16,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,sockets,none,0.034095,970.9538743495941
100000,4,80, , ,16,64,sockets,disabled,0.086795,985.9141490459442
100000,16,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,sockets,explicit,0.033475,1000.6536295413971
100000,4,128,#pragma clang loop unrolling full, ,8,8,threads,none,0.08707000000000001,1015.8224954605103
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,compact,0.16775,1031.2229084968567
100000,32,40, , ,4,32,cores,none,0.03486,1046.0017220973969
100000,96,20, , ,16,96,threads,disabled,0.052595,1061.0618035793304
100000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,threads,disabled,0.051695000000000005,1076.0777237415314
100000,2,128,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,cores,explicit,0.16812,1091.269950389862
100000,48,128, , ,16,4,sockets,scatter,0.03895,1106.269936800003
100000,2,80, , ,2,96,cores,scatter,0.167755,1121.4375784397125
100000,8,160,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,threads,disabled,0.04659,1136.3260674476624
100000,64,20, ,#pragma omp parallel for,8,8,threads,compact,0.037385,1151.1656081676483
100000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,threads,none,0.168365,1166.3662164211273
100000,16,64, , ,8,2,cores,explicit,0.03414,1181.297831773758
100000,2,200, ,#pragma omp parallel for,64,96,sockets,balanced,0.16532000000000002,1196.4698696136475
100000,64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,sockets,compact,0.03808,1211.6216571331024
100000,192,20,#pragma clang loop unrolling full, ,4,4,cores,balanced,0.064085,1226.562001466751
100000,128,80, , ,256,32,cores,scatter,0.07424,1241.4711391925812
100000,4,80,#pragma clang loop unrolling full, ,128,128,cores,disabled,0.086825,1256.4020228385925
100000,48,80,#pragma clang loop unrolling full, ,16,2,sockets,scatter,0.03868,1271.3496766090393
100000,4,10, , ,128,128,sockets,balanced,0.087785,1286.471851348877
100000,192,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,sockets,none,0.05426,1301.8338475227356
100000,32,100,#pragma clang loop unrolling full, ,16,96,cores,explicit,0.032995,1316.8140878677368
100000,48,10, , ,2,256,cores,scatter,0.03874,1331.6415050029755
100000,2,20, ,#pragma omp parallel for,2,256,sockets,compact,0.19736,1346.946151971817
100000,32,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,cores,balanced,0.033085,1361.8619799613953
100000,192,200,#pragma clang loop unrolling full, ,4,64,threads,none,0.071765,1376.9816286563873
100000,48,10, ,#pragma omp parallel for,2,16,cores,balanced,0.03837,1391.9860489368439
100000,16,40,#pragma clang loop unrolling full, ,16,64,threads,compact,0.037735,1406.8575258255005
100000,96,10,#pragma clang loop unrolling full, ,4,64,cores,scatter,0.050205,1421.9419486522675
100000,128,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,sockets,disabled,0.07238,1437.0099403858185
100000,4,64,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,cores,compact,0.107265,1451.9298112392426
100000,128,20, , ,256,2,cores,scatter,0.053540000000000004,1466.9696872234344
100000,256,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,threads,compact,0.058195,1482.3539669513702
100000,256,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,threads,none,0.06006499999999999,1498.3454678058624
100000,128,20, , ,96,8,threads,compact,0.075105,1513.2700669765472
1000000,64,10,#pragma clang loop unrolling full, ,96,256,threads,compact,0.347605,1529.1504919528961
1000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,threads,compact,0.357775,1545.2020909786224
1000000,256,100, ,#pragma omp parallel for,2,128,sockets,balanced,0.36563999999999997,1561.5334248542786
1000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,sockets,scatter,0.342055,1577.5230050086975
1000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,balanced,0.90038,1594.8820111751556
1000000,256,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,none,0.365375,1611.7229263782501
1000000,192,80,#pragma clang loop unrolling full, ,8,4,cores,explicit,0.372825,1627.566011428833
1000000,8,80,#pragma clang loop unrolling full, ,256,64,sockets,explicit,0.46181,1643.8548634052277
1000000,96,100, , ,4,96,sockets,none,0.352345,1659.5737702846527
1000000,16,160,#pragma clang loop unrolling full, ,256,2,sockets,scatter,0.33525,1675.3212535381317
1000000,48,80,#pragma clang loop unrolling full, ,32,96,sockets,none,0.346605,1691.1030979156494
1000000,8,200, , ,8,4,cores,scatter,0.46965999999999997,1707.2904472351074
1000000,32,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,none,0.33269000000000004,1723.0538218021393
1000000,96,20, , ,2,8,threads,explicit,0.3563,1738.770085811615
1000000,8,200,#pragma clang loop unrolling full, ,32,256,cores,explicit,0.463815,1755.1017422676086
1000000,96,128, ,#pragma omp parallel for,128,4,cores,explicit,0.359955,1771.0178549289703
1000000,192,200, ,#pragma omp parallel for,256,64,threads,compact,0.35916000000000003,1787.249793767929
1000000,8,64, ,#pragma omp parallel for,256,96,cores,disabled,0.4759,1803.2156476974487
1000000,8,10, ,#pragma omp parallel for,64,8,threads,balanced,0.485885,1819.3537740707397
1000000,8,160, ,#pragma omp parallel for,16,256,threads,none,0.47302,1835.3094713687897
1000000,128,64,#pragma clang loop unrolling full, ,96,2,threads,compact,0.361535,1851.1336164474487
1000000,256,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,none,0.36343000000000003,1867.6259496212006
1000000,128,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,scatter,0.351915,1883.719130039215
1000000,192,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,none,0.362405,1900.0141458511353
1000000,2,128, ,#pragma omp parallel for,16,96,threads,compact,1.75118,1920.0058298110962
1000000,48,128, , ,8,256,cores,disabled,0.34031500000000003,1935.922337770462
1000000,256,200, , ,32,16,threads,none,0.384015,1951.8416900634766
1000000,4,128, , ,8,96,threads,disabled,0.88136,1969.3541994094849
1000000,2,160, , ,64,2,cores,scatter,1.71681,1989.1897718906403
1000000,48,10, ,#pragma omp parallel for,2,64,sockets,none,0.340245,2005.0941710472107
1000000,192,128, , ,128,64,threads,balanced,0.35987,2021.037559747696
1000000,96,20,#pragma clang loop unrolling full, ,128,8,threads,disabled,0.35672,2036.9700729846954
1000000,4,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,scatter,0.912215,2054.4227595329285
1000000,128,80, ,#pragma omp parallel for,64,96,sockets,compact,0.40177,2070.5660049915314
1000000,48,100, , ,4,128,sockets,compact,0.34387,2086.3139441013336
1000000,4,160,#pragma clang loop unrolling full, ,2,128,threads,explicit,0.8721300000000001,2103.8060953617096
1000000,128,64,#pragma clang loop unrolling full, ,2,32,threads,none,0.35980999999999996,2119.906226873398
1000000,64,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,cores,compact,0.347125,2135.7699167728424
1000000,48,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,disabled,0.34362000000000004,2151.7816112041473
1000000,32,10, , ,8,4,threads,scatter,0.336505,2167.4744629859924
1000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,compact,0.34318000000000004,2183.3580224514008
1000000,96,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,disabled,0.36597999999999997,2199.3334136009216
1000000,8,20, , ,96,32,cores,explicit,0.47134,2215.6824345588684
1000000,2,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,cores,disabled,1.76,2235.890834093094
1000000,32,200,#pragma clang loop unrolling full, ,64,2,sockets,compact,0.3363,2251.7737715244293
1000000,256,20,#pragma clang loop unrolling full, ,96,16,cores,explicit,0.36458999999999997,2267.553758621216
1000000,16,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,cores,balanced,0.33592500000000003,2283.0459418296814
1000000,64,64,#pragma clang loop unrolling full, ,32,16,cores,explicit,0.35295,2298.9725136756897
1000000,256,64,#pragma clang loop unrolling full, ,16,128,cores,explicit,0.370805,2314.7901549339294
