input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
5000000,96,80,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,balanced,1.683815,3180.4136321544647
5000000,64,64,#pragma clang loop unrolling full, ,32,32,sockets,explicit,1.66227,3200.2981548309326
5000000,16,10, ,#pragma omp parallel for,2,256,threads,explicit,1.68651,3219.982345342636
5000000,4,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,threads,balanced,4.56054,3248.559545278549
5000000,64,10, , ,2,4,threads,disabled,1.681015,3268.45103931427
5000000,48,10,#pragma clang loop unrolling full, ,8,16,cores,scatter,1.67672,3288.214899301529
5000000,128,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,sockets,explicit,1.6934900000000002,3308.4494314193726
5000000,192,64, ,#pragma omp parallel for,4,32,cores,balanced,1.702095,3328.5816326141357
5000000,16,100, ,#pragma omp parallel for,8,256,sockets,scatter,1.691495,3348.4696774482727
5000000,8,160, ,#pragma omp parallel for,128,64,cores,disabled,2.47896,3374.061816930771
5000000,64,40,#pragma clang loop unrolling full, ,64,2,threads,balanced,1.66243,3393.7975358963013
5000000,8,100, , ,64,64,threads,balanced,2.3732100000000003,3415.7620947360992
5000000,8,128,#pragma clang loop unrolling full, ,32,2,sockets,balanced,2.381355,3437.6373977661133
5000000,8,200,#pragma clang loop unrolling full, ,4,4,cores,scatter,2.36566,3459.661682367325
5000000,48,10,#pragma clang loop unrolling full, ,8,8,cores,explicit,1.686815,3479.3897793293
5000000,96,100,#pragma clang loop unrolling full, ,16,128,cores,balanced,1.66996,3499.6448986530304
5000000,128,80,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,cores,scatter,1.7110150000000002,3519.925752401352
5000000,64,20, ,#pragma omp parallel for,16,96,sockets,balanced,1.6810100000000001,3539.9795775413513
5000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,sockets,explicit,1.778615,3560.4816262722015
5000000,256,80,#pragma clang loop unrolling full, ,256,32,sockets,scatter,1.692155,3580.334211587906
5000000,2,128, ,#pragma omp parallel for,32,8,cores,scatter,9.006509999999999,3622.297523021698
5000000,2,40, ,#pragma omp parallel for,16,64,threads,scatter,9.080445000000001,3664.5380346775055
5000000,32,64,#pragma clang loop unrolling full, ,256,4,sockets,compact,1.652415,3684.4509127140045
5000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,explicit,4.71021,3713.42294049263
5000000,2,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,sockets,disabled,9.069939999999999,3755.418203830719
5000000,2,128, , ,8,8,cores,none,8.584140000000001,3796.009533405304
5000000,128,128,#pragma clang loop unrolling full, ,64,16,threads,none,1.6976049999999998,3816.0741295814514
5000000,96,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,cores,explicit,1.703815,3836.1545555591583
5000000,16,80,#pragma clang loop unrolling full, ,2,64,sockets,compact,1.89377,3856.8387796878815
5000000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,4,cores,none,1.7147999999999999,3876.92635846138
5000000,256,80,#pragma clang loop unrolling full, ,256,128,cores,balanced,1.68083,3896.9937913417816
5000000,2,160, ,#pragma omp parallel for,2,16,sockets,none,9.07015,3939.262297153473
5000000,64,40, , ,16,8,threads,none,1.6992150000000001,3959.1266860961914
5000000,128,20, ,#pragma omp parallel for,96,64,sockets,compact,1.7071100000000001,3979.087148666382
5000000,8,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,disabled,2.39748,4001.0425267219543
5000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,4,128,threads,disabled,1.69205,4020.8945484161377
5000000,32,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,threads,balanced,1.65769,4040.6577587127686
5000000,8,200, ,#pragma omp parallel for,96,16,cores,disabled,2.395695,4062.4062027931213
5000000,128,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,32,sockets,explicit,1.72308,4082.7063348293304
5000000,32,128, , ,4,96,threads,explicit,1.71912,4102.573903083801
5000000,32,64,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,threads,compact,1.66885,4122.241778612137
