input,p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
1000000,64,10,#pragma clang loop unrolling full, ,96,256,threads,compact,0.347605,1529.1504919528961
1000000,256,160,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,threads,compact,0.357775,1545.2020909786224
1000000,256,100, ,#pragma omp parallel for,2,128,sockets,balanced,0.36563999999999997,1561.5334248542786
1000000,64,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,sockets,scatter,0.342055,1577.5230050086975
1000000,4,10,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,sockets,balanced,0.90038,1594.8820111751556
1000000,256,80,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,sockets,none,0.365375,1611.7229263782501
1000000,192,80,#pragma clang loop unrolling full, ,8,4,cores,explicit,0.372825,1627.566011428833
1000000,8,80,#pragma clang loop unrolling full, ,256,64,sockets,explicit,0.46181,1643.8548634052277
1000000,96,100, , ,4,96,sockets,none,0.352345,1659.5737702846527
1000000,16,160,#pragma clang loop unrolling full, ,256,2,sockets,scatter,0.33525,1675.3212535381317
1000000,48,80,#pragma clang loop unrolling full, ,32,96,sockets,none,0.346605,1691.1030979156494
1000000,8,200, , ,8,4,cores,scatter,0.46965999999999997,1707.2904472351074
1000000,32,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,none,0.33269000000000004,1723.0538218021393
1000000,96,20, , ,2,8,threads,explicit,0.3563,1738.770085811615
1000000,8,200,#pragma clang loop unrolling full, ,32,256,cores,explicit,0.463815,1755.1017422676086
1000000,96,128, ,#pragma omp parallel for,128,4,cores,explicit,0.359955,1771.0178549289703
1000000,192,200, ,#pragma omp parallel for,256,64,threads,compact,0.35916000000000003,1787.249793767929
1000000,8,64, ,#pragma omp parallel for,256,96,cores,disabled,0.4759,1803.2156476974487
1000000,8,10, ,#pragma omp parallel for,64,8,threads,balanced,0.485885,1819.3537740707397
1000000,8,160, ,#pragma omp parallel for,16,256,threads,none,0.47302,1835.3094713687897
1000000,128,64,#pragma clang loop unrolling full, ,96,2,threads,compact,0.361535,1851.1336164474487
1000000,256,10,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,sockets,none,0.36343000000000003,1867.6259496212006
1000000,128,40,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,sockets,scatter,0.351915,1883.719130039215
1000000,192,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,none,0.362405,1900.0141458511353
1000000,2,128, ,#pragma omp parallel for,16,96,threads,compact,1.75118,1920.0058298110962
1000000,48,128, , ,8,256,cores,disabled,0.34031500000000003,1935.922337770462
1000000,256,200, , ,32,16,threads,none,0.384015,1951.8416900634766
1000000,4,128, , ,8,96,threads,disabled,0.88136,1969.3541994094849
1000000,2,160, , ,64,2,cores,scatter,1.71681,1989.1897718906403
1000000,48,10, ,#pragma omp parallel for,2,64,sockets,none,0.340245,2005.0941710472107
1000000,192,128, , ,128,64,threads,balanced,0.35987,2021.037559747696
1000000,96,20,#pragma clang loop unrolling full, ,128,8,threads,disabled,0.35672,2036.9700729846954
1000000,4,64,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,scatter,0.912215,2054.4227595329285
1000000,128,80, ,#pragma omp parallel for,64,96,sockets,compact,0.40177,2070.5660049915314
1000000,48,100, , ,4,128,sockets,compact,0.34387,2086.3139441013336
1000000,4,160,#pragma clang loop unrolling full, ,2,128,threads,explicit,0.8721300000000001,2103.8060953617096
1000000,128,64,#pragma clang loop unrolling full, ,2,32,threads,none,0.35980999999999996,2119.906226873398
1000000,64,80,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,cores,compact,0.347125,2135.7699167728424
1000000,48,128,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,sockets,disabled,0.34362000000000004,2151.7816112041473
1000000,32,10, , ,8,4,threads,scatter,0.336505,2167.4744629859924
1000000,48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,threads,compact,0.34318000000000004,2183.3580224514008
1000000,96,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,threads,disabled,0.36597999999999997,2199.3334136009216
1000000,8,20, , ,96,32,cores,explicit,0.47134,2215.6824345588684
1000000,2,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,cores,disabled,1.76,2235.890834093094
1000000,32,200,#pragma clang loop unrolling full, ,64,2,sockets,compact,0.3363,2251.7737715244293
1000000,256,20,#pragma clang loop unrolling full, ,96,16,cores,explicit,0.36458999999999997,2267.553758621216
1000000,16,40,#pragma clang loop unrolling full,#pragma omp parallel for,2,128,cores,balanced,0.33592500000000003,2283.0459418296814
1000000,64,64,#pragma clang loop unrolling full, ,32,16,cores,explicit,0.35295,2298.9725136756897
1000000,256,64,#pragma clang loop unrolling full, ,16,128,cores,explicit,0.370805,2314.7901549339294
1000000,128,64, ,#pragma omp parallel for,96,128,sockets,disabled,0.36812999999999996,2331.169983625412
1000000,48,160, ,#pragma omp parallel for,256,16,sockets,none,0.34843,2346.8903620243073
1000000,96,10,#pragma clang loop unrolling full, ,256,256,cores,explicit,0.35575999999999997,2362.893970489502
1000000,16,20, , ,128,32,sockets,scatter,0.33528,2378.5938608646393
1000000,192,160,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,cores,explicit,0.430605,2394.9820108413696
1000000,16,128, ,#pragma omp parallel for,4,8,threads,scatter,0.33759,2410.6385567188263
1000000,4,20,#pragma clang loop unrolling full, ,8,256,cores,compact,1.08731,2428.5589685440063
1000000,16,160, , ,128,16,threads,disabled,0.33521500000000004,2444.4501135349274
1000000,8,40,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,sockets,balanced,0.485105,2460.438572406769
1000000,256,200, , ,128,64,threads,balanced,0.36794,2476.4662680625916
1000000,4,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,sockets,balanced,0.89649,2493.797590494156
1000000,2,80,#pragma clang loop unrolling full, ,4,4,sockets,balanced,1.677535,2513.674409866333
1000000,96,128,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,sockets,none,0.365235,2529.7663180828094
1000000,16,128, ,#pragma omp parallel for,256,2,threads,balanced,0.33631500000000003,2545.618378639221
1000000,192,64, , ,96,4,cores,compact,0.36221000000000003,2561.402141571045
1000000,192,64, ,#pragma omp parallel for,64,64,threads,explicit,0.35997999999999997,2577.810495376587
1000000,2,100, , ,64,32,cores,explicit,1.69969,2597.630227088928
1000000,16,64, ,#pragma omp parallel for,2,16,sockets,scatter,0.33692,2613.370774269104
1000000,256,200, , ,96,96,cores,disabled,0.387245,2629.2902364730835
1000000,4,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,threads,explicit,0.989355,2646.8624205589294
1000000,128,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,sockets,balanced,0.35358500000000004,2662.8226356506348
1000000,64,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,cores,explicit,0.35221,2678.730674982071
1000000,2,40, ,#pragma omp parallel for,16,4,threads,none,1.79925,2699.0501873493195
1000000,96,40, ,#pragma omp parallel for,32,64,sockets,scatter,0.35524999999999995,2714.9382634162903
1000000,32,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,disabled,0.332515,2730.838790655136
1000000,8,20, , ,256,64,cores,disabled,0.474025,2746.9445881843567
1000000,128,64, ,#pragma omp parallel for,64,16,cores,balanced,0.360445,2762.9505903720856
1000000,96,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,threads,compact,0.35124,2778.8305933475494
1000000,64,20, , ,16,16,cores,compact,0.341645,2794.6988575458527
1000000,96,40, ,#pragma omp parallel for,32,16,cores,balanced,0.34841500000000003,2810.7742977142334
