input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
200000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,2.53957,17.182777881622314
200000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,2.564845,31.798054933547974
200000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,2.46727,46.23855447769165
200000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,2.2436800000000003,59.96422982215881
200000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,2.53108,74.59912085533142
200000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,2.4688,89.19499588012695
200000000,128,threads,close, ,simd,"schedule(static,1)",static,2.237825,102.7899923324585
200000000,192,sockets,close, , , ,static,2.237005,116.32645606994629
200000000,48,cores,master, , ,"schedule(static,4)",dynamic,2.343025,130.4124517440796
200000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,2.529515,145.03825116157532
200000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,2.341895,159.18658781051636
200000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,2.3506349999999996,173.0905191898346
200000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,2.5064349999999997,187.93842196464539
200000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,2.549935,202.57098579406738
200000000,64,cores,master, , ,"schedule(static,1)",dynamic,2.24607,216.14620637893677
200000000,64,cores,spread, , ,"schedule(static,4)",dynamic,2.331465,230.14758038520813
200000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,2.48291,245.13862991333008
200000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,2.42952,259.49486327171326
200000000,16,cores,spread, , , ,dynamic,2.2389200000000002,273.26714181900024
200000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,2.538635,288.45509481430054
200000000,8,cores,close, ,simd,"schedule(static,32)",static,2.33512,302.5709915161133
200000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,2.4597499999999997,317.458811044693
200000000,96,threads,close, , , ,dynamic,2.23524,331.0312695503235
200000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.54619,345.5544581413269
200000000,4,cores,master, , ,"schedule(static,4)",static,2.350025,359.8099856376648
200000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,2.533295,374.3544661998749
200000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,2.49721,389.67861580848694
200000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,2.54272,404.2464692592621
200000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,2.485765,419.1094186306
200000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,2.43068,433.90279507637024
200000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,2.3459399999999997,447.90280270576477
200000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,2.524495,462.89017486572266
200000000,48,sockets,master, , ,"schedule(static,4)",dynamic,2.33111,476.6381640434265
200000000,32,threads,master, , ,"schedule(static,2)",static,2.33351,490.482727766037
200000000,8,cores,master, ,simd, ,dynamic,2.23916,504.0941872596741
200000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,2.332035,518.0186576843262
200000000,256,threads,master, , , ,dynamic,2.222165,531.9685928821564
200000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,2.52714,546.9589242935181
200000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,2.517775,561.6862680912018
200000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,2.438795,575.9710383415222
200000000,4,sockets,master, , ,"schedule(static,16)",static,2.3302449999999997,589.9227139949799
200000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,2.3301749999999997,603.882420539856
200000000,32,sockets,spread, ,simd,"schedule(static,32)",static,2.351735,617.8962535858154
200000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,2.603425,633.3758552074432
200000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.3924250000000002,648.1143577098846
200000000,96,threads,master,#pragma omp parallel for,simd, ,static,2.4269350000000003,662.6946432590485
200000000,32,threads,spread, , ,"schedule(static,8)",dynamic,2.26192,676.5810964107513
200000000,128,sockets,close, ,simd,"schedule(static,2)",static,2.338855,690.6834032535553
200000000,128,threads,close, , ,"schedule(static,32)",dynamic,2.352455,704.6713562011719
200000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,2.4203349999999997,719.26642370224
200000000,128,cores,close,#pragma omp parallel for, , ,dynamic,2.420325,733.835207939148
200000000,8,sockets,spread,#pragma omp parallel for, , ,static,2.4303850000000002,748.0822412967682
200000000,64,sockets,master, , ,"schedule(static,32)",static,2.334155,762.0753691196442
200000000,32,cores,spread, , ,"schedule(static,16)",static,2.33514,776.026168346405
200000000,256,threads,master, , ,"schedule(static,2)",dynamic,2.355985,790.1106190681458
200000000,8,threads,close, , ,"schedule(static,1)",static,2.24587,803.7223110198975
200000000,256,cores,spread, , ,"schedule(static,1)",static,2.266525,817.302811384201
200000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,2.4178750000000004,831.7556059360504
200000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,2.5367249999999997,846.2464344501495
200000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.519925,861.3202836513519
200000000,8,sockets,spread, , ,"schedule(static,16)",static,2.327885,875.2708756923676
200000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,2.53233,890.242627620697
200000000,2,sockets,close, ,simd,"schedule(static,16)",static,2.329785,904.1819257736206
200000000,48,sockets,close, ,simd, ,dynamic,2.24436,917.9148075580597
200000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,2.3822799999999997,932.3677704334259
200000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,2.3334900000000003,946.1702852249146
200000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,2.4584200000000003,960.694709777832
200000000,8,sockets,master, , ,"schedule(static,32)",static,2.3594150000000003,974.5902886390686
200000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,2.5263549999999997,989.1830325126648
200000000,4,sockets,close, , ,"schedule(static,16)",dynamic,2.33377,1003.3169097900391
200000000,96,sockets,master, , ,"schedule(static,4)",static,2.34043,1017.2382309436798
200000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,2.47281,1031.7111032009125
200000000,48,cores,close, , ,"schedule(static,32)",dynamic,2.348955,1045.6304244995117
200000000,8,sockets,master,#pragma omp parallel for,simd, ,static,2.431095,1059.908160686493
200000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,2.44608,1074.7901947498322
200000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.540725,1089.608535528183
200000000,2,sockets,close, ,simd,"schedule(static,1)",static,2.296995,1103.4141628742218
200000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,2.539695,1117.9814689159393
200000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,2.336825,1132.1989786624908
200000000,96,threads,close, , ,"schedule(static,32)",dynamic,2.338335,1146.2277121543884
200000000,48,sockets,master, , ,"schedule(static,8)",static,2.35291,1160.2465415000916
200000000,192,threads,close, ,simd,"schedule(static,16)",static,2.382745,1174.1589324474335
200000000,128,cores,close,#pragma omp parallel for, , ,dynamic,2.415395,1188.634783744812
200000000,4,threads,spread, ,simd, ,static,2.23977,1202.3121311664581
200000000,32,threads,spread, ,simd, ,dynamic,2.219145,1215.9263994693756
200000000,192,threads,close, , ,"schedule(static,1)",static,2.24,1229.6224114894867
200000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,2.553745,1244.1826400756836
200000000,32,threads,spread, ,simd,"schedule(static,2)",static,2.3407999999999998,1258.0873866081238
200000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,2.54256,1273.206746339798
200000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.556045,1288.3276364803314
200000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,2.52466,1303.3118329048157
200000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,2.5940950000000003,1317.854579925537
200000000,96,cores,spread, , ,"schedule(static,2)",static,2.347805,1331.9334087371826
200000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,2.3342,1345.7866098880768
200000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,2.530105,1360.826818227768
200000000,128,cores,close, , ,"schedule(static,32)",static,2.33188,1374.6928126811981
200000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,2.525515,1390.0071280002594
200000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,2.5149850000000002,1405.1142902374268
200000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,2.4694000000000003,1420.5544011592865
200000000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,2.342825,1434.5461120605469
200000000,2,cores,close, , ,"schedule(static,1)",static,2.23668,1450.4187819957733
200000000,2,cores,close,#pragma omp parallel for, , ,dynamic,2.37705,1467.194845199585
200000000,2,cores,close, ,simd,"schedule(static,1)",static,2.17234,1483.3874764442444
200000000,2,cores,close, ,simd, ,static,2.2418,1499.5870265960693
200000000,2,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",static,2.362015,1516.11949300766
200000000,4,cores,close, ,simd,"schedule(static,1)",static,2.23524,1532.1280736923218
200000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,1)",static,2.37676,1548.7712802886963
200000000,256,cores,close, ,simd,"schedule(static,1)",dynamic,2.260615,1564.8999729156494
200000000,2,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.384165,1581.4879965782166
200000000,2,sockets,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.37115,1598.0615456104279
200000000,4,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.4298849999999996,1614.8203887939453
200000000,2,threads,close,#pragma omp parallel for, ,"schedule(static,1)",static,2.37169,1631.3805768489838
200000000,2,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.3745950000000002,1648.3002655506134
200000000,2,cores,close, ,simd,"schedule(static,16)",static,2.3378750000000004,1664.6760621070862
200000000,2,cores,close, ,simd,"schedule(static,32)",static,2.33124,1681.2404959201813
200000000,4,cores,close, ,simd, ,static,2.23617,1697.3130614757538
200000000,2,cores,master, , ,"schedule(static,1)",dynamic,2.234865,1713.373345375061
200000000,2,cores,close, ,simd,"schedule(static,2)",dynamic,2.349235,1729.7296350002289
200000000,2,cores,master, ,simd,"schedule(static,2)",dynamic,2.33136,1745.9488995075226
200000000,2,cores,close, ,simd,"schedule(static,4)",static,2.34888,1762.3452236652374
200000000,2,cores,close, , ,"schedule(static,2)",dynamic,2.332775,1778.771317243576
200000000,2,cores,spread, ,simd, ,static,2.225285,1794.968833208084
200000000,2,cores,close, ,simd,"schedule(static,8)",static,2.35173,1811.3865931034088
200000000,64,cores,close, ,simd,"schedule(static,1)",dynamic,2.239145,1827.6861016750336
200000000,64,cores,master, ,simd,"schedule(static,1)",dynamic,2.23914,1843.606120109558
200000000,4,cores,spread, ,simd,"schedule(static,1)",static,2.2372199999999998,1859.6256816387177
200000000,8,cores,master, ,simd,"schedule(static,1)",static,2.25164,1875.7143876552582
200000000,8,cores,spread, ,simd,"schedule(static,1)",static,2.3097700000000003,1891.8826086521149
200000000,256,cores,close, ,simd,"schedule(static,1)",static,2.24733,1907.9211761951447
200000000,2,cores,spread, ,simd,"schedule(static,2)",static,2.333115,1924.225444316864
200000000,4,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.414865,1940.962909936905
200000000,16,cores,master, , ,"schedule(static,1)",dynamic,2.2375800000000003,1956.853354692459
200000000,2,sockets,close,#pragma omp parallel for, , ,static,2.2916749999999997,1973.389437675476
200000000,2,sockets,spread, ,simd, ,static,2.240535,1989.5618426799774
200000000,4,cores,master, , ,"schedule(static,1)",dynamic,2.155425,2005.6952741146088
200000000,4,cores,spread, ,simd,"schedule(static,1)",dynamic,2.23858,2021.9443876743317
200000000,2,threads,close, ,simd,"schedule(static,1)",static,2.22041,2038.1218166351318
200000000,256,cores,master,#pragma omp parallel for,simd, ,dynamic,2.390245,2055.190850019455
200000000,256,threads,close,#pragma omp parallel for,simd,"schedule(static,1)",static,2.4779,2072.294236421585
200000000,16,cores,close, ,simd,"schedule(static,1)",static,2.2382299999999997,2088.4097645282745
200000000,2,threads,master, ,simd,"schedule(static,1)",dynamic,2.23842,2104.659323692322
200000000,256,cores,master,#pragma omp parallel for,simd, ,static,2.379335,2121.7576599121094
200000000,128,sockets,master, , ,"schedule(static,1)",dynamic,2.2409749999999997,2137.9845724105835
200000000,256,sockets,close, ,simd, ,static,2.23785,2154.1677894592285
200000000,256,cores,close,#pragma omp parallel for, ,"schedule(static,1)",static,2.39831,2171.3513565063477
200000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.36096,2188.3315155506134
200000000,128,sockets,close, ,simd, ,static,2.240565,2204.4432740211487
200000000,256,sockets,close, ,simd,"schedule(static,2)",static,2.347915,2220.879310131073
200000000,256,sockets,close, , , ,static,2.24289,2236.9704270362854
200000000,2,cores,spread, ,simd, ,dynamic,2.24152,2253.215799808502
200000000,192,cores,master, , ,"schedule(static,1)",dynamic,2.23867,2269.2233686447144
200000000,8,sockets,close, , , ,static,2.239925,2285.1555280685425
200000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.411915,2302.6333401203156
