input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
100000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,1.60758,14.372489213943481
100000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,1.510275,26.19723343849182
100000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,1.525755,37.83100628852844
100000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,1.36068,49.02253603935242
100000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,1.52337,60.69821357727051
100000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,1.50701,72.3941740989685
100000000,128,threads,close, ,simd,"schedule(static,1)",static,1.3515350000000002,83.50637197494507
100000000,192,sockets,close, , , ,static,1.307105,94.78340005874634
100000000,48,cores,master, , ,"schedule(static,4)",dynamic,1.406295,106.51285696029663
100000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,1.5117099999999999,118.76670980453491
100000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,1.3896950000000001,130.22066140174866
100000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,1.407425,141.60693955421448
100000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,1.482765,154.13801765441895
100000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,1.5297399999999999,166.81815552711487
100000000,64,cores,master, , ,"schedule(static,1)",dynamic,1.3493249999999999,178.40228009223938
100000000,64,cores,spread, , ,"schedule(static,4)",dynamic,1.409975,189.58279418945312
100000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,1.46372,201.60509824752808
100000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,1.46187,213.3255455493927
100000000,16,cores,spread, , , ,dynamic,1.35926,225.099534034729
100000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,1.51002,237.11981177330017
100000000,8,cores,close, ,simd,"schedule(static,32)",static,1.40761,248.32810521125793
100000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,1.51862,260.3019263744354
100000000,96,threads,close, , , ,dynamic,1.34321,271.5644052028656
100000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,1.5346549999999999,283.37004494667053
100000000,4,cores,master, , ,"schedule(static,4)",static,1.40714,294.57801580429077
100000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,1.5181900000000002,306.5542175769806
100000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,1.48277,318.50983119010925
100000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,1.52932,330.4293293952942
100000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,1.47947,342.6942524909973
100000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,1.472955,355.3228521347046
