input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
10000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.60493,14.088980913162231
10000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.64912,23.491864442825317
10000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.6207400000000001,32.88118839263916
10000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,0.52708,41.6441535949707
10000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.6543,50.86839532852173
10000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.6180650000000001,60.19526171684265
10000000,128,threads,close, ,simd,"schedule(static,1)",static,0.541945,68.90485882759094
10000000,192,sockets,close, , , ,static,0.5444,77.6445243358612
10000000,48,cores,master, , ,"schedule(static,4)",dynamic,0.55338,86.46854972839355
10000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.6515850000000001,95.61585927009583
10000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.55155,104.49593615531921
10000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,0.5456449999999999,113.11538624763489
10000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.583895,122.7038197517395
10000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.620045,132.50019717216492
10000000,64,cores,master, , ,"schedule(static,1)",dynamic,0.5457650000000001,141.3846457004547
10000000,64,cores,spread, , ,"schedule(static,4)",dynamic,0.54887,150.14639973640442
10000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.63125,159.44449138641357
10000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.612655,168.81619215011597
10000000,16,cores,spread, , , ,dynamic,0.542325,177.50209975242615
10000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.6372450000000001,186.9317810535431
10000000,8,cores,close, ,simd,"schedule(static,32)",static,0.5547899999999999,195.69197607040405
10000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.633515,205.87602424621582
10000000,96,threads,close, , , ,dynamic,0.526645,214.6207640171051
10000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.65073,223.88812708854675
10000000,4,cores,master, , ,"schedule(static,4)",static,0.545525,232.62002873420715
10000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.64917,242.27435517311096
