input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.57634,14.382167339324951
1000000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.590785,23.686551809310913
1000000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.554725,33.47039604187012
1000000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,0.452705,42.34220552444458
1000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.588445,51.201967000961304
1000000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.55645,60.36841654777527
1000000,128,threads,close, ,simd,"schedule(static,1)",static,0.48104,69.75882744789124
1000000,192,sockets,close, , , ,static,0.45218,78.29025554656982
1000000,48,cores,master, , ,"schedule(static,4)",dynamic,0.45203,87.14614844322205
1000000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.53701,96.01910734176636
1000000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.46108499999999997,104.49046516418457
1000000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,0.5022,113.42232942581177
1000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.523085,123.74602007865906
1000000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.524045,133.19901728630066
1000000,64,cores,master, , ,"schedule(static,1)",dynamic,0.44596,141.6540915966034
1000000,64,cores,spread, , ,"schedule(static,4)",dynamic,0.45298,150.1343810558319
1000000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.5242249999999999,159.38251328468323
1000000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5527850000000001,168.31776213645935
1000000,16,cores,spread, , , ,dynamic,0.45388,176.90240955352783
1000000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.600695,186.30333590507507
1000000,8,cores,close, ,simd,"schedule(static,32)",static,0.499375,194.91833353042603
1000000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.546695,204.36995100975037
1000000,96,threads,close, , , ,dynamic,0.50837,213.0658950805664
1000000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.65534,222.270201921463
1000000,4,cores,master, , ,"schedule(static,4)",static,0.508475,231.3105697631836
1000000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.557315,240.49399399757385
1000000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.6015550000000001,250.30997729301453
1000000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,0.5880099999999999,259.7753760814667
1000000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.558595,269.67890429496765
1000000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.53409,279.0046458244324
1000000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,0.45338,287.3603575229645
1000000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.5551999999999999,296.57046580314636
1000000,48,sockets,master, , ,"schedule(static,4)",dynamic,0.452705,304.91106700897217
1000000,32,threads,master, , ,"schedule(static,2)",static,0.46569499999999997,313.35437512397766
1000000,8,cores,master, ,simd, ,dynamic,0.499425,322.0660719871521
1000000,48,sockets,close, ,simd,"schedule(static,4)",dynamic,0.508525,330.9703986644745
1000000,256,threads,master, , , ,dynamic,0.512475,339.84705996513367
1000000,4,sockets,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.59711,348.92574882507324
1000000,64,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,0.581075,358.102059841156
1000000,64,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5693900000000001,367.2872407436371
1000000,4,sockets,master, , ,"schedule(static,16)",static,0.5072049999999999,375.9547190666199
1000000,16,cores,master, ,simd,"schedule(static,8)",dynamic,0.49228,384.6623649597168
1000000,32,sockets,spread, ,simd,"schedule(static,32)",static,0.517205,393.37516593933105
1000000,192,threads,master,#pragma omp parallel for, ,"schedule(static,32)",static,0.55938,403.2373003959656
1000000,256,threads,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.507645,413.576180934906
1000000,96,threads,master,#pragma omp parallel for,simd, ,static,0.52718,422.8721213340759
1000000,32,threads,spread, , ,"schedule(static,8)",dynamic,0.5343850000000001,432.6713182926178
1000000,128,sockets,close, ,simd,"schedule(static,2)",static,0.5212300000000001,441.43103432655334
1000000,128,threads,close, , ,"schedule(static,32)",dynamic,0.55017,450.0958535671234
1000000,48,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",static,0.5963849999999999,459.22660851478577
1000000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.598705,469.36721777915955
1000000,8,sockets,spread,#pragma omp parallel for, , ,static,0.609765,478.64247274398804
1000000,64,sockets,master, , ,"schedule(static,32)",static,0.5565500000000001,487.43157839775085
1000000,32,cores,spread, , ,"schedule(static,16)",static,0.529925,496.23112630844116
1000000,256,threads,master, , ,"schedule(static,2)",dynamic,0.5406150000000001,504.8906669616699
1000000,8,threads,close, , ,"schedule(static,1)",static,0.539275,513.7714333534241
1000000,256,cores,spread, , ,"schedule(static,1)",static,0.5250250000000001,522.4752840995789
1000000,192,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,0.5896950000000001,531.9944472312927
1000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,2)",static,0.5754600000000001,540.9099853038788
1000000,192,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.52015,550.5210075378418
1000000,8,sockets,spread, , ,"schedule(static,16)",static,0.48835,559.1325356960297
1000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,32)",static,0.5704750000000001,568.2222647666931
1000000,2,sockets,close, ,simd,"schedule(static,16)",static,0.47148999999999996,576.6108636856079
1000000,48,sockets,close, ,simd, ,dynamic,0.45217,585.1701908111572
1000000,2,threads,master,#pragma omp parallel for,simd,"schedule(static,16)",static,0.5372600000000001,594.1339104175568
1000000,192,threads,master, ,simd,"schedule(static,2)",dynamic,0.45120000000000005,602.6423103809357
1000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.618645,611.8522162437439
1000000,8,sockets,master, , ,"schedule(static,32)",static,0.46009,620.2587780952454
1000000,16,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.520705,629.1768260002136
1000000,4,sockets,close, , ,"schedule(static,16)",dynamic,0.453095,637.486358165741
1000000,96,sockets,master, , ,"schedule(static,4)",static,0.44998000000000005,645.8972964286804
1000000,2,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.527155,654.754355430603
1000000,48,cores,close, , ,"schedule(static,32)",dynamic,0.4612,663.1488587856293
1000000,8,sockets,master,#pragma omp parallel for,simd, ,static,0.5480499999999999,671.7622601985931
1000000,8,threads,master,#pragma omp parallel for, ,"schedule(static,1)",static,0.548565,680.7864019870758
1000000,64,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.55555,690.1259777545929
1000000,2,sockets,close, ,simd,"schedule(static,1)",static,0.44941,698.4940195083618
1000000,16,cores,master,#pragma omp parallel for, ,"schedule(static,8)",static,0.55305,707.3940908908844
1000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,0.45485,715.9859642982483
1000000,96,threads,close, , ,"schedule(static,32)",dynamic,0.46007,724.514402627945
1000000,48,sockets,master, , ,"schedule(static,8)",static,0.445615,732.9189953804016
1000000,192,threads,close, ,simd,"schedule(static,16)",static,0.45236,741.3826749324799
1000000,128,cores,close,#pragma omp parallel for, , ,dynamic,0.593825,750.7378425598145
1000000,4,threads,spread, ,simd, ,static,0.44937499999999997,759.0906884670258
1000000,32,threads,spread, ,simd, ,dynamic,0.44873,767.5546650886536
1000000,192,threads,close, , ,"schedule(static,1)",static,0.45001,776.0622341632843
1000000,32,threads,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.55187,785.0794126987457
1000000,32,threads,spread, ,simd,"schedule(static,2)",static,0.46845000000000003,793.7463374137878
1000000,64,cores,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.549705,802.8340165615082
1000000,32,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.5533650000000001,811.5909357070923
1000000,192,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.55118,820.9541943073273
1000000,32,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",static,0.531695,829.9147355556488
1000000,96,cores,spread, , ,"schedule(static,2)",static,0.450725,838.223094701767
1000000,4,cores,master, ,simd,"schedule(static,8)",dynamic,0.451215,846.7279644012451
1000000,128,sockets,close,#pragma omp parallel for, ,"schedule(static,32)",dynamic,0.55992,855.9663879871368
1000000,128,cores,close, , ,"schedule(static,32)",static,0.457715,864.6469171047211
1000000,256,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5505450000000001,874.0506811141968
1000000,256,cores,close,#pragma omp parallel for,simd,"schedule(static,8)",static,0.503585,882.8983981609344
1000000,64,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.63209,892.8364844322205
1000000,128,sockets,master, ,simd,"schedule(static,2)",dynamic,0.450845,901.1551828384399
1000000,8,cores,master, ,simd,"schedule(static,32)",dynamic,0.47414999999999996,912.1025247573853
1000000,192,sockets,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.5501199999999999,923.9435243606567
1000000,2,threads,master, ,simd, ,dynamic,0.45038500000000004,934.80650806427
1000000,192,cores,master, ,simd,"schedule(static,32)",dynamic,0.461975,945.6431159973145
1000000,16,cores,master, ,simd, ,dynamic,0.44923500000000005,956.4313721656799
1000000,192,cores,master, ,simd, ,dynamic,0.46765,967.4673595428467
1000000,256,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.55105,979.1692163944244
1000000,48,sockets,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,0.556955,990.3873653411865
1000000,4,sockets,master, ,simd,"schedule(static,1)",static,0.44766,1001.4995198249817
1000000,2,sockets,master, ,simd, ,static,0.44997,1012.4193379878998
1000000,2,cores,master, , , ,dynamic,0.44866,1023.1319813728333
1000000,2,cores,spread, ,simd, ,dynamic,0.44628999999999996,1033.9775803089142
1000000,4,cores,master, ,simd,"schedule(static,32)",dynamic,0.459475,1044.8874645233154
1000000,4,cores,master, ,simd, ,dynamic,0.44816999999999996,1055.5314617156982
1000000,2,cores,close, , ,"schedule(static,1)",dynamic,0.449145,1066.2676846981049
1000000,4,cores,close, , ,"schedule(static,1)",dynamic,0.449195,1077.1877434253693
1000000,2,cores,master, ,simd,"schedule(static,1)",dynamic,0.44850500000000004,1087.9165122509003
1000000,2,cores,spread, ,simd,"schedule(static,1)",dynamic,0.452235,1098.8922872543335
