input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
200000000,128,sockets,close, ,simd, ,static,2.250135,2108.943729877472
200000000,256,sockets,spread,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,2.5857099999999997,2125.505772829056
200000000,8,sockets,close,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,2.5448199999999996,2140.1053779125214
200000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.51075,2155.0037858486176
200000000,2,sockets,close,#pragma omp parallel for,simd, ,static,2.38699,2169.5621132850647
200000000,64,sockets,close,#pragma omp parallel for, ,"schedule(static,8)",static,2.604195,2184.661298274994
200000000,192,cores,master,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.579885,2199.758474111557
200000000,8,sockets,spread,#pragma omp parallel for, ,"schedule(static,8)",static,2.539265,2214.489322423935
200000000,64,threads,master, , ,"schedule(static,2)",dynamic,2.353025,2228.674523830414
200000000,64,cores,spread, , ,"schedule(static,8)",static,2.342705,2242.9472193717957
200000000,16,cores,master,#pragma omp parallel for,simd,"schedule(static,16)",static,2.61064,2258.133864402771
200000000,48,cores,master,#pragma omp parallel for, ,"schedule(static,4)",static,2.6588950000000002,2273.356570482254
200000000,256,cores,master, ,simd,"schedule(static,8)",static,2.26494,2288.32532787323
200000000,8,threads,spread, , ,"schedule(static,8)",dynamic,2.351515,2302.4091970920563
200000000,48,threads,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.5631649999999997,2317.269673347473
200000000,2,cores,spread, , ,"schedule(static,4)",dynamic,2.347125,2331.125153541565
200000000,128,threads,master,#pragma omp parallel for, ,"schedule(static,16)",static,2.53809,2346.1842534542084
200000000,4,cores,master, ,simd,"schedule(static,2)",static,2.363415,2360.241402864456
200000000,192,threads,close,#pragma omp parallel for, ,"schedule(static,2)",static,2.53403,2375.329109430313
200000000,16,sockets,master,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,2.602925,2390.5056099891663
200000000,128,sockets,spread,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.4193,2405.645539045334
200000000,64,cores,close, , , ,static,2.223545,2419.6635580062866
200000000,32,threads,close, ,simd,"schedule(static,16)",dynamic,2.3058249999999996,2433.66361784935
200000000,2,threads,master, ,simd,"schedule(static,8)",dynamic,2.34646,2447.7733640670776
200000000,128,threads,close, ,simd,"schedule(static,4)",static,2.3523199999999997,2461.7404067516327
200000000,2,cores,close,#pragma omp parallel for,simd,"schedule(static,1)",dynamic,2.37131,2477.549646615982
200000000,256,sockets,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,2.5790100000000002,2493.170905828476
200000000,16,sockets,close, ,simd,"schedule(static,4)",dynamic,2.341565,2507.0858669281006
200000000,2,cores,master,#pragma omp parallel for, ,"schedule(static,32)",dynamic,2.51983,2521.7677671909332
200000000,8,cores,spread, ,simd,"schedule(static,1)",static,2.2428150000000002,2535.933911085129
200000000,48,threads,close,#pragma omp parallel for,simd,"schedule(static,32)",static,2.59205,2550.6976613998413
200000000,96,sockets,master,#pragma omp parallel for,simd,"schedule(static,16)",static,2.65168,2566.4719405174255
200000000,128,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,2.6138000000000003,2582.3183443546295
200000000,32,sockets,close,#pragma omp parallel for, , ,static,2.461995,2597.2773172855377
200000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",static,2.454765,2611.501145839691
200000000,48,threads,close,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,2.532165,2626.5259387493134
200000000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,2.51754,2641.6633355617523
200000000,8,cores,spread,#pragma omp parallel for, ,"schedule(static,32)",dynamic,2.567535,2656.3538591861725
200000000,192,sockets,master,#pragma omp parallel for, ,"schedule(static,1)",static,2.48616,2670.980178117752
200000000,2,threads,close,#pragma omp parallel for, , ,static,2.3734349999999997,2685.7471511363983
200000000,192,threads,spread, , ,"schedule(static,16)",dynamic,2.35565,2699.738671064377
200000000,256,cores,spread, , , ,dynamic,2.24906,2713.4627413749695
200000000,48,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",static,2.41569,2727.9339570999146
200000000,128,threads,master,#pragma omp parallel for, ,"schedule(static,32)",dynamic,2.582525,2742.998548269272
