input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
100000000,192,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,1.496185,937.7423565387726
100000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,1.4761549999999999,949.4660637378693
100000000,8,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,1.55296,962.3461856842041
100000000,128,threads,close, ,simd,"schedule(static,8)",dynamic,1.4145050000000001,973.5385279655457
100000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,4)",dynamic,1.5231050000000002,986.1986424922943
100000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,1.5470199999999998,997.9242153167725
100000000,96,threads,close, , ,"schedule(static,32)",static,1.42023,1009.2664568424225
100000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,1.538365,1021.0570251941681
100000000,8,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,1.50892,1032.7054510116577
100000000,128,cores,close, ,simd,"schedule(static,1)",dynamic,1.35106,1044.0608186721802
100000000,48,threads,close, ,simd,"schedule(static,8)",static,1.412515,1055.2472002506256
100000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",static,1.4645299999999999,1066.8021771907806
100000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,1.405755,1078.069823026657
100000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",dynamic,1.53762,1090.045704126358
100000000,64,threads,close, , ,"schedule(static,16)",dynamic,1.41526,1101.3218626976013
100000000,32,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",static,1.546135,1113.2787685394287
100000000,256,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,1.433135,1125.5701479911804
100000000,2,sockets,master,#pragma omp parallel for,simd, ,static,1.46606,1137.166319847107
100000000,2,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,1.49177,1148.866397857666
100000000,96,cores,master, , , ,static,1.3676849999999998,1160.0340588092804
100000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,1.532365,1172.1820912361145
100000000,16,cores,close, , ,"schedule(static,4)",dynamic,1.3973,1183.8131296634674
100000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,1.5418850000000002,1195.5532188415527
100000000,4,sockets,spread, ,simd,"schedule(static,1)",static,1.367705,1207.0660331249237
100000000,48,sockets,spread, ,simd,"schedule(static,2)",static,1.39801,1218.2893958091736
100000000,64,sockets,close, , ,"schedule(static,32)",static,1.4181,1229.469256401062
100000000,192,threads,master, , ,"schedule(static,32)",static,1.42204,1240.749740600586
