input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
100000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.515385,17.60479974746704
100000,4,threads,spread,#pragma omp parallel for,simd,"schedule(static,4)",static,0.495815,25.52039361000061
100000,2,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.49826000000000004,33.365784883499146
100000,16,threads,spread, ,simd,"schedule(static,1)",dynamic,0.44188,40.828381299972534
100000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",static,0.5338350000000001,49.14711928367615
100000,2,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.48009,57.046767473220825
100000,128,threads,close, ,simd,"schedule(static,1)",static,0.443415,64.57738900184631
100000,192,sockets,close, , , ,static,0.44167,72.07081651687622
100000,48,cores,master, , ,"schedule(static,4)",dynamic,0.44523,79.5314154624939
100000,16,sockets,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.524535,87.85330247879028
100000,48,sockets,spread, ,simd,"schedule(static,4)",dynamic,0.44458,95.30751633644104
100000,128,sockets,close, ,simd,"schedule(static,2)",dynamic,0.440395,102.79218411445618
100000,256,sockets,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.54729,113.55695033073425
100000,64,cores,spread,#pragma omp parallel for, ,"schedule(static,16)",static,0.5241100000000001,121.90490984916687
100000,64,cores,master, , ,"schedule(static,1)",dynamic,0.44413,129.39733004570007
100000,64,cores,spread, , ,"schedule(static,4)",dynamic,0.46126,136.9951159954071
100000,48,sockets,close,#pragma omp parallel for,simd, ,dynamic,0.513845,145.2520353794098
100000,4,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.49756,153.17557525634766
100000,16,cores,spread, , , ,dynamic,0.44345,160.66225242614746
100000,96,cores,spread,#pragma omp parallel for,simd,"schedule(static,2)",static,0.51415,169.25166201591492
100000,8,cores,close, ,simd,"schedule(static,32)",static,0.47468,176.85812401771545
100000,96,cores,close,#pragma omp parallel for, ,"schedule(static,2)",static,0.5525150000000001,185.5212903022766
100000,96,threads,close, , , ,dynamic,0.438575,192.9891014099121
100000,8,cores,spread,#pragma omp parallel for,simd,"schedule(static,16)",dynamic,0.5246999999999999,201.17122149467468
100000,4,cores,master, , ,"schedule(static,4)",static,0.45986000000000005,208.74042773246765
100000,16,threads,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.514225,216.97551131248474
100000,256,threads,spread,#pragma omp parallel for, ,"schedule(static,2)",static,0.52837,226.68005752563477
100000,8,sockets,close,#pragma omp parallel for, ,"schedule(static,4)",static,0.51474,234.836594581604
100000,256,cores,spread,#pragma omp parallel for,simd,"schedule(static,32)",dynamic,0.56481,244.37431573867798
100000,192,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.520045,253.95430898666382
100000,2,sockets,spread, ,simd,"schedule(static,8)",dynamic,0.446655,261.452844619751
100000,96,threads,master,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.51454,270.22064423561096
100000,48,sockets,master, , ,"schedule(static,4)",dynamic,0.461125,277.82297706604004
100000,32,threads,master, , ,"schedule(static,2)",static,0.43872999999999995,285.2828176021576
