input,p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
1000000,192,cores,close,#pragma omp parallel for,simd,"schedule(static,2)",dynamic,0.542915,826.4869420528412
1000000,16,cores,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.520145,834.6989948749542
1000000,8,threads,spread,#pragma omp parallel for,simd,"schedule(static,8)",static,0.54057,842.8549926280975
1000000,128,threads,close, ,simd,"schedule(static,8)",dynamic,0.45291,850.3420188426971
1000000,4,threads,spread,#pragma omp parallel for, ,"schedule(static,4)",dynamic,0.5314399999999999,858.5181059837341
1000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.528135,866.7847695350647
1000000,96,threads,close, , ,"schedule(static,32)",static,0.463615,874.3618540763855
1000000,16,cores,spread,#pragma omp parallel for,simd,"schedule(static,8)",dynamic,0.525305,882.6026051044464
1000000,8,sockets,master,#pragma omp parallel for, ,"schedule(static,4)",dynamic,0.543295,890.8037352561951
1000000,128,cores,close, ,simd,"schedule(static,1)",dynamic,0.45069499999999996,898.4045300483704
1000000,48,threads,close, ,simd,"schedule(static,8)",static,0.470795,906.0532946586609
1000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,1)",static,0.5386299999999999,914.3289983272552
1000000,2,sockets,spread, , ,"schedule(static,32)",dynamic,0.46148500000000003,921.859876871109
1000000,8,threads,spread,#pragma omp parallel for, ,"schedule(static,16)",dynamic,0.52671,929.98104429245
1000000,64,threads,close, , ,"schedule(static,16)",dynamic,0.47043999999999997,937.6035311222076
1000000,32,threads,spread,#pragma omp parallel for, ,"schedule(static,8)",static,0.5268200000000001,945.8923931121826
1000000,256,sockets,spread,#pragma omp parallel for, ,"schedule(static,1)",dynamic,0.5370999999999999,956.6714990139008
1000000,2,sockets,master,#pragma omp parallel for,simd, ,static,0.48844,964.5579133033752
1000000,2,sockets,close,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.48812,972.3786435127258
1000000,96,cores,master, , , ,static,0.449925,979.8705885410309
1000000,96,cores,master,#pragma omp parallel for,simd,"schedule(static,4)",dynamic,0.5369900000000001,988.4402031898499
1000000,16,cores,close, , ,"schedule(static,4)",dynamic,0.46865999999999997,996.0733087062836
1000000,8,cores,master,#pragma omp parallel for, ,"schedule(static,8)",dynamic,0.5369349999999999,1004.3384144306183
1000000,4,sockets,spread, ,simd,"schedule(static,1)",static,0.446445,1011.8712823390961
1000000,48,sockets,spread, ,simd,"schedule(static,2)",static,0.45103,1019.3592445850372
1000000,64,sockets,close, , ,"schedule(static,32)",static,0.476815,1026.991045475006
1000000,192,threads,master, , ,"schedule(static,32)",static,0.46188,1034.5633239746094
